افريقا	非洲
واتسلاف هاول	瓦茨拉夫·哈维尔
د ورېښم لار	丝绸之路
جېن آسټن	简·奥斯汀
کوردي ژبه	庫爾德語
زرۍ	千纪
علمی نوم	二名法
هنرېک ايبسن	亨里克·易卜生
ماموت	猛犸象
څلورڅنډی	四邊形
د سرکوزي والگی	豬流感
اوزون	臭氧
جذام	麻风病
مخ (اناتومي)	臉
خپلواکي	独立
ښوون	橄欖 (木樨科)
سليمان	所羅門
یاهو!	雅虎
کرښه (مېچپوهنه)	直线
فرعون	法老
کلاشېنکوف اې کې ۴۷	AK-47突击步枪
څپه	波
د وینې سره کرویات	红血球
سند	信德省
فرانسېس بیکن	弗兰西斯·培根
معمولي مندته	杏
نيکول کېډمېن	妮可·基嫚
هايکو	俳句
عثمان بن عفان	奥斯曼·本·阿凡
وگړشمېرنه	人口学
ځمکواکي	封建制度 (歐洲)
اوبړۍ	藻類
نتالي پورټمېن	娜塔莉·波特曼
هېرټا مولر	赫塔·米勒
مکډونالډز	麦当劳
يوکوهوما	横滨市
گړپوهنه	词法学
ويليم فاکنر	威廉·福克納
هندواڼه	西瓜
پخلی	烹饪
بادي ژرنده	風車 (動力機)
د حماس اسلامي غورځنگ	哈马斯
آيت الله روح الله خميني	鲁霍拉·穆萨维·霍梅尼
ليزر	激光
تبه	发热
تيد	泰德峰
کوچنی وټه	微观经济学
رجب طيب اردوغان	雷杰普·塔伊普·埃尔多安
خزدکپوهنه	昆虫学
تبر	斧
علي بن ابي طالب	阿里·本·阿比·塔利卜
لویه وټه	宏观经济学
انسولين	胰岛素
بازارموندنه	市场营销
سرشمېرنه	人口普查
ابن رشد	伊本·魯世德
لسيزه	年代
بادام	扁桃
څښاک	饮料
نيانډرټال	尼安德特人
الهي کمېډي	神曲
ووب	组织 (生物学)
پروېز مشرف	佩尔韦兹·穆沙拉夫
لوط	羅得
دهاډرونو ستر تعجیل کوونکي ماشین	大型強子對撞機
يحيی	聖若翰洗者
دیلما روسف	迪爾瑪·羅塞夫
ساندرا بللاک	珊卓·布拉克
جراحي	外科学
بياتي	剪刀
نفرتيتي	娜芙蒂蒂
لمونځ	祷告
سکايپ	Skype
غږپوهنه	音位學
هارولډ پينټر	哈罗德·品特
د حزب الله اسلامی غورځنگ	真主党
باو	梅毒
د آشور واکمني	亚述
ودانۍ	建筑物
سوني	索尼
باريس ولاديميروويچ پاسترناک	鮑里斯·帕斯捷爾納克
کونستانتين اېدواردوويچ تسيولکوفسکي	康斯坦丁·齐奥尔科夫斯基
سينما	電影院
بودجه	財政預算案
څپواټن	波长
داوود	大衛
کنگل هاکي	冰球
کوردستان	庫爾德斯坦
د موس مقياس	摩氏硬度
بواسيرونه	痔疮
هېنريک سېنکېويچ	亨利克·显克微支
ککرۍ پتنگ	赭带鬼脸天蛾
كوكايين	可卡因
فینیکیان	腓尼基
شهادت	清真言
د بابل ځوړند بڼ	空中花园
حاکميت	主權
خديجه بنت خويلد	海迪彻
نیلي نهنگ	蓝鲸
څېړنه	研究
سولي پرودممه	苏利·普吕多姆
اوبپوهنه	水文学
بوکر	圆锥
د مورنۍ ژبې نړيواله ورځ	國際母語日
سهيونېزم	錫安主義
د طالبانو اسلامي غورځنگ	塔利班
اناکزیمېنډر	阿那克西曼德
کورکمن	薑黃
ځنگلي پيشو	丛林猫
عبدالله گل	阿卜杜拉·居尔
ختيځپوهنه	东方主义
کرېشنا	黑天
ساباوري	泛靈論
ليکچه	筆記本
مالیه	金融
وچکالي	干旱
تور مرچ	黑胡椒
ياقوت	红宝石
کشمير	克什米尔
ټولپوښتنه	公民投票
كپېړ	鱷科
مولانا جلال الدين محمد بلخي	鲁米
کارغه	乌鸦
پلزن	比尔森
توکمپوهنه	民族学
مټ	臂
زمرد	祖母綠
وحشي پيشو	斑貓
شکرخوره	蜂鸟
فدراسيون	联邦制
شونډکيز چرگ	火雞
انسلم	坎特伯雷的安瑟莫
حامد کرزی	哈米德·卡尔扎伊
یان هوس	扬·胡斯
کورني آلو	欧洲李
اندرس بېرينگ برېويک	安德斯·贝林·布雷维克
شينټاغی	佛法僧科
احمد سلمان رشدي	薩爾曼·魯西迪
افسانه	传说
داریوش ۱	大流士一世
توت	桑树
لسبېله ولسوالۍ	拉斯贝拉县
اېنټروپي	熵
گجرات ولسوالۍ	古杰拉特县
هرات	赫拉特
کودتا	政變
کندهار	坎大哈
تړمه ييزه پراختیا	热膨胀系数
غشی	箭
غږتاندی	麦克风
توراڼه	黑卷尾
اپيم	鸦片
اوسيريس	欧西里斯
ازاد بازار	自由市場
اوکاړه ولسوالۍ	奥卡拉县
احمد شاه دراني	艾哈迈德沙·杜兰尼
اسراييل لرغونتون	以色列博物館
جي اس ام	全球移动通信系统
اېشواريه رای	艾西瓦娅·巴克罕
نوغپوهنه	系譜學
مېلټون فرايډمېن	米爾頓·佛利民
بانکنوټ	紙幣
نړيواله جنايي محکمه	国际刑事法院
رادار	雷达
د اسلامي همکاريو سازمان	伊斯兰合作组织
سياسي وټه	政治经济学
د بابل واکمني	巴比倫尼亞
جبران خليل جبران	纪伯伦·哈利勒·纪伯伦
خټکی	白兰瓜
روبي وېليمز	罗比·威廉斯
د سږو سرطان	肺癌
مهايانا	大乘佛教
امريتسر	阿姆利则
اس ـ ۳۰۰	S-300导弹
مير تشيال تمځی	和平号空间站
خانيوال ولسوالۍ	卡内瓦尔县
لنډه کيسه	短篇小说
د لبنان جگړه ۲۰۰۶	2006年以黎衝突
گرځندويي	旅游
شاعر	诗人
بادي توربین	風力發動機
يو گونديز حکومت	一党制
مصري ژبه	埃及语
هارون	亞倫
ایبولا ناروغۍ	埃博拉出血热
ژونځمکپوهنه	生物地理学
غونډ	團 (軍隊)
سور كانگرو	紅大袋鼠
هارپي	角雕
ابسيډين	黑曜岩
وېشنيزه:حکومت	Category:政府
د کيلو کلاس اوبتل	基洛级潜艇
سپايس گرلز	辣妹合唱團
مېزپاسی سولگر	桌上型電腦
پاراستامول	对乙酰氨基酚
عبدالله بن عبدالعزیز آل سعود	阿卜杜拉·本·阿卜杜勒-阿齐兹·阿勒沙特
سيد على خامنه‌اى	阿里·哈梅內伊
امام علي رحمانوف	埃莫马利·拉赫蒙
اسلام کريموف	伊斯蘭·卡里莫夫
راجا پروېز اشرف	拉贾·佩尔韦兹·阿什拉夫
گيودو ويسترويلي	基多·威斯特威勒
پښتو ژبه	普什图语
عرب سمندرگی	阿拉伯海
گرمټ	电钻
دیو جانس کلبی	锡诺普的第欧根尼
کورنت توغندی	9M133短號反坦克导弹
هېرويين	海洛因
کوفین	咖啡因
اندروجن	雄激素
سيمټيکس	塞姆汀炸药
راوړنې	進口
ببرک کارمل	巴布拉克·卡尔迈勒
حفيظ الله امين	哈菲佐拉·阿明
تريخی	胆囊
انتوني هوپکينز	安東尼·霍普金斯
مرکزي بانک	中央银行
جيپور	齋浦爾
سيبري پړانگ	东北虎
القلويد	生物鹼
آدم	亞當
ترور	姑母
یوسيف ۲	约瑟夫二世 (神圣罗马帝国)
کریستوف والڅ	克里斯托弗·瓦尔兹
ښاري انجنيري	土木工程
وړانگپوهنه	影像诊断学
اليگارشي	寡头政治
زړه گراف	心电图
د افغانستان رپی	阿富汗国旗
ايسيس	伊西斯
ځوانکې	粉刺
اېترنټ	以太网
چکوتره	柚子
بشري پوهنې	人文学科
ټپوس	黑鸢
نهنگی شارک	鯨鯊
بېنډۍ	秋葵
د سلطان احمد جومات	蘇丹艾哈邁德清真寺
اټومي بټۍ	核反应堆
مايکروسافټ اوټلوک	Microsoft Outlook
بنگالي پړانگ	孟加拉虎
مالداري	畜牧业
معمولي کپر (کب)	鯉
اولوموڅ	奧洛穆克
مورفين	嗎啡
د صرافی ماشین	自動櫃員機
نخود	鹰嘴豆
نوح	挪亞
والټ وايټمېن	沃尔特·惠特曼
غاښۍ	餐叉
چوپسټېک	筷子
د خوړو او کرهڼې سازمان	联合国粮食及农业组织
براشوف	布拉索夫
زنه	頷
قطبي گيدړ	北極狐
سياستوال	政治人物
شپږڅنډی	六边形
د افغانستان جگړه (۱۹۷۹-۱۹۸۹)	阿富汗战争 (1979年)
ختيځ هند کمپنۍ	不列颠东印度公司
الكساندر نيكولاېويچ رومانوف	亚历山大二世 (俄国)
اسکلېپيوس	阿斯克勒庇俄斯
ژان اېف کوستو	雅克-伊夫·库斯托
وزير (حکومت)	部長
گرو نانک	拿那克
کانپوهنه	矿物学
شېنگن تړون	申根公约
سابه خوړونکي	素食主義
امپيدوکلېس	恩培多克勒
اوېستا	波斯古经
شاه جهان	沙贾汗
شېر شاه سوري	舍尔沙
د الله نومونه	真主的九十九個尊名
د ساسانيانو واکمني	萨珊王朝
هوروس	荷鲁斯
پولنډبال	波兰球
راټکو مېلادېچ	拉特科·姆拉迪奇
انځورگري	素描
پرېژه	离婚
باليووډ	宝莱坞
اېف – ۱۶	F-16戰隼戰鬥機
عبدالله کلا ولسوالۍ	基拉阿布杜拉县
کلوژ-ناپوکا	克卢日-纳波卡
مرزا حسين علي بهاالله	巴哈欧拉
نېغ انسان	直立人
ماهر انسان	能人
هاډرون	强子
سوسن	鈴蘭
اينو	阿伊努人
تسپود	炎症
بايوم	生物群系
لروين	双筒望远镜
گبين مچۍ	蜜蜂屬
آوسټرالوپیتهېکوس	南方古猿
نړېواله جگړه	世界大戰
روي شنکر	拉维·香卡
چندرۍ	蛇麻
کرښی	尺子
قضايي قوه	司法機構
ماگنوس کارلسن	馬格努斯·卡爾森
مرزا اسد الله خان غالب	米尔扎·迦利布
ايالت	联邦制国家成员
کندوز	昆都士
انجه	阿魏
مارشال	元帅
انټيکولينرجيک	抗膽鹼劑
مالي کړکېچ	金融危机
هزاره گان	哈扎拉族
کريم خليلي	卡里姆·哈利利
سليكان ډای اکسايډ	二氧化硅
کورکورکه	珠颈斑鸠
د وېلسن ناروغي	肝豆狀核變性
د پاني پت جگړه	帕尼帕特战役
الكساندر الكساندروويچ رومانوف	亚历山大三世 (俄国)
بلخ ولايت	巴尔赫省
مشهد	馬什哈德
رنځورپالنه	护理学
پاکپتن ولسوالۍ	帕克帕坦县
ټولنیزه ولسواکي	社會民主主義
د ستنې طب	针灸
سفارت	大使
کجير	禿鷲
عقيق	瑪瑙
اپلاتون او دولت	理想国
ارستوکراسي	贵族政治
زکات	天課
گيورگې ژوکوف	格奥尔基·康斯坦丁诺维奇·朱可夫
د اوبو چينه	泉
بڼ پالنه	园艺
وېليم جېمز	威廉·詹姆士
غوڅندۍ	鋸
سورلنډی	胡狼
د موسم بدلون	氣候變化
واټن	距离
کوباني	艾因阿拉伯
پراگماتيزم	实用主义
وړکتون	幼稚園
ابن ميمون	邁蒙尼德
شين یاقوت	蓝宝石
پينځڅنډی	五边形
ټوټالېټر	極權主義
کوچيان	遊牧民族
درملپوهنه	药理学
د زیات شوي ارزښت ورکړېنه	增值税
خټنه	黏度
لوي سپين شارک	大白鲨
د جمشید پلاز	波斯波利斯
انتراکس	炭疽病
خشايارشا	薛西斯一世
مزار شريف	马扎里沙里夫
مېگ ۲۹	米格-29戰鬥機
د ذرو تعجيل کوونکي ماشين	粒子加速器
ډیمېټروډون	异齿龙
سپاینوسور	棘龍屬
بېیپیاوساوروس	北票龍屬
خلافت	哈里發國
معمولي آلوبالو	欧洲酸樱桃
زغوپرواژی	农药
ډومنيک ډي وېلپين	多米尼克·德维尔潘
د قم ولايت	庫姆省
گڼرسنۍ	多媒体
کوروند	剛玉
سریښ	黏合剂
والي	省长
توکمکښنه	民族誌
کرما په هندويزم کې	業
آيورويدا	阿育吠陀
د جال تړونونه	网络传输协议
جوليوس روبرټ اوپنهايمر	罗伯特·奥本海默
باختر	巴克特里亞
هېروگليف	圣书体
ولاديمير ولاديميروويچ ماياکوفسکي	弗拉基米尔·弗拉基米罗维奇·马雅可夫斯基
د هند پېښليک	印度历史
مستعمره	殖民地
ملخوزه	胡芦巴
اخوان المسلمون	穆斯林兄弟會
الياس	以利亞
طاعون	鼠疫
د سېټريک اسيد څرخ	三羧酸循环
دهرما	法 (印度哲學)
ټاسماني شيطان	袋獾
توپاز	黄玉
۹×۱۹ مرمی	9×19mm魯格彈
براخاوخېنیوس	短頸龍屬
آندروختونوس اوسترالیس	黃肥尾蠍
د ايران ولسوالۍ	县 (伊朗)
ابد	永恆
عبدالعلي مزاري	阿布杜勒·阿里·馬扎里
زابل ولايت	扎布尔省
مسراشمیت مې-۲۶۲	Me 262戰鬥機
شگموښی	砂纸
ايليوشين-۷۶	伊留申76
فرایشتات	弗賴施塔特
هربرټ سپېنسر	赫伯特·斯宾塞
زلمی رسول	扎尔迈·拉苏尔
سارک	南亚区域合作联盟
يوسف	約瑟 (舊約聖經)
د لويديځ سلاوي ژبې	西斯拉夫语支
اروپايي صنوبر	歐洲雲杉
چمبل	堇菜属
پولي ونيل کلورايډ	聚氯乙烯
نانگه	紅加侖
قبطيان	科普特人
ټاټرا ۸۱۷	太拖拉 817
نارنج	苦橙
اناناس	凤梨属
کاجول	卡約兒·德烏根
ايگلا	SA-18防空飛彈
مېگ ۳۱	米格-31戰鬥機
پښيميسل اوتاکار ۲	普热米斯尔·奥托卡二世
رودلف ۲ هابسبورگ	鲁道夫二世 (神圣罗马帝国)
عبد العزيز بن عبدالرحمن بن فيصل آل سعود	阿卜杜勒-阿齐兹·本·阿卜杜拉赫曼·本·费萨尔·阿勒沙特
دېوالي	破產
بوغمه	水肿
محمد ظاهر شاه	穆罕默德·查希尔沙
ډگر جنرال	中將
بريد جنرال	准將
سيف الله کلا ولسوالۍ	基拉赛福拉县
البرخت فون والدشتاین	阿尔布雷赫特·冯·华伦斯坦
امير امان الله خان	阿曼諾拉汗
عمران خان	伊姆蘭·罕
یان لوگزامبورگ	约翰一世 (波希米亚)
جيارډيا لامبليا	兰氏贾第鞭毛虫
ميل می ۸	Mi-8直升機
مېسرشمېت بي اف ۱۰۹	Bf 109戰鬥機
مسراشمیت بي اف ۱۱۰	Bf 110戰鬥機
یوزي	烏茲衝鋒槍
ريچارډ هولبروک	理查德·霍布魯克
ميل می ۲۴	Mi-24雌鹿直升機
ايساف	駐阿富汗國際維和部隊
ټې-۷۲	T-72主戰坦克
یونکرس یو ۸۸	Ju 88轟炸機
کارل ۴	查理四世 (神圣罗马帝国)
مېگ ۲۳	米格-23战斗机
ارهنډه	蓖麻
اېرو ال-۳۹ الباتروس	L-39信天翁
نېښ لرونکي بوټي	异株荨麻
د آلمان ملي دموکراتیک گوند	德國國家民主黨
رشقه	紫花苜蓿
سره غوړیانه	欧洲百合
فيض آباد (بدخشان)	法扎巴德 (阿富汗)
ځريځه	红花
تورن جنرال	少将
گزک بوټي	长叶车前
ال – ۴۱۰	Let L-410
تبو	塔布 (女演員)
غوماشی	瘧蚊
د افغانستان ولايتونه	阿富汗行政區劃
تاووس پتنگ	孔雀蛱蝶
جوهي چاولا	菊希·曹拉
پريانکا چوپړا	佩麗冉卡·曹帕拉
ويديا بالان	瑋焍婭·芭蘭
لاکهيډ مارتين آر کيو ۱۷۰ سېنټينل	RQ-170偵查機
ناصر الدين شاه قاجار	納賽爾丁·沙
سپما گڼون	存款
د اس وې ډې دراگونوف ټوپک	SVD狙擊步槍
وټه	经济
د ځمکې گړۍ	地球一小时
رام	羅摩
محمد علی جناح	穆罕默德·阿里·真納
وچکۍ تبه (محرقه)	斑疹傷寒
اتره	軀幹
توت خوره	燕雀科
شاتوت	黑桑
سنځله	胡颓子属
ښاريتوب	城市化
غونجېدنه (وټپوهنه)	通货紧缩
خپلپالنه	裙帶關係
باور کارټ	信用卡
پامير	帕米爾高原
وېلنی	欧薄荷
سيسۍ	雷鸟属
سرطانپوهنه	肿瘤学
گلايکوليسېز	糖酵解
شکودا فابيا	斯柯达晶锐
گایوس واليریوس کاتولوس	卡图卢斯
بلوچستان (پاکستان)	俾路支省
غالۍ	地毯
موزيکپوهنه	音乐学
ليندۍ	摩羯宮
ابسه	膿瘍
کدو	南瓜
د کرمان ولايت	克爾曼省
بدخشان ولايت	巴达赫尚省
لیکاڼۍ	筆
اتڅنډی	八边形
مچ	家蠅
وړانديز (وټپوهنه)	供给和需求
پارلماني حکومت	議會制
برغټ	兔猻
نگوس	刻板印象
نورستان ولايت	努尔斯坦省
محمد قسيم فهيم	穆罕默德·法希姆
ډولومیت	白云石
جابر بن حیان	贾比尔
بورقه	波卡
کرايووا	克拉約瓦
کورکوری	欧斑鸠
روحانيت	靈性
انافلاکسي	全身型過敏性反應
د اسلام انبیاء	伊斯蘭教的先知
لاسپېله	手套
محمد زکريا رازي	拉齐
گرافېن	石墨烯
رنځېږن	病原体
ليکپاکټ	封套
کانفدراسيون	邦联制
ټي اېن ټي	三硝基甲苯
چېکيان	捷克人
بغلان ولايت	巴格兰省
ابټ آباد	阿伯塔巴德
بدن	身體
يزد ولايت	亞茲德省
قم	库姆
توماس اېډورډ لارېنس	托马斯·爱德华·劳伦斯
بيولوژيکي وسلې	生物武器
ټېغکه	伯劳科
عباس ۱	阿拔斯一世 (波斯)
باميان ولايت	巴米扬省
ای اچ ۶۴ آباچی	AH-64阿帕契直升机
لمرگلی	向日葵
د سهېلي خراسان ولايت	南呼羅珊省
پېښه	意外事故
کرمان	克尔曼
احمديت	阿赫迈底亚
د اگرې کلا	阿格拉堡
د مذهب خپلواكي	宗教自由
تيتر	珠雞
ځانگړواله	个人主义
بادغيس ولايت	巴德吉斯省
قبة الصخرة جومات	圆顶清真寺
اشرف غني احمدزی	阿什拉夫·加尼·艾哈迈德扎伊
رېبز	帚
ټوپولف ټو-۱۵۴	圖-154
نړیواله پېغله	世界小姐
آټوکراسي	独裁
خواړه ساتنه	食品保存
مارگريت ميتچېل	玛格丽特·米切尔
آرگېنين	精氨酸
سوخوی سو ٢٧	苏-27战斗机
ام۱ آبرامس	M1艾布蘭主力戰車
غزني	加兹尼
وختتېری	娛樂
کندهار ولايت	坎大哈省
کاپيسا ولايت	卡比萨省
هلمند ولايت	赫尔曼德省
فارياب ولايت	法利亚布省
محراب	米哈拉布
د الازهر پوهنتون	艾資哈爾大學
بوتل پزی څوڅ	宽吻海豚
اوسېلوسکوپ	示波器
توحيد	認主學
بي-٥٢ سټراټوفورټرېس	B-52同溫層堡壘轟炸機
کوډيين	可待因
فتح علي شاه قاجار	法特赫-阿里沙·卡扎爾
بېديانۍ پيشو	沙漠猫
تانبه:تاریخ	Portal:历史
واتسلاف ۱	瓦茨拉夫一世
د اسلام پنځه بنسټونه	五功
زوی	兒子
سکاره	木炭
شنقار	海东青
د ژونکې تيوري	细胞学说
فولېرېن	富勒烯
نېکروسېز	壞死
د واشنگټن څلی	華盛頓紀念碑
آنتونوف-۲۲۵	An-225運輸機
وييپوهنه	词汇学
ننگرهار ولايت	楠格哈尔省
درونکښ	起重机
روژه	齋戒 (伊斯蘭教)
کاني اوبه	礦泉水
نولۍ	矇眼貂
لگښت ساتنې تگلاره	贸易保护主义
آنتیستنس	安提西尼
مرکزي حکومت	单一制
د پاکستان په شمال لویدیځ کې جگړه	巴基斯坦西北部战争
اسماني کتابونه او صحيفې	宗教經典
ژبساپوهنه	心理语言学
اوبزمکپوهنه	水文地质学
د مزلو د اړتیاوو د مرتبو سلسله	需求层次理论
د بازار وټه	市场经济
اپیکوریزم	伊比鳩魯學派
اورمازده	阿胡拉·馬茲達
درملنه	疗法
اريايان	雅利安人
يعقوب کندي	肯迪
گورجېس	高爾吉亞
سياسي فلسفه	政治哲学
جوهر دوداییف	焦哈尔·杜达耶夫
ايوب	约伯
د افغانستان ولسي لاره	阿富汗国歌
ستورمزلي	太空探索
اېکونومېسټ	经济学人
تورگوت اوزال	图尔古特·厄扎尔
نورتورپ گرومان بي ۲ سپېريټ	B-2幽灵战略轰炸机
لمريز لېږديز کليز	伊朗曆
فراه ولايت	法拉省
غزني ولايت	加兹尼省
وړانگدرملنه	放射線療法
کوټه	房間
شاپ	栓剂
پوهنځی	學院 (大學)
نکوټي يانا ټیبېکم	烟草
بلوچستان	俾路支斯坦
سيد حسن نصرالله	哈桑·纳斯鲁拉
دايکندي ولايت	代孔迪省
پنجشېر ولايت	潘傑希爾省
زړه نابری	心臟衰竭
ټوپولف ټو-۹۵	Tu-95轟炸機
د جانسي راني	詹西女王
بلخ	巴尔赫
امونيم نايټرېټ	硝酸铵
آسيايي زمري	亞洲獅
کامبوجيه ۲	冈比西斯二世
سرپل ولايت	薩爾普勒省
پکتيا ولايت	帕克蒂亚省
خوارزم	花剌子模
بهرونه	出口贸易
ايټا جېمز	伊特·珍
كنسرټ	音樂會
هرات ولايت	赫拉特省
سمنگان ولايت	萨曼甘省
نيمروز ولايت	尼姆鲁兹省
روزگان ولايت	乌鲁兹甘省
جوزجان ولايت	朱兹詹省
ميدان وردگ ولايت	瓦尔达克省
کورکوړۍ	蜂虎科
شننيزه فلسفه	分析哲學
سېموېل کولټ	塞缪尔·柯尔特
جلالکوټ	賈拉拉巴德 (阿富汗)
خيبر پښتونخوا	开伯尔-普什图省
سينوسايټس	鼻竇炎
موکشا	解脫
اسماعيل	以实玛利
نسخوږی	腹痛
لسڅنډی	十边形
چينايي فلسفه	中国哲学
بوينگ بي ۲۹	B-29超級堡壘轟炸機
کرينه کپور	卡琳娜·卡浦爾
بوينگ بي ۱۷ فلاينگ فورټرېس	B-17轟炸機
واسلين	凡士林
فلېپيني عقاب	食猿鵰
لغمان ولايت	拉格曼省
مولتان	木爾坦
کوټه (ښار)	奎達
پکتيکا ولايت	帕克蒂卡省
خوست ولايت	霍斯特省
کيفيت	品质
د لوی اختر مياشت	都爾黑哲月
بريدمن	中尉
علي اکبر هاشمي رفسنجاني	阿克巴尔·哈什米·拉夫桑贾尼
ايمن الظواهري	艾曼·扎瓦希里
رنځورپاله	護理人員
غور ولايت	古爾省
تخار ولايت	塔哈尔省
کندوز ولايت	昆都士省
د پاکستان د خلکو گوند	巴基斯坦人民党
د اتریش د خلک ګوند	奥地利人民党
ايبوپروفېن	布洛芬
کارسک گيدړ	沙狐
ابهيشېک بچچن	阿彼锡·巴克罕
سالنډي	呼吸困难
کونړ ولايت	库纳尔省
پروان ولايت	帕尔旺省
آيت	阿亞
قول اردو	军 (军队)
ايمفيسېما	肺氣腫
احمد ياسين	艾哈迈德·亚辛
برهان الدين رباني	布爾漢努丁·拉巴尼
پريټي زېنتا	普丽缇·泽塔
صحابه	薩哈巴
سمایلوډون	斯劍虎
مېرمن	妻子
اوڅنډی	七边形
د افغانستان پېښليک	阿富汗历史
کابل ولايت	喀布尔省
ټېډ	TED大会
آندری کاراطايف	安德烈·科罗塔耶夫
سلطان محمود غزنوي	伽色尼的马哈茂德
د زړه ارېتميا	心律不整
پینټریټ	季戊四醇四硝酸酯
اسلامي هنر	伊斯蘭藝術
اسلامپالنه	伊斯兰主义
پوښتنه	疑問句
هیکسوجن	黑索金
ميناتو	港區 (東京都)
اوښلن لوگی	催淚彈
کوستا کونکورديا	歌詩達協和號
د زړه ناروغۍ	心脏病
ابو حنيفه (امام اعظم)	阿布·哈尼法
مرکاوا شوبله	梅卡瓦主战坦克
جوهر	本质
ټوپولف ټو-۱۶۰	Tu-160海盗旗战略轰炸机
شيطاني آيات	撒旦诗篇
خيبر دره	开伯尔山口
شاپور ۱	沙普尔一世
سيلدينافيل	西地那非
تکبیر	大赞辞
مالي کال	財政年度
سوخوی سو-۲۵	Su-25攻擊機
پرولاکټين	催乳素
ټانگتوره	曼陀罗属
تیسفون	泰西封
ډېلي ټيليگراف	每日电讯报
سټرېپټومايسين	鏈黴素
هندي څمڅه منگور	印度眼鏡蛇
ټې-۹۰	T-90主戰坦克
نادر شاه افشار	纳迪尔沙
د بوټي هورمون	植物激素
ټېټراسايکلين	四環黴素
اسلامي فلسفه	伊斯兰哲学
سبسيډي	補貼
د پراگ کلا	布拉格城堡
آنتونوف-۱۲۴	安托諾夫An-124
هود	呼德
خړانکه	鹨属
ملا محمد عمر	穆罕默德·奥马尔
کړنی سېک	动作电位
سوخوی پک فا	T-50戰鬥機
شاهرخ افشار	沙魯克·阿夫沙爾
ام کيو-۱ پرېډاټور	MQ-1捕食者无人攻击机
زيډووډين	齐多夫定
افغانۍ	阿富汗尼
مېگ ۲۵	米格-25战斗机
د سږو اوندنه خنډيزه ناروغي	慢性阻塞性肺病
احمد شاه مسعود	艾哈迈德·沙阿·马苏德
داسو میراژ- ۲۰۰۰	幻影2000战斗机
نهڅنډی	九邊形
آزاد کشمير	自由克什米爾
اوبسپی	水獺
چينايي دوديزه درملگري	中医学
گېلگېت بالتستان	吉尔吉特-巴尔蒂斯坦
بلوڅان	俾路支人
کېټ وېنسلېټ	凱特·溫斯蕾
نيوموتوراکس	氣胸
اورو لانکاسټر	蘭開斯特轟炸機
رمضان بشردوست	拉马赞·巴沙里德斯特
لرغونې فلسفه	古典哲学
زين العابدين بن علي	宰因·阿比丁·本·阿里
يوني ماشين	离子推力器
نېټه	日期
ایزو ۹۰۰۰	ISO 9000
اليسع	以利沙
معمولي څوڅ	真海豚
ترچ مير	蒂里杰米尔峰
مطبوعاتي اعلاميه	新聞稿
محمد نجيب الله	穆罕默德·纳吉布拉
قونسلگري	领事
فدرالي قبايلي سيمې	联邦直辖部落地区
د مذهب فلسفه	宗教哲学
ډايازيپم	地西泮
سوخوی سو-۲۴	Su-24戰鬥轟炸機
کورټيکوسټېرويډ	皮質類固醇
غوږور ښاپېرک	普通长耳蝠
چندړ	檀香
سيد قطب	赛义德·库特布
بوکو حرام	博科圣地
السلام عليکم	色兰
خسرو پرويز	霍斯劳二世
اېنډوسکوپي	內視鏡
مېړه	丈夫
غونډل	捕鳥蛛科
گندهارا	健馱邏國
يان ژيژکا	揚·傑式卡
ستره لوبه	大博弈
لاجورد	青金石
مقتدی الصدر	穆克塔达·萨德尔
چت	地板
يزيد بن معاويه	耶齐德一世
آلانين	丙氨酸
ښکلي هنرونه	美術
افدرين	麻黃鹼
ای اچ ۱ کبرا	AH-1眼鏡蛇直升機
سورة الفاتحة	開端章
سورة البقرة	黃牛章
جنگسالار	军阀
د سږو امبولي	肺栓塞
ښي لاسی او کيڼ لاسی ترافيک	道路通行方向
برات	舍爾邦月
سورة النمل	螞蟻章
De Havilland Mosquito	蚊式轟炸機
کيشپ	龜
شکودا اوکټاويا	斯柯达明锐
سټېنگر FIM-92	FIM-92刺針飛彈
دماغي مړينه	脑死
د وټيزو همکاريو سازمان	经济合作组织
شوننېزم	沙文主义
امريکا غږ	美国之音
درې بعدي چاپگر	3D打印
مامولکه	鹡鸰属
حسن البنا	哈桑·班納
سورة الزخرف	金飾章
سورة الدخان	煙霧章
سورة الجاثية	屈膝章
سورة الأحقاف	沙丘章
سورة محمد	穆罕默德章
سورة الفتح	勝利章
ډېل کارنېگي	戴尔·卡耐基
روح الله نېکپا	鲁胡拉·尼帕伊
سورة المجادلة	辯訴者章
مېتی	鶴嘴鋤
مادهوري ډکشټ	瑪都麗·荻西特
جامنو	閻浮樹
سورة التكوير	黯黮章
سورة الفجر	黎明章
د ماغزو تومور	脑肿瘤
د پاني پت دوهمه جگړه	第二次帕尼帕特战役
د افغان-انگرېز دويمه جگړه	第二次英国-阿富汗战争
سار	棕尾鵟
اکشې کمار	阿克夏·庫馬
مکه معظمه	麥加省
سپين توت	檄樹
سورت	蘇拉
د هند کمونیست گوند (مارکسیست)	印度共产党（马克思主义）
مکي سورتونه	麥加篇章
مدني سورتونه	麥地那篇章
حديث	聖訓
شاپور ۲	沙普尔二世
حج	朝觐 (伊斯兰教)
ټې-۸۰	T-80主戰坦克
ميل مي - ۲۸	Mi-28攻擊直升機
ديکلوفيناک	双氯芬酸钠
سوخوی سو ۳۵	Su-35戰鬥機
پيچکاري	注射
د غزنويانو ټولواکمني	伽色尼王国
اواران ولسوالۍ	阿瓦兰县
