ਅਫ਼ਰੀਕਾ	非洲
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਵਿਟਜ਼ਰਲੈਂਡ	Template:Location map Switzerland
ਉਸਾਰੀ ਕਲਾ	建筑
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਲੋਵਾਕੀਆ	Template:Location map Slovakia
ਪੁਲ	橋
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਹੰਗਰੀ	Template:Location map Hungary
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਲੋਵੇਨੀਆ	Template:Location map Slovenia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕ੍ਰੋਏਸ਼ੀਆ	Template:Location map Croatia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੋਸੋਵੋ ਗਣਰਾਜ	Template:Location map Kosovo
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੋਂਟੇਨੇਗਰੋ	Template:Location map Montenegro
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Template:Location map Republic of Macedonia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅਲਬਾਨੀਆ	Template:Location map Albania
ਵਿਲਾਰਿਆਲ ਫੁੱਟਬਾਲ ਕਲੱਬ	比利亚雷亚尔足球俱乐部
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੁਲਗਾਰੀਆ	Template:Location map Bulgaria
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਰੋਮਾਨੀਆ	Template:Location map Romania
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੋਲਦੋਵਾ	Template:Location map Moldova
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਯੂਕਰੇਨ	Template:Location map Ukraine
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੈਲਾਰੂਸ	Template:Location map Belarus
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜਾਰਜੀਆ	Template:Location map Georgia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਤੁਰਕਮੇਨਿਸਤਾਨ	Template:Location map Turkmenistan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਉਜ਼ਬੇਕਿਸਤਾਨ	Template:Location map Uzbekistan
ਬੰਨ੍ਹ	水坝
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਿਰਗਿਜ਼ਸਤਾਨ	Template:Location map Kyrgyzstan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਤਾਜਿਕਿਸਤਾਨ	Template:Location map Tajikistan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਾਈਪ੍ਰਸ	Template:Location map Cyprus
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੀਰੀਆ	Template:Location map Syria
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਲਿਬਨਾਨ	Template:Location map Lebanon
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਜ਼ਰਾਈਲ	Template:Location map Israel
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜਾਰਡਨ	Template:Location map Jordan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਰਾਨ	Template:Location map Iran
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੁਵੈਤ	Template:Location map Kuwait
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਾਊਦੀ ਅਰਬ	Template:Location map Saudi Arabia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬਹਿਰੀਨ	Template:Location map Bahrain
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਤਰ	Template:Location map Qatar
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੰਯੁਕਤ ਅਰਬ ਅਮੀਰਾਤ	Template:Location map United Arab Emirates
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਓਮਾਨ	Template:Location map Oman
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਯਮਨ	Template:Location map Yemen
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਪਾਕਿਸਤਾਨ	Template:Location map Pakistan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਭਾਰਤ	Template:Location map India
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਭੂਟਾਨ	Template:Location map Bhutan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੰਗਲਾਦੇਸ਼	Template:Location map Bangladesh
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬਰਮਾ	Template:Location map Myanmar
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਾਲਦੀਵ	Template:Location map Maldives
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੰਗੋਲੀਆ	Template:Location map Mongolia
ਲੂਣ (ਰਸਾਇਣ ਵਿਗਿਆਨ)	盐
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਚੀਨ	Template:Location map China
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਉੱਤਰੀ ਕੋਰੀਆ	Template:Location map North Korea
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਦੱਖਣੀ ਕੋਰੀਆ	Template:Location map South Korea
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਫ਼ਿਲਪੀਨਜ਼	Template:Location map Philippines
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਵੀਅਤਨਾਮ	Template:Location map Vietnam
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਲਾਓਸ	Template:Location map Laos
ਮਾਰੀਓ	马里奥 (角色)
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੰਬੋਡੀਆ	Template:Location map Cambodia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਥਾਈਲੈਂਡ	Template:Location map Thailand
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬਰੂਨਾਏ	Template:Location map Brunei
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇੰਡੋਨੇਸ਼ੀਆ	Template:Location map Indonesia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਪੂਰਬੀ ਤਿਮੋਰ	Template:Location map East Timor
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਆਸਟਰੇਲੀਆ	Template:Location map Australia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਨਿਊਜ਼ੀਲੈਂਡ	Template:Location map New Zealand
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	Template:Location map Papua New Guinea
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਵਨੁਆਤੂ	Template:Location map Vanuatu
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਮੋਆ	Template:Location map Samoa
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੂਰੀਨਾਮ	Template:Location map Suriname
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗੁਇਆਨਾ	Template:Location map Guyana
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਵੈਨੇਜ਼ੁਏਲਾ	Template:Location map Venezuela
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੋਲੰਬੀਆ	Template:Location map Colombia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਏਕੁਆਡੋਰ	Template:Location map Ecuador
ਮੋਨਾ ਲੀਜ਼ਾ	蒙娜丽莎
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਪੇਰੂ	Template:Location map Peru
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੋਲੀਵੀਆ	Template:Location map Bolivia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਚਿਲੇ	Template:Location map Chile
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅਰਜਨਟੀਨਾ	Template:Location map Argentina
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਪੈਰਾਗੁਏ	Template:Location map Paraguay
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਉਰੂਗੁਏ	Template:Location map Uruguay
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬ੍ਰਾਜ਼ੀਲ	Template:Location map Brazil
ਪੀਰੇਨੇ	比利牛斯山
ਡਿਟਰਾਇਟ, ਮਿਸ਼ੀਗਨ	底特律
ਕੌਮਾਂਤਰੀ ਇਕਾਈ ਢਾਂਚਾ	国际单位制
ਬੁਰਜ ਖ਼ਲੀਫ਼ਾ	哈里發塔
ਚੀਨ ਦੀ ਮਹਾਨ ਦੀਵਾਰ	长城
ਪੂਰਨ ਸੰਖਿਆ	整数
ਆਈਆ ਸੋਫ਼ੀਆ	圣索菲亚大教堂
ਪਿਰਾਮਿਡ	金字塔
ਬਿਜ਼ਾਨਤਿਨ ਸਲਤਨਤ	拜占庭帝国
ਸਲੀਬੀ ਜੰਗਾਂ	十字軍東征
ਮੰਗੋਲ ਸਾਮਰਾਜ	蒙古帝国
ਸਲਤਨਤ ਉਸਮਾਨੀਆ	奥斯曼帝国
ਪ੍ਰੋਟੈਸਟੈਂਟ ਪੁਨਰਗਠਨ	宗教改革
ਲਾਤੀਨੀ ਅਮਰੀਕਾ	拉丁美洲
ਮੈਕਸੀਕੋ ਦੀ ਖਾੜੀ	墨西哥湾
ਕੁੱਲ ਘਰੇਲੂ ਪੈਦਾਵਾਰ	国内生产总值
ਕੈਲੀਗ੍ਰਾਫੀ	书法
ਮੈਕਸਿਮ ਗੋਰਕੀ	马克西姆·高尔基
ਬਿਜਲੀ	電
ਪਥਰਾਟੀ ਬਾਲਣ	化石燃料
ਭਾਫ਼ ਦਾ ਇੰਜਣ	蒸汽机
ਨਿਊਕਲੀ ਬੰਬ	核武器
ਅਬੈਕਸ	算盘
ਉਮਬੇਰਤੋ ਈਕੋ	翁贝托·埃可
ਇਬੇਰੀਆਈ ਟਾਪੂਨੁਮਾ	伊比利亚半岛
ਪਾਉਲੋ ਕੋਇਲੋ	保羅·科爾賀
ਪੇਲੇ (ਖਿਡਾਰੀ)	比利
ਮਾਜੁਰੋ	馬久羅
ਮਾਰੀਨ ਲ ਪੈਨ	马琳·勒庞
ਸਵਾਤੀ ਤਾਰਾ	大角星
ਵਿਨੋਬਾ ਭਾਵੇ	維諾巴·巴韋
ਬਲਾਟਰਿਕਸ	参宿五
ਐਪਸੀਲੋਨ ਓਰੀਓਨਿਸ	參宿二
ਨਿਊਕਲੀ ਮੇਲ	核聚变
ਕਰਤੁ	天樞
ਅੰਗਿਰਸ	玉衡 (恒星)
ਪੁਲਸਤਯ	天璇
ਖੋਪੜੀ	颅骨
ਸਟਰਾਬਰੀ	草莓
ਮਾਸਕੋ ਸਟੇਟ ਯੂਨੀਵਰਸਿਟੀ	莫斯科国立大学
ਫੋਮਾਲਹਾਊਟ ਤਾਰਾ	北落师门
ਮਿਤਰਕ ਤਾਰਾ	馬腹一
ਮੁਨੱਕਾ	葡萄乾
ਨਾਰੀਅਲ	椰
ਅਨਾਰ	石榴
ਆੜੂ	桃
ਸੰਤਰਾ	橙
ਰਾਜਸਥਾਨੀ ਭਾਸ਼ਾ	拉贾斯坦语
ਰੋਮਾਨੀ ਭਾਸ਼ਾ	罗姆语
ਕੋਸਾ ਭਾਸ਼ਾ	科萨语
ਫਰਦੀਨਾ ਦ ਸੌਸਿਊਰ	弗迪南·德·索緒爾
ਆਈਸ ਕਰੀਮ	冰淇淋
ਉਇਗ਼ੁਰ ਭਾਸ਼ਾ	维吾尔语
ਸਿੰਹਾਲਾ ਭਾਸ਼ਾ	僧伽罗语
ਕੇਕ	蛋糕
ਮਾਂਟਸਰਾਤ	蒙塞拉特島
ਹਾਰਵਰਡ ਯੂਨੀਵਰਸਿਟੀ	哈佛大学
ਬਸ਼ਕੀਰ ਭਾਸ਼ਾ	巴什基尔语
ਓਨੀਗਿਰੀ	飯糰
ਕ੍ਰਿਤੀਕਾ	昴宿星團
ਅਲ ਜਜ਼ੀਰਾ	半岛电视台
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗਰੀਨਲੈਂਡ	Template:Location map Greenland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੈਨੇਡਾ	Template:Location map Canada
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੈਕਸੀਕੋ	Template:Location map Mexico
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੇਲੀਜ਼	Template:Location map Belize
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗੁਆਤੇਮਾਲਾ	Template:Location map Guatemala
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਾਲਵਾਦੋਰ	Template:Location map El Salvador
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਹਾਂਡੂਰਾਸ	Template:Location map Honduras
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਨਿਕਾਰਾਗੁਆ	Template:Location map Nicaragua
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੋਸਤਾ ਰੀਕਾ	Template:Location map Costa Rica
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਪਨਾਮਾ	Template:Location map Panama
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬਹਾਮਾਸ	Template:Location map Bahamas
ਫਰਮਾ:ਨਕਸ਼ਾ ਸਥਿਤੀ ਕਿਊਬਾ	Template:Location map Cuba
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜਮੈਕਾ	Template:Location map Jamaica
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਐਂਟੀਗੁਆ ਅਤੇ ਬਰਬੂਡਾ	Template:Location map Antigua and Barbuda
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਡੋਮਿਨਿਕਾ	Template:Location map Dominica
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬਾਰਬਾਡੋਸ	Template:Location map Barbados
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਤ੍ਰਿਨੀਦਾਦ ਅਤੇ ਤੋਬਾਗੋ	Template:Location map Trinidad and Tobago
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਹਿੰਦ ਮਹਾਂਸਾਗਰ	Template:Location map Indian Ocean
ਐਂਜਲੀਨਾ ਜੋਲੀ	安吉丽娜·朱莉
ਈਲ-ਡ-ਫ਼ਰਾਂਸ	法兰西岛
ਏਡਰੀਆਟਿਕ ਸਮੁੰਦਰ	亚得里亚海
ਸੌਂਤਰ	中央 (大區)
ਪਿਕਾਰਡੀ	皮卡第
ਅਰਬੀ ਭਾਸ਼ਾ	阿拉伯语
ਕਾਪਾ ਓਰਾਔਨਿਸ	参宿六
ਆਈਪੌਡ ਟੱਚ	IPod touch
ਸ਼ਾਂਪੇਨ-ਆਰਦਨ	香槟-阿登
ਕਾਰਸਿਕਾ	科西嘉岛
OS X	OS X
ਅਫ਼ਰੀਕਾਂਸ ਭਾਸ਼ਾ	南非語
ਪ੍ਰਧਾਨ ਮੰਤਰੀ	总理
ਸਾਂਤੀਆਗੋ ਦੇ ਕੋਮਪੋਸਤੇਲਾ	聖地亞哥-德孔波斯特拉
ਓਬੀਐਦੋ	奥维耶多
ਬੀਟਾ	Β
ਗਾਮਾ	Γ
ਸਟੈਗੋਸੌਰਸ	劍龍屬
ਡੈਲਟਾ (ਅੱਖਰ)	Δ
ਐਪਸੀਲੋਨ	Ε
ਜ਼ੀਟਾ	Ζ
ਈਟਾ	Η
ਥੀਟਾ	Θ
ਆਓਟਾ	Ι
ਕਾਪਾ	Κ
ਨਿਊ (ਅੱਖਰ)	Ν
ਕਸੀ (ਅੱਖਰ)	Ξ
ਜ਼ੁਰਿਕ ਝੀਲ	苏黎世湖
ਓਮੀਕ੍ਰੋਨ	Ο
ਰੋ	Ρ
ਸਿਗਮਾ	Σ
ਟਾਓ	Τ
ਉਪਸੀਲੋਨ	Υ
ਕਾਈ	Χ
ਸਾਈ (ਅੱਖਰ)	Ψ
ਈਸਟਰ ਟਾਪੂ	復活節島
ਥੋਹਰ	仙人掌
ਲਿਨਕਸ ਕਰਨਲ	Linux内核
ਪ੍ਰਕਾਸ਼ ਵਿਗਿਆਨ	光学
ਸਨ ਮਾਈਕ੍ਰੋਸਿਸਟਮਸ	昇陽電腦
ਘਰੇਲੂ ਚਿੜੀ	家麻雀
ਫ਼ਿਨਲੈਂਡ ਦੀ ਖਾੜੀ	芬蘭灣
ਫ਼ਰਨੀਚਰ	家具
ਮੇਜ਼	桌子
ਮਕਾਉ	澳門
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੋਰਾਕੋ	Template:Location map Morocco
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅਲਜੀਰੀਆ	Template:Location map Algeria
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਤੁਨੀਸੀਆ	Template:Location map Tunisia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਲੀਬੀਆ	Template:Location map Libya
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਿਸਰ	Template:Location map Egypt
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਾਲੀ	Template:Location map Mali
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਨਾਈਜਰ	Template:Location map Niger
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਚਾਡ	Template:Location map Chad
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੁਡਾਨ	Template:Location map Sudan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਦੱਖਣੀ ਸੁਡਾਨ	Template:Location map South Sudan
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਰੀਤਰੀਆ	Template:Location map Eritrea
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਇਥੋਪੀਆ	Template:Location map Ethiopia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜਿਬੂਤੀ	Template:Location map Djibouti
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੋਮਾਲੀਆ	Template:Location map Somalia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੇਪ ਵਰਡ	Template:Location map Cape Verde
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੇਨੇਗਲ	Template:Location map Senegal
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗਾਂਬੀਆ	Template:Location map Gambia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗਿਨੀ-ਬਿਸਾਊ	Template:Location map Guinea-Bissau
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗਿਨੀ	Template:Location map Guinea
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਿਏਰਾ ਲਿਓਨ	Template:Location map Sierra Leone
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਲਾਈਬੇਰੀਆ	Template:Location map Liberia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਦੰਦ ਖੰਡ ਤਟ	Template:Location map Côte d'Ivoire
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	Template:Location map Burkina Faso
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਘਾਨਾ	Template:Location map Ghana
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਟੋਗੋ	Template:Location map Togo
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੇਨਿਨ	Template:Location map Benin
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਨਾਈਜੀਰੀਆ	Template:Location map Nigeria
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੈਮਰੂਨ	Template:Location map Cameroon
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੱਧ ਅਫ਼ਰੀਕੀ ਗਣਰਾਜ	Template:Location map Central African Republic
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਭੂ-ਮੱਧ ਰੇਖਾਈ ਗਿਨੀ	Template:Location map Equatorial Guinea
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਗਬਾਨ	Template:Location map Gabon
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਾਂਗੋ ਗਣਰਾਜ	Template:Location map Republic of the Congo
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	Template:Location map Democratic Republic of the Congo
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਯੁਗਾਂਡਾ	Template:Location map Uganda
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕੀਨੀਆ	Template:Location map Kenya
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਰਵਾਂਡਾ	Template:Location map Rwanda
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੁਰੂੰਡੀ	Template:Location map Burundi
ਫਰਮਾ:Location map ਤਨਜ਼ਾਨੀਆ	Template:Location map Tanzania
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮੋਜ਼ੈਂਬੀਕ	Template:Location map Mozambique
ਫਰਮਾ:Location map ਮਲਾਵੀ	Template:Location map Malawi
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜ਼ਾਂਬੀਆ	Template:Location map Zambia
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਅੰਗੋਲਾ	Template:Location map Angola
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਬੋਤਸਵਾਨਾ	Template:Location map Botswana
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਜ਼ਿੰਬਾਬਵੇ	Template:Location map Zimbabwe
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਦੱਖਣੀ ਅਫਰੀਕਾ	Template:Location map South Africa
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸਵਾਜ਼ੀਲੈਂਡ	Template:Location map Swaziland
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਕਾਮਾਰੋਸ	Template:Location map Comoros
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਾਦਾਗਾਸਕਰ	Template:Location map Madagascar
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਮਾਰੀਸ਼ਸ	Template:Location map Mauritius
ਫਰਮਾ:ਸਥਿਤੀ ਨਕਸ਼ਾ ਸੇਸ਼ੈਲ	Template:Location map Seychelles
ਕੁਰਸੀ	椅
ਅੰਤਰਾਸ਼ਟਰੀ ਮਿਆਰੀਕਰਣ ਸੰਘ	國際標準化組織
ਸ਼ੀ ਚਿਨਪਿੰਙ	习近平
ਅਲਿਫ਼	Aleph
ਜਿਰਾਫ਼	长颈鹿
ਕੁਐਂਕਾ	昆卡 (西班牙)
ਪ੍ਰੋਵਾਂਸ-ਆਲਪ-ਅਸਮਾਨੀ ਤਟ	普罗旺斯-阿尔卑斯-蓝色海岸
ਸ਼ੈਨਜ਼ੈਨ	深圳市
ਸੋਵੀਅਤ ਯੂਨੀਅਨ	苏联
ਮਦੁਰਈ ਜ਼ਿਲਾ	馬杜賴縣
ਸ਼ਿਵਗੰਗਾ	錫瓦甘加縣
ਤਿਰੂਨੇਲਵੇਲੀ ਜ਼ਿਲਾ	蒂魯內爾維利縣
ਅਨੰਤਪੁਰ ਜ਼ਿਲਾ	阿嫩达布尔区
ਪੇਪੜੀ (ਭੋਂ ਵਿਗਿਆਨ)	地壳
ਪਿਘਲਣ ਦਰਜਾ	熔点
ਕੈਮਰਾ	照相機
ਪੂਰਬ ਗੋਦਾਵਰੀ ਜ਼ਿਲਾ	東哥達瓦里縣
ਹੈਦਰਾਬਾਦ ਜ਼ਿਲ੍ਹਾ	海德拉巴縣 (印度)
ਕਡੱਪਾ ਜ਼ਿਲਾ	古德伯縣
ਖੰਮਮ ਜ਼ਿਲਾ	坎曼縣
ਕਰੀਮਨਗਰ ਜ਼ਿਲਾ	卡因纳加尔县
ਮਹਬੂਬਨਗਰ ਜ਼ਿਲਾ	馬布那加爾縣
ਕ੍ਰਿਸ਼ਣਾ ਜ਼ਿਲਾ	克利須那縣
ਨੇੱਲੋਰ ਜ਼ਿਲਾ	內洛爾縣
ਨਲਗੋਂਡਾ ਜ਼ਿਲਾ	那爾貢達縣
ਮੇਦਕ ਜ਼ਿਲਾ	梅达克县
ਰੰਗਾਰੇੱਡੀ ਜ਼ਿਲਾ	兰加雷迪县
ਪ੍ਰਕਾਸਮ ਜ਼ਿਲਾ	普拉喀桑縣
ਨਿਜ਼ਾਮਾਬਾਦ ਜ਼ਿਲਾ	尼扎马巴德县
ਵਿਜੈਨਗਰਮ ਜ਼ਿਲਾ	維茲亞那格蘭縣
ਵਿਸ਼ਾਖਾਪਟਨਮ ਜ਼ਿਲਾ	維沙卡帕特南縣
ਸ਼ਰੀਕਾਕੁਲਮ ਜ਼ਿਲਾ	斯里加古蘭縣
ਵਾਰੰਗਲ ਜ਼ਿਲਾ	瓦朗加爾縣
ਪੱਛਮ ਗੋਦਾਵਰੀ ਜ਼ਿਲਾ	西哥達瓦里縣
ਜਾਰਵਿਸ ਖਾੜੀ ਰਾਜਖੇਤਰ	傑維斯灣領地
ਕਾਥੇਰੇਸ, ਸਪੇਨ	卡塞雷斯 (西班牙)
ਸੇਗੋਵੀਆ	塞哥维亚
ਆਵੀਲਾ, ਸਪੇਨ	阿维拉
ਸਾਲਾਮਾਨਕਾ	萨拉曼卡
ਅਨਾਪਾ	阿纳帕
ਅਬਿੰਸਕ	阿宾斯克
