संयुक्त राज्य अमेरिका	美国
८४७	847年
८८३	883年
८२९	829年
८१३	813年
९१०	910年
८५०	850年
८०८	808年
८५३	853年
८७२	872年
८७३	873年
८५६	856年
८५८	858年
८३१	831年
८५७	857年
८२८	828年
८२६	826年
८३३	833年
८४८	848年
८३४	834年
८८१	881年
८५२	852年
१६३	163年
१५४	154年
२०१	201年
८०३	803年
८०५	805年
५२	52年
५३२	532年
८२	82年
८४	84年
७३	73年
७२	72年
६२	62年
७१	71年
७५	75年
७४	74年
८३	83年
७८	78年
७७	77年
९०	90年
८०	80年
६२७	627年
४५६	456年
९१	91年
१९०	190年
१०९	109年
५३	53年
२७०	270年
६८८	688年
४५२	452年
७९५	795年
४६५	465年
७७८	778年
८४६	846年
८३०	830年
४०४	404年
९०८	908年
८९६	896年
८९७	897年
९२७	927年
६३	63年
५५५	555年
५७१	571年
८६	86年
४०१	401年
८९०	890年
५३३	533年
२६४	264年
९९	99年
४१५	415年
४८३	483年
४६९	469年
४६२	462年
४५९	459年
४६६	466年
४०२	402年
७६१	761年
७८०	780年
६७५	675年
६८९	689年
७७४	774年
७५९	759年
७५८	758年
३५०	350年
७८२	782年
७६०	760年
७८५	785年
७८३	783年
७६७	767年
७६६	766年
२११	211年
२३२	232年
२०४	204年
१८८	188年
९८	98年
८९४	894年
८९१	891年
६०२	602年
६२८	628年
८९२	892年
६०१	601年
६७२	672年
६८२	682年
८२१	821年
६४८	648年
६८६	686年
६६४	664年
६७७	677年
६४०	640年
११०	110年
१११	111年
१३७	137年
१३८	138年
१२२	122年
१४०	140年
८०९	809年
१६७	167年
६६५	665年
७७६	776年
७६३	763年
७६९	769年
६६७	667年
५२९	529年
७७७	777年
७८८	788年
६७१	671年
७७२	772年
४३२	432年
२३१	231年
२३७	237年
२३९	239年
१३०	130年
२२६	226年
२०७	207年
४७५	475年
४५४	454年
४९५	495年
२०६	206年
४६८	468年
४६१	461年
४६०	460年
१९४	194年
२१०	210年
२२५	225年
३११	311年
२२०	220年
५४१	541年
६४२	642年
३१३	313年
१८०	180年
७९४	794年
५८७	587年
५३०	530年
६०९	609年
४९७	497年
५४०	540年
४२८	428年
५४८	548年
४२२	422年
५४९	549年
४५७	457年
४७८	478年
२५३	253年
४६७	467年
४५८	458年
१५८	158年
१५७	157年
१६४	164年
१२४	124年
११३	113年
१२१	121年
१०६	106年
५५१	551年
४९४	494年
३२०	320年
२४२	242年
२९१	291年
४८	48年
९७	97年
५६	56年
९३	93年
५७	57年
५०३	503年
५१०	510年
५०९	509年
४७४	474年
४८४	484年
५७६	576年
४९३	493年
४७९	479年
२८७	287年
४०७	407年
४८५	485年
५४७	547年
५४६	546年
५४४	544年
५३७	537年
५३५	535年
५०२	502年
५२७	527年
५०८	508年
५२५	525年
६१३	613年
६१८	618年
६१७	617年
६०८	608年
६४५	645年
६२१	621年
६०६	606年
६२३	623年
६०४	604年
६०३	603年
६२६	626年
६१९	619年
६३४	634年
६३०	630年
६१४	614年
५०५	505年
४४६	446年
७९१	791年
५५७	557年
६५६	656年
६५७	657年
६५९	659年
६५१	651年
६७६	676年
६७०	670年
६५२	652年
६७३	673年
६५४	654年
६४७	647年
८१२	812年
६६९	669年
७९२	792年
६४९	649年
८९५	895年
७५६	756年
६६३	663年
७७९	779年
६६२	662年
६८४	684年
७७३	773年
७५७	757年
४३५	435年
७९०	790年
४३७	437年
४३३	433年
७६४	764年
४२६	426年
७८१	781年
४२५	425年
४२९	429年
४२३	423年
७६५	765年
२३५	235年
२३३	233年
२२३	223年
२२४	224年
२१६	216年
२१९	219年
२५४	254年
२७२	272年
२०८	208年
१७५	175年
१७०	170年
१७१	171年
१७२	172年
५८	58年
५९	59年
१३९	139年
११४	114年
१३४	134年
१३५	135年
१७९	179年
१४२	142年
९६	96年
१८१	181年
१४६	146年
१४५	145年
१८३	183年
१८२	182年
१८४	184年
३२४	324年
५८९	589年
५२१	521年
९२	92年
५९७	597年
३२९	329年
१३३	133年
४१३	413年
२५८	258年
२५९	259年
१९६	196年
२३६	236年
७८९	789年
३३२	332年
६३१	631年
४८७	487年
६३८	638年
४७३	473年
१७६	176年
१४३	143年
६४३	643年
५२३	523年
२१५	215年
१४८	148年
२४७	247年
४२४	424年
६४१	641年
४९२	492年
६३९	639年
२५६	256年
४४१	441年
१३१	131年
१९१	191年
४५०	450年
६१२	612年
६३५	635年
६११	611年
५३४	534年
४८८	488年
६०७	607年
५२४	524年
२८२	282年
४७२	472年
४७१	471年
४९०	490年
३१६	316年
७९७	797年
५११	511年
२९५	295年
५९८	598年
३०३	303年
२५०	250年
५१५	515年
५१२	512年
४१८	418年
३३३	333年
२९४	294年
२१७	217年
२७७	277年
५७८	578年
३१२	312年
२८४	284年
२८३	283年
२४१	241年
२४३	243年
२६२	262年
४९८	498年
३३६	336年
३३४	334年
२६६	266年
२६१	261年
४७०	470年
३४९	349年
२७१	271年
२७५	275年
२९२	292年
२९६	296年
३४५	345年
४३१	431年
३०४	304年
५५०	550年
५८६	586年
५८८	588年
५५४	554年
२२९	229年
५८३	583年
२६५	265年
२६३	263年
५८५	585年
५८२	582年
५५६	556年
४२०	420年
२८०	280年
५८१	581年
५५८	558年
३०२	302年
३०९	309年
३५३	353年
३३५	335年
३६७	367年
३४४	344年
२४५	245年
२९०	290年
४४९	449年
३०८	308年
२५५	255年
४३९	439年
३१९	319年
३१८	318年
२९९	299年
४१९	419年
४१६	416年
३३८	338年
३१०	310年
३१५	315年
३५९	359年
३६०	360年
२७३	273年
२८६	286年
२८८	288年
२७८	278年
४५५	455年
५७७	577年
५७५	575年
४८२	482年
४८६	486年
५८०	580年
५६७	567年
५६४	564年
५६१	561年
३२८	328年
३२५	325年
३१७	317年
५७४	574年
५६६	566年
२४९	249年
३४८	348年
४४२	442年
४४३	443年
२६७	267年
२४४	244年
२४८	248年
३४३	343年
५६२	562年
४१७	417年
२६८	268年
५९०	590年
२६९	269年
४९९	499年
४०९	409年
४०५	405年
४०६	406年
४०३	403年
४१४	414年
४११	411年
४१२	412年
५६०	560年
५९२	592年
२७६	276年
३१४	314年
३२३	323年
३६६	366年
३६२	362年
५४५	545年
५३१	531年
५१४	514年
५१३	513年
५३९	539年
५३८	538年
५१९	519年
५१६	516年
५२०	520年
५२२	522年
५२८	528年
५०६	506年
५२६	526年
५०७	507年
२१४	214年
२१३	213年
२१२	212年
२२८	228年
२२७	227年
१४९	149年
१७४	174年
१८९	189年
१९९	199年
१४१	141年
१३२	132年
१२५	125年
१२३	123年
१४७	147年
१४४	144年
१९८	198年
१७८	178年
१७७	177年
१८७	187年
१९५	195年
१८६	186年
३४७	347年
६२०	620年
६२४	624年
६०५	605年
६२९	629年
६१६	616年
६१५	615年
६४४	644年
६४६	646年
६३३	633年
६३७	637年
४३६	436年
४३४	434年
२९३	293年
४२७	427年
१८५	185年
३२१	321年
३२७	327年
४३०	430年
४४७	447年
लिटिल रक	小岩城 (阿肯色州)
५६९	569年
५६८	568年
४४४	444年
७९६	796年
७९८	798年
७९३	793年
६८५	685年
हार्टफोर्ड	哈特福
७९९	799年
६८३	683年
२७४	274年
डोभर	多佛 (特拉华州)
५७९	579年
२८१	281年
३०६	306年
ISO 639	ISO 639
४३८	438年
२९७	297年
४२१	421年
२९८	298年
३५१	351年
३५२	352年
३५५	355年
९५	95年
९४	94年
५९४	594年
४४८	448年
४४५	445年
३०५	305年
२३४	234年
५६५	565年
३८१	381年
३८५	385年
५५३	553年
३०७	307年
५८४	584年
३४६	346年
२५७	257年
२८५	285年
५९१	591年
२८९	289年
५६३	563年
२५२	252年
५९५	595年
२४६	246年
५९६	596年
५९३	593年
३५७	357年
५७३	573年
नेपाल भाषा	尼瓦尔语
५५९	559年
५९९	599年
३२६	326年
३४१	341年
३२२	322年
३८६	386年
३७४	374年
३८०	380年
१३६	136年
३८२	382年
३४२	342年
३७३	373年
३७२	372年
ओक्लाहोमा सिटी	奧克拉荷馬市
३७५	375年
३८७	387年
बोइज	博伊西
पालि Pāli	巴利语
टालाहासे	塔拉赫西
बिस्मार्क	俾斯麥 (北達科塔州)
३३१	331年
३६५	365年
३७९	379年
कोलम्बिया	哥伦比亚 (南卡罗来纳州)
सान्ता फे	圣菲 (新墨西哥州)
हेलेना	赫勒拿 (蒙大拿州)
चेइनी	夏延 (怀俄明州)
डेस् म्वाने	德梅因
पियेरे	皮尔 (南达科他州)
कार्सन सिटी	卡森城 (內華達州)
टोपेका	托皮卡
र्यालेइ	罗利 (北卡罗来纳州)
ओलम्पिया	奧林匹亞 (華盛頓州)
रिचमन्ड	里士满 (维吉尼亚州)
मेडिसन	麦迪逊
सालेम	塞勒姆 (俄勒冈州)
चार्ल्सटन	查尔斯顿 (西弗吉尼亚州)
३३९	339年
३४०	340年
३५४	354年
३५६	356年
३५८	358年
३६१	361年
३६३	363年
३६४	364年
३६८	368年
३६९	369年
३७०	370年
३७१	371年
३७६	376年
३७७	377年
३७८	378年
३८३	383年
३८४	384年
३८८	388年
३८९	389年
३९०	390年
३९१	391年
३९२	392年
३९३	393年
३९४	394年
३९५	395年
३९६	396年
३९७	397年
३९८	398年
३९९	399年
२७९	279年
४४०	440年
५१७	517年
५७२	572年
२०२६	2026年
२०२५	2025年
२०२३	2023年
२०२२	2022年
२०२१	2021年
२०४१	2041年
२०४२	2042年
२०४३	2043年
२०४४	2044年
२०४९	2049年
२०५०	2050年
ऊक्ष्ब्रिद्गे	阿克斯布里奇 (马萨诸塞州)
बिम्बिसारो	頻毘娑羅
बामियान्-बुद्ध-पटिमायो	巴米揚大佛
सुत्तपिटक	经藏
विभाग:Wikipedia bots	Category:維基百科機器人
Wikipedia:Administrators	Wikipedia:管理员
पटिरूप:Bot	Template:Bot
पटिरूप:Documentation	Template:Documentation
विभाग:Deleteme	Category:维基百科删除
सुंग जय-की	成在基
पटिरूप:Softredirect	Template:軟重定向
पटिरूप:Delete	Template:Delete
पटिरूप:Navbox	Template:Navbox
पटिरूप:Tnavbar	Template:Navbar
पटिरूप:Clear	Template:Clear
पटिरूप:Babel	Template:Babel
पटिरूप:Link GA	Template:Link GA
पटिरूप:Reflist	Template:Reflist
पटिरूप:Stub	Template:Stub
पटिरूप:User da-2	Template:User da-2
पटिरूप:User en-3	Template:User en-3
पटिरूप:User en-2	Template:User en-2
पटिरूप:User en	Template:User en
पटिरूप:User fi-1	Template:User fi-1
पटिरूप:Mod	Template:Mod
पटिरूप:User sv	Template:User sv
पटिरूप:Sidebar	Template:Sidebar
पटिरूप:User hi-3	Template:User hi-3
पटिरूप:देश	Template:國家基礎資訊
पटिरूप:Documentation/docname	Template:Documentation/docname
पटिरूप:Featured article	Template:Featured article
पटिरूप:Documentation/start box	Template:Documentation/start box
पटिरूप:Documentation/end box2	Template:Documentation/end box2
पटिरूप:Documentation/start box2	Template:Documentation/start box2
पटिरूप:Template other	Template:Template other
पटिरूप:Pp-template	Template:Pp-template
पटिरूप:Birth date	Template:Birth date and age
पटिरूप:Top icon	Template:Topicon
पटिरूप:Icon	Template:Icon
पटिरूप:User no-2	Template:User no-2
पटिरूप:Documentation subpage	Template:Documentation subpage
पटिरूप:Emergency-bot-shutoff	Template:Emergency-bot-shutoff
पटिरूप:Nobold	Template:Nobold
पटिरूप:Tlf	Template:Tlf
विभाग:User en-N	Category:En 母语使用者
पटिरूप:High-use	Template:High-use
पटिरूप:Bar percent	Template:Bar percent
विभाग:१९९०	Category:1990年
पटिरूप:Ombox/core	Template:Ombox/core
पटिरूप:User nn-1	Template:User nn-1
पटिरूप:Tls	Template:Tls
पटिरूप:Noitalic	Template:Noitalic
विसेस:RecentChanges	Special:最近更改
Module:HtmlBuilder	模块:HtmlBuilder
