frikytu'a	非洲
glanejni sroka'e	比熱容
muicerangas	穆塞朗加
kanji	计算
srasu	禾草
tcadrklaipeda	克莱佩达
citri lo glibau	英語史
ueno-tokyo lines	上野東京線
remna girzu	社會群體
krilysu'a	晶体结构
cipra mukti sampla	测试驱动开发
daplrxometepe	奧梅特佩島
febvi	沸点
natpenbau	官方文字
purdi	庭園
utsunomiya lines	宇都宮線
kalabrian.xesybau	希腊-卡拉布里亚方言
cionmau	熊猫 (消歧义)
dilcyna'u	有理数
liste loi banskepre	语言学家列表
Category:dotygu'e	Category:德国
Category:italias	Category:意大利
Category:mergu'e	Category:美国
Category:rukygu'e	Category:俄罗斯
Category:kadnygu'e	Category:加拿大
Category:ritygu'e	Category:英国
Category:sangu'e	Category:西班牙
Category:pongu'e	Category:日本
Category:sralygu'e	Category:澳大利亚
Category:mexygu'e	Category:墨西哥
Category:xingu'e	Category:印度
Category:djogu'e	Category:沙烏地阿拉伯
Category:brogu'e	Category:以色列
Category:turk	Category:土耳其
Category:nanfi'ogu'e	Category:南非
Category:misrygu'e	Category:埃及
Category:iran	Category:伊朗
Category:getygu'e	Category:阿根廷
Category:jexygu'e	Category:阿爾及利亞
Category:osteraix	Category:奧地利
Category:kubas	Category:古巴
Category:itiopias	Category:衣索比亞
Category:bidgu'e	Category:印尼
Category:raksygu'e	Category:伊拉克
Category:nederland	Category:荷兰
Category:nixerias	Category:奈及利亞
Category:kisygu'e	Category:巴基斯坦
Category:polskas	Category:波蘭
Category:potygu'e	Category:葡萄牙
Category:singapura	Category:新加坡
Category:snanu zei .xanguk	Category:大韓民國
Category:sudan	Category:苏丹
Category:elvetias	Category:瑞士
Category:tanzanias	Category:坦尚尼亞
Category:vurgu'e	Category:烏克蘭
Category:vietnam	Category:越南
Category:mabru	Category:哺乳類
Category:termu'eske	Category:物理学
Category:mivyske	Category:生物学
Category:xumske	Category:化学
Category:citri	Category:历史
Category:tutske	Category:地理
Category:lijda	Category:宗教
Category:gunma natmi	Category:联合国
gymbis	岡比
Category:pijyske	Category:哲学
Category:menske	Category:心理学
Category:bu'ojda	Category:佛教
Category:musyjda	Category:伊斯兰教
pacruxydinj	恶魔城系列
kinzbapre	電影導演
Category:na mulno	Category:小作品
Category:kulnu	Category:文化
Category:nanca	Category:年
makykai	磁
ckape befi la .uindoz.metalaif	WMF文件格式漏洞
na'orteryratni	原子量
Category:gugde	Category:国家
Wikipedia:administrator	Wikipedia:管理员
Category:kazaksTAN	Category:哈萨克斯坦
Category:prenu	Category:人物
Wikipedia:bots	Wikipedia:机器人
Category:plajva	Category:政治
Category:larcu	Category:艺术
misrygu'e	埃及
Template:Bot	Template:Bot
kadnygu'e	加拿大
Category:madjiar	Category:匈牙利
Category:beldjym	Category:比利時
Category:tcesk.zei gubyseltru	Category:捷克
Category:danmark	Category:丹麥
Category:estis	Category:爱沙尼亚
Category:xesygu'e	Category:希腊
Category:island	Category:冰島
Category:luksymbyrg	Category:卢森堡
Category:lietuvas	Category:立陶宛
Category:maltas	Category:馬爾他
Category:sueriges	Category:瑞典
Category:slovensk	Category:斯洛伐克
Category:slovEni,as	Category:斯洛維尼亞
Category:samselkei	Category:电子游戏
Category:maikrosaft	Category:微軟
Category:rontu'a	Category:欧洲
Template:Documentation	Template:Documentation
Category:pilno admin	Category:维基百科管理员
Category:pilno bangu	Category:用户语言
Wikipedia:lo mu pe'a kamju be la .uikipedias.	Wikipedia:五大支柱
.sung. .jae-gi.	成在基
Template:Softredirect	Template:軟重定向
Template:ko vimcu	Template:Delete
Category:bangu	Category:语言
Wikipedia:clinoi pe loi finselkai	Wikipedia:格式手册
kanguru	袋鼠
Template:!-	Template:!-
Template:Clear	Template:Clear
Wikipedia:liste be le tcevai ckupau	Wikipedia:基礎條目
Category:frikytu'a	Category:非洲
Category:cukta	Category:書籍
Template:babel	Template:Babel
Template:na mulno	Template:Stub
Template:pilno de	Template:User de
Template:pilno es	Template:User es
Template:pilno en-3	Template:User en-3
Template:pilno en-1	Template:User en-1
Template:pilno en-2	Template:User en-2
Template:pilno en	Template:User en
Template:pilno de-2	Template:User de-2
Template:pilno fr-1	Template:User fr-1
Category:relma'i	Category:2月
Category:1957moi	Category:1957年
Category:1949moi	Category:1949年
Category:1927moi	Category:1927年
Category:1919moi	Category:1919年
Category:moldovas	Category:摩爾多瓦
Category:zdotu'a	Category:亚洲
Category:tciles	Category:智利
Category:20xyxymoi	Category:21世纪
Category:ketytu'a	Category:南美洲
Category:1930moi	Category:1930年
Category:1936moi	Category:1936年
Category:1947moi	Category:1947年
Category:1937moi	Category:1937年
Category:1940moi	Category:1940年
Category:1934moi	Category:1934年
Category:1960moi	Category:1960年
Category:1943moi	Category:1943年
Category:1951moi	Category:1951年
Category:1942moi	Category:1942年
Category:1959moi	Category:1959年
Category:1928moi	Category:1928年
Category:1913moi	Category:1913年
Category:1954moi	Category:1954年
Category:mejgu'e	Category:马来西亚
Category:1941moi	Category:1941年
Category:1955moi	Category:1955年
Category:1950moi	Category:1950年
Category:1977moi	Category:1977年
Category:1946moi	Category:1946年
Category:1948moi	Category:1948年
Category:1932moi	Category:1932年
Category:1945moi	Category:1945年
Template:Mod	Template:Mod
Category:1923moi	Category:1923年
Category:1917moi	Category:1917年
Category:1904moi	Category:1904年
Category:1926moi	Category:1926年
Category:1907moi	Category:1907年
Template:pilno es-2	Template:User es-2
Category:1908moi	Category:1908年
Template:coi	Template:Welcome
Category:1901moi	Category:1901年
Category:1903moi	Category:1903年
Category:1933moi	Category:1933年
Category:1952moi	Category:1952年
Category:bauske	Category:语言学
Category:1911moi	Category:1911年
Category:1906moi	Category:1906年
Category:pilno fr-1	Category:Fr-1 使用者
Template:frikytu'a	Template:Africa
Template:gugde datni	Template:國家基礎資訊
Category:paris	Category:巴黎
Category:pilno en	Category:En 使用者
Category:pilno zh	Category:Zh 使用者
Category:xrvatskas	Category:克罗地亚
Category:pilno zh-N	Category:Zh 母语使用者
Category:pilno en-2	Category:En-2 使用者
Template:tertcita tanxe	Template:Infobox
Category:cagyske	Category:农业
Category:19xyxymoi	Category:20世纪
Template:IPA	Template:IPA
Category:18xyxymoi	Category:19世纪
Template:talkback	Template:Talkback
Category:1958moi	Category:1958年
Category:1956moi	Category:1956年
Category:1944moi	Category:1944年
Category:pavma'i	Category:1月
Category:1916moi	Category:1916年
Category:1939moi	Category:1939年
Category:mu'eske	Category:世界觀
Template:nanca cartu	Template:YearTOC
Template:na tugni	Template:Oppose
selratni liste fi lo namcu	元素序数列表
Template:suzmunski	Template:Disambig
Category:1962moi	Category:1962年
Category:mongolo	Category:蒙古國
Category:1953moi	Category:1953年
Template:braplu	Template:洲
Category:pilno fr	Category:Fr 使用者
Category:pilno pt	Category:Pt 使用者
Category:pilno fr-2	Category:Fr-2 使用者
Category:pilno fr-N	Category:Fr 母語使用者
Category:pilno de	Category:De 使用者
Category:pilno de-2	Category:De-2 使用者
Category:pilno de-N	Category:De 母語使用者
Category:pilno en-3	Category:En-3 使用者
Category:pilno en-N	Category:En 母语使用者
Category:pilno es	Category:Es 使用者
Category:pilno es-N	Category:Es 母语使用者
Category:168xymoi	Category:1680年代
Category:1452moi	Category:1452年
Category:pilno pl-N	Category:Pl 母語使用者
Category:sezga'o	Category:自閉症
Category:1812moi	Category:1812年
Category:197xymoi	Category:1970年代
Category:189xymoi	Category:1890年代
Category:1691moi	Category:1691年
Category:samske	Category:计算机科学
Category:solri ciste	Category:太阳系
Category:1453moi	Category:1453年
Category:363moi	Category:363年
Category:belrus	Category:白俄羅斯
Category:997moi	Category:997年
solri barna	太阳黑子
Category:194xymoi	Category:1940年代
Category:190xymoi	Category:1900年代
Category:191xymoi	Category:1910年代
Category:192xymoi	Category:1920年代
Category:193xymoi	Category:1930年代
Category:195xymoi	Category:1950年代
Category:196xymoi	Category:1960年代
Category:198xymoi	Category:1980年代
Category:199xymoi	Category:1990年代
Category:200xymoi	Category:2000年代
Category:pilno pt-N	Category:Pt 母語使用者
Category:1627moi	Category:1627年
Category:1683moi	Category:1683年
Category:1725moi	Category:1725年
Category:1780moi	Category:1780年
Category:182xymoi	Category:1820年代
Category:181xymoi	Category:1810年代
Category:185xymoi	Category:1850年代
Category:16xyxymoi	Category:17世纪
Category:188xymoi	Category:1880年代
Category:172xymoi	Category:1720年代
Category:187xymoi	Category:1870年代
Category:178xymoi	Category:1780年代
Category:186xymoi	Category:1860年代
Category:179xymoi	Category:1790年代
Category:036xymoi	Category:360年代
Category:180xymoi	Category:1800年代
Category:145xymoi	Category:1450年代
Category:09xyxymoi	Category:10世纪
Category:ninkle	Category:稀有气体
Category:angol	Category:安哥拉
Category:botsuanas	Category:波札那
Category:gabon	Category:加蓬
Category:kamerun	Category:喀麥隆
Category:kenias	Category:肯亞
Category:libgu'e	Category:利比亞
Category:morgu'e	Category:摩洛哥
Category:mosambik	Category:莫桑比克
Category:namibias	Category:纳米比亚
Category:1743moi	Category:1743年
Category:1782moi	Category:1782年
Category:1788moi	Category:1788年
Category:1794moi	Category:1794年
Category:1807moi	Category:1807年
Category:1809moi	Category:1809年
Category:1814moi	Category:1814年
Category:1815moi	Category:1815年
Category:1830moi	Category:1830年
Category:1834moi	Category:1834年
Category:1836moi	Category:1836年
Category:1848moi	Category:1848年
Category:1852moi	Category:1852年
Category:1862moi	Category:1862年
Category:1869moi	Category:1869年
Category:1870moi	Category:1870年
Category:1882moi	Category:1882年
Category:1885moi	Category:1885年
Category:1887moi	Category:1887年
Category:1961moi	Category:1961年
Category:1964moi	Category:1964年
Category:1965moi	Category:1965年
Category:1966moi	Category:1966年
Category:1967moi	Category:1967年
Category:1969moi	Category:1969年
Category:1970moi	Category:1970年
Category:1972moi	Category:1972年
Category:1973moi	Category:1973年
Category:1974moi	Category:1974年
Category:1975moi	Category:1975年
Category:1976moi	Category:1976年
Category:1978moi	Category:1978年
Category:1980moi	Category:1980年
Category:1981moi	Category:1981年
Category:1982moi	Category:1982年
Category:1983moi	Category:1983年
Category:1984moi	Category:1984年
Category:1985moi	Category:1985年
Category:1986moi	Category:1986年
Category:1987moi	Category:1987年
Category:1988moi	Category:1988年
Category:1989moi	Category:1989年
Category:1990moi	Category:1990年
Category:1991moi	Category:1991年
Category:1992moi	Category:1992年
Category:1993moi	Category:1993年
Category:1994moi	Category:1994年
Category:1995moi	Category:1995年
Category:1996moi	Category:1996年
Category:1997moi	Category:1997年
Category:1999moi	Category:1999年
Category:2000moi	Category:2000年
Category:2001moi	Category:2001年
Category:2002moi	Category:2002年
Category:2004moi	Category:2004年
Category:2005moi	Category:2005年
Category:2006moi	Category:2006年
Category:2007moi	Category:2007年
Template:JULIANDAY.JULIAN	Template:JULIANDAY.JULIAN
Template:pilno pt	Template:User pt
Template:pilno zh-1	Template:User zh-1
Category:zambias	Category:赞比亚
Category:senegal	Category:塞內加爾
Category:sieras. leon	Category:塞拉利昂
Category:zimbabues	Category:津巴布韦
Category:ligykle	Category:固体
Category:somalias	Category:索马里
Category:tcad	Category:乍得
Category:ugandas	Category:烏干達
Category:banskepre	Category:语言学家
Category:pilipinas	Category:菲律宾
Category:pilno zh-1	Category:Zh-1 使用者
Category:tivni	Category:电视
Category:sixygu'e	Category:敘利亞
Category:174xymoi	Category:1740年代
Category:184xymoi	Category:1840年代
Category:099xymoi	Category:990年代
Category:13xyxymoi	Category:14世纪
Category:15xyxymoi	Category:16世纪
Category:03xyxymoi	Category:4世纪
Category:17xyxymoi	Category:18世纪
Category:1xyxyxymoi	Category:2千纪
Category:0xyxyxymoi	Category:1千纪
Category:xindo ropno bangu	Category:印欧语系
Category:1963moi	Category:1963年
Category:selratni	Category:化学元素
Category:14xyxymoi	Category:15世纪
Category:berti zei .xanguk	Category:朝鮮民主主義人民共和國
Category:1831moi	Category:1831年
Category:1968moi	Category:1968年
Category:djamaikas	Category:牙買加
Category:1998moi	Category:1998年
Category:luaos	Category:寮國
Category:lu'orgu'e	Category:黎巴嫩
Category:nepal	Category:尼泊爾
Category:2003moi	Category:2003年
Category:sofygu'e	Category:苏联
Category:1971moi	Category:1971年
Category:jorgu'e	Category:约旦
Category:kostarikas	Category:哥斯大黎加
Category:surinam	Category:蘇利南
Category:nikaraguas	Category:尼加拉瓜
Category:noreg	Category:挪威
Category:panamas	Category:巴拿馬
Category:paraguais	Category:巴拉圭
Category:lictenctain	Category:列支敦斯登
Category:onduras	Category:宏都拉斯
Category:uruguais	Category:乌拉圭
Category:andoras	Category:安道爾
Category:serbias	Category:塞尔维亚
Category:beliz	Category:貝里斯
Category:salbador	Category:萨尔瓦多
Category:ekuador	Category:厄瓜多
Category:perus	Category:秘鲁
Category:bolivias	Category:玻利维亚
Category:remske	Category:人类学
Category:gudjanas	Category:圭亚那
Category:kolombias	Category:哥倫比亞
Category:zgitci	Category:乐器
Category:timske	Category:气象学
Category:gackle	Category:气体
Category:jinkle	Category:金属
Category:pilno pl	Category:Pl 使用者
Category:dansu	Category:舞蹈
Category:162xymoi	Category:1620年代
Category:169xymoi	Category:1690年代
Category:2xyxyxymoi	Category:3千纪
Category:kaurpo'esi'o	Category:共产主义
Category:logji	Category:邏輯
Category:bemtu'a	Category:北美洲
Category:183xymoi	Category:1830年代
Category:guatemal	Category:瓜地馬拉
najgenja	胡萝卜
trojany	特洛疆尼
Category:la'ortu'a	Category:拉丁美洲
Category:skoselti'e	Category:脊索動物門
Category:pilno jbo	Category:Jbo 使用者
Category:pilno jbo-1	Category:Jbo-1 使用者
Category:pilno jbo-2	Category:Jbo-2 使用者
Category:skari	Category:颜色
Category:pilno jbo-4	Category:Jbo-4 使用者
Category:selpliske	Category:应用科学
Category:pilno jbo-3	Category:Jbo-3 使用者
Category:pilno jbo-0	Category:Jbo-0 使用者
Category:pilno en-1	Category:En-1 使用者
Category:pilno de-1	Category:De-1 使用者
Template:pilno jbo-1	Template:User jbo-1
toldi	蝴蝶
Template:pilno jbo-2	Template:User jbo-2
Template:pilno jbo-3	Template:User jbo-3
Special:RecentChanges	Special:最近更改
