আফ্রিকা	非洲
বিশ্বকোষ	百科全书
ডিভিডি	數碼多功能影音光碟
র‌্যান্ডম অ্যাক্সেস মেমোরি	随机存取存储器
প্রধান পাতা	Wikipedia:首页
মাইক্রোপ্রসেসর	微处理器
কেন্দ্রীয় প্রক্রিয়াকরণ ইউনিট	中央处理器
১৯৫৯	1959年
টেমপ্লেট:ভালো নিবন্ধ	Template:Good article
গ্রাফাইট	石墨
ল্যাটেক	LaTeX
১৯৫৭	1957年
হ্যালাইট	石鹽
রাউটার	路由器
বোরাক্স	硼砂
রোধক	電阻器
ধারক	电容器
আবেশক	电感元件
আডল্‌ফ ফ্রিড্‌রিশ ইয়োহান বুটেনান্ড্‌ট	阿道夫·布特南特
ট্রানজিস্টর	晶体管
১২১৪	1214年
১২১৫	1215年
বেসবল	棒球
বাস্কেটবল	篮球
১২১৬	1216年
ক্রিকেট	板球
গল্‌ফ	高爾夫球
রাগবি	橄欖球類運動
১২১৭	1217年
১২১৮	1218年
ইউটিসি−০৬:০০	UTC-6
১২১৯	1219年
অলিম্পিক গেমস	奥林匹克运动会
১২২০	1220年
১২২১	1221年
ইউটিসি−০৪:৩০	UTC-4:30
১২২২	1222年
১২২৩	1223年
ইউরেশিয়া	歐亞大陸
১২২৪	1224年
১২২৫	1225年
১২২৬	1226年
১২২৭	1227年
১২২৮	1228年
১২২৯	1229年
১২৩০	1230年
১২৩১	1231年
১২৩২	1232年
১২৩৩	1233年
১২৩৪	1234年
১২৩৫	1235年
১২৩৬	1236年
সাইবেরিয়া	西伯利亚
১২৩৭	1237年
ফ্রান্সিস্কো গোয়া	弗朗西斯科·戈雅
১২৩৮	1238年
১২৩৯	1239年
১২৪০	1240年
১২৪১	1241年
১২৪২	1242年
১২৪৩	1243年
১২৪৪	1244年
১২৪৫	1245年
১২৪৬	1246年
রক্তশূন্যতা	贫血
হিমালয় পর্বতমালা	喜马拉雅山脉
আন্দেস পর্বতমালা	安地斯山脈
রকি পর্বতমালা	洛磯山脈
কেপ টাউন	開普敦
কারাকোরাম	喀喇昆仑山脉
হিন্দুকুশ পর্বতমালা	興都庫什山脈
তিয়ান সান	天山山脉
১২৪৭	1247年
১২৪৮	1248年
কাস্পিয়ান সাগর	裏海
১২৪৯	1249年
১২৫০	1250年
১২৫১	1251年
১২৫২	1252年
১২৫৩	1253年
মস্কো মেট্রো	莫斯科地铁
১২৫৪	1254年
১২৫৫	1255年
১২৫৬	1256年
দ্রুত পরিবহণ	地鐵
১২৫৭	1257年
ভিক্টোরিয়া হ্রদ	維多利亞湖
১২৫৮	1258年
১২৫৯	1259年
১২৬০	1260年
১২৬১	1261年
১২৬২	1262年
১২৬৩	1263年
বৈকাল হ্রদ	贝加尔湖
১২৬৪	1264年
১২৬৫	1265年
১২৬৬	1266年
১২৬৭	1267年
১২৬৮	1268年
১২৬৯	1269年
১২৭০	1270年
১২৭১	1271年
১২৭২	1272年
১২৭৩	1273年
১২৭৪	1274年
১২৭৫	1275年
১২৭৬	1276年
১২৭৭	1277年
মালাউই হ্রদ	马拉维湖
১২৭৮	1278年
১২৭৯	1279年
১২৮০	1280年
১২৮১	1281年
১২৮২	1282年
১২৮৩	1283年
১২৮৪	1284年
১২৮৫	1285年
১২৮৬	1286年
১২৮৭	1287年
১২৮৮	1288年
১২৮৯	1289年
১২৯০	1290年
১২৯১	1291年
১২৯২	1292年
১২৯৩	1293年
১২৯৪	1294年
১২৯৫	1295年
১২৯৬	1296年
১২৯৭	1297年
১২৯৮	1298年
১২৯৯	1299年
সালভাদোর দালি	萨尔瓦多·达利
ভিনসেন্ট ভ্যান গখ	文森特·梵高
হোকুসাই	葛饰北斋
অঁরি মাতিস	亨利·马蒂斯
মাইকেলেঞ্জেলো	米开朗基罗
পাবলো পিকাসো	巴勃羅·畢卡索
রাফায়েল	拉斐尔·圣齐奥
রেমব্রন্ট	伦勃朗
অ্যান্ডি ওয়ারহল	安迪·沃荷
ফ্র্যাংক লয়েড রাইট	弗蘭克·勞埃德·賴特
মডেম	调制解调器
এমিনেম	Eminem
১৩০০	1300年
১৩০১	1301年
১৩০২	1302年
১৩০৩	1303年
১৩০৪	1304年
১৩০৫	1305年
উলিয়ানোভস্ক	乌里扬诺夫斯克
ট্রাম	有軌電車
হান্স ক্রিশ্চিয়ান এন্ডারসন	安徒生
মাৎসু বাসো	松尾芭蕉
জর্জ গর্ডন বায়রন	拜伦勋爵
মিগেল দে থের্ভান্তেস	米格尔·德·塞万提斯
জিওফ্রে চসার	杰弗里·乔叟
ব্যাবিলন	巴比伦
আন্তন চেখভ	安东·帕夫洛维奇·契诃夫
চার্লস ডিকেন্স	查尔斯·狄更斯
অলান্দ দ্বীপপুঞ্জ	奥兰 (芬兰)
স্পার্টা	斯巴达
উর	乌尔
কাতালোনিয়া	加泰罗尼亚
১৩০৬	1306年
১৩০৭	1307年
১৩০৮	1308年
মহেঞ্জোদাড়ো	摩亨佐-达罗
১৩০৯	1309年
১৩১০	1310年
১৩১১	1311年
১৩১২	1312年
১৩১৩	1313年
১৩১৪	1314年
১৩১৫	1315年
১৩১৬	1316年
১৩১৭	1317年
পিয়েরে জোসেফ প্রুধোঁ	皮埃爾-約瑟夫·普魯東
পিটার ক্রপটকিন	彼得·阿列克谢耶维奇·克鲁泡特金
সমরকন্দ	撒馬爾罕
১৩১৮	1318年
বুখারা	布哈拉
১৩১৯	1319年
১৩২০	1320年
১৩২১	1321年
১৩২২	1322年
১৩২৩	1323年
১৩২৪	1324年
১৩২৫	1325年
বেথেলহাম	伯利恆
১৩২৬	1326年
আন্দালুসিয়া	安達魯西亞
পেত্রা	佩特拉
১৩২৭	1327年
শেলি-অ্যান ফ্রেজার-প্রাইস	谢莉-安·弗雷泽
এভার্টন ফুটবল ক্লাব	埃弗顿足球俱乐部
১৩২৮	1328年
মক্কা	麥加
চে গেভারা	切·格瓦拉
নোভাক জকোভিচ	諾瓦克·喬科維奇
কানারি দ্বীপপুঞ্জ	加那利群岛
মাও সে তুং	毛泽东
এয়ারবাস এ৩৮০	空中客车A380
আকসুম	阿克蘇姆
কাবুল	喀布尔
কম্বল	被子
চিচেন ইৎজা	奇琴伊察
কার্বন ফাইবার	碳纖維
লাসা	拉萨市
শ্বেত বামন	白矮星
যৌনসঙ্গম	性交
গাব্রিয়েল গার্সিয়া মার্কেস	加夫列尔·加西亚·马尔克斯
ইয়োহান ভোলফগাং ফন গ্যোটে	约翰·沃尔夫冈·冯·歌德
যোনি	阴道
তামিল ভাষা	泰米尔语
রাগমোচন	性高潮
দর্শন	哲学
১৩২৯	1329年
লাল অতিদানব তারা	紅超巨星
ওয়েস্টমিনস্টার অ্যাবে	西敏寺
আলতাই পর্বতমালা	阿尔泰山脉
এক্স-রশ্মি বিকিরণকারী জোড়াতারা	X射线联星
বোলট্জম্যান ধ্রুবক	波茲曼常數
বিষয়শ্রেণী:দ্রুত অপসারণের যোগ্য	Category:快速删除候选
পিয়ানো	钢琴
১৩৩০	1330年
সূক্ষ্ম-গঠন ধ্রুবক	精细结构常数
১৩৩১	1331年
১৩৩২	1332年
১৩৩৩	1333年
১৩৩৪	1334年
১৩৩৫	1335年
১৩৩৬	1336年
মাইক্রোটরেন্ট	ΜTorrent
১৩৩৭	1337年
১৩৩৮	1338年
১৩৩৯	1339年
১৩৪০	1340年
১৩৪১	1341年
১৩৪২	1342年
১৩৪৩	1343年
১৩৪৪	1344年
১৩৪৫	1345年
১৩৪৬	1346年
১৩৪৭	1347年
১৩৪৮	1348年
১৩৪৯	1349年
১৩৫০	1350年
চা	茶
মার্কো পোলো	马可·波罗
১৩৫১	1351年
পোর্টল্যান্ড	波特蘭 (俄勒岡州)
১৪০০	1400年
১৪০১	1401年
১৩৫২	1352年
১৪০২	1402年
১৩৫৩	1353年
১৪০৩	1403年
১৩৫৪	1354年
কাঁটাচুয়া	刺猬
১৪০৪	1404年
১৩৫৫	1355年
১৪০৫	1405年
১৫০০	1500年
১৪০৬	1406年
১৩৫৬	1356年
১৫০১	1501年
১৪০৭	1407年
১৩৫৭	1357年
১৫০২	1502年
১৪০৮	1408年
১৩৫৮	1358年
১৫০৩	1503年
১৩৫৯	1359年
১৪০৯	1409年
পশ্চিম ইউরোপীয় সজারু	西欧刺猬
১৫০৪	1504年
১৩৬০	1360年
১৪১০	1410年
১৫০৫	1505年
১৫০৬	1506年
১৪১১	1411年
১৩৬১	1361年
১৫০৭	1507年
১৪১২	1412年
১৩৬২	1362年
১৪১৩	1413年
১৫০৮	1508年
১৩৬৩	1363年
১৫০৯	1509年
১৪১৪	1414年
১৫১০	1510年
১৪১৫	1415年
১৩৬৪	1364年
সাম্যবাদ	共产主义
১৫১১	1511年
১৪১৬	1416年
১৩৬৫	1365年
১৫১২	1512年
১৪১৭	1417年
১৩৬৬	1366年
নৈরাজ্যবাদ	无政府主义
১৫১৩	1513年
১৪১৮	1418年
১৩৬৭	1367年
আভোগাদ্রো সংখ্যা	阿伏伽德罗常数
১৫১৪	1514年
১৪১৯	1419年
পুঁজিবাদ	资本主义
১৩৬৮	1368年
১৫১৫	1515年
১৪২০	1420年
১৩৬৯	1369年
১৫১৬	1516年
১৪২১	1421年
উদারতাবাদ	自由主义
১৩৭০	1370年
ফ্যাসিবাদ	法西斯主义
জাতীয়তাবাদ	民族主義
হাফিজ	哈菲兹 (诗人)
বিষমতারা	變星
পশ্চিম সাহারা	西撒哈拉
উলফ-র‌্যায়েট তারা	沃爾夫–拉葉星
১৩৭১	1371年
দেশ	国家
১৩৭২	1372年
১৩৭৩	1373年
১৪২২	1422年
১৫১৭	1517年
জাতি	民族
১৪২৩	1423年
১৫১৮	1518年
১৩৭৪	1374年
১৪২৪	1424年
১৩৭৫	1375年
১৫১৯	1519年
জো বাইডেন	乔·拜登
১৩৭৬	1376年
১৪২৫	1425年
১৫২০	1520年
১৫২১	1521年
১৩৭৭	1377年
১৪২৬	1426年
হিলারি ক্লিনটন	希拉里·罗德姆·克林顿
১৫২২	1522年
১৫২৩	1523年
১৪২৭	1427年
১৩৭৮	1378年
১৫২৪	1524年
নাক্ষত্রিক বাতাবরণ	恆星大氣層
১৫২৫	1525年
১৪২৮	1428年
১৩৭৯	1379年
ইয়েলেনা ইসিনবায়েভা	叶莲娜·伊辛巴耶娃
১৫২৬	1526年
১৪২৯	1429年
১৩৮০	1380年
১৩৮১	1381年
১৩৮২	1382年
১৩৮৩	1383年
১৪৩০	1430年
১৪৩১	1431年
ইন্ডিয়ানাপোলিস	印第安納波利斯
১৩৮৪	1384年
১৪৩২	1432年
১৩৮৫	1385年
১৩৮৬	1386年
১৪৩৩	1433年
১৩৮৭	1387年
১৪৩৪	1434年
১৪৩৫	1435年
১৩৮৮	1388年
ওয়েব ব্রাউজার	网页浏览器
১৪৩৬	1436年
১৩৮৯	1389年
ব্রিটিশ মিউজিয়াম	大英博物馆
১৪৩৭	1437年
১৩৯০	1390年
১৪৩৮	1438年
১৩৯১	1391年
১৪৩৯	1439年
১৩৯২	1392年
১৪৪০	1440年
১৩৯৩	1393年
১৩৯৪	1394年
১৩৯৫	1395年
১৪৪১	1441年
১৩৯৬	1396年
১৩৯৭	1397年
১৪৪২	1442年
১৫২৭	1527年
১৫২৮	1528年
১৩৯৮	1398年
১৪৪৩	1443年
১৪৪৪	1444年
১৫২৯	1529年
১৩৯৯	1399年
বোয়িং ৭৭৭	波音777
১৪৪৫	1445年
১৫৩০	1530年
১৪৪৬	1446年
১৫৩১	1531年
১৪৪৭	1447年
১৫৩২	1532年
১৪৪৮	1448年
১৫৩৩	1533年
হামবুর্গ উ-বান	漢堡地鐵
১৪৪৯	1449年
১৫৩৪	1534年
১৪৫০	1450年
১৫৩৫	1535年
১৪৫১	1451年
১৫৩৬	1536年
নবতারা	新星
১৪৫২	1452年
১৫৩৭	1537年
১৪৫৩	1453年
১৫৩৮	1538年
এয়ারবাস এ৩১০	空中客车A310
তারার বিবর্তন	恆星演化
১৪৫৪	1454年
১৫৩৯	1539年
১৪৫৫	1455年
১৫৪০	1540年
বিষয়শ্রেণী:জ্যোতির্বিজ্ঞান	Category:天文学
ইউলিসিস (উপন্যাস)	尤利西斯
সারেন কিয়েরকেগর	索倫·奧貝·克爾凱郭爾
ইউটিসি−০৩:০০	UTC-3
১৫৪১	1541年
১৪৫৬	1456年
১৪৫৭	1457年
১৫৪২	1542年
১৪৫৮	1458年
১৫৪৩	1543年
১৪৫৯	1459年
১৫৪৪	1544年
জঁ-জাক রুসো	让-雅克·卢梭
১৪৬০	1460年
ইউটিসি−০২:৩০	UTC-2:30
১৫৪৫	1545年
১৪৬১	1461年
১৫৪৬	1546年
ফরাসি বিপ্লব	法国大革命
গুন্টার গ্রাস	君特·格拉斯
১৪৬২	1462年
১৫৪৭	1547年
১৪৬৩	1463年
১৫৪৮	1548年
১৪৬৪	1464年
১৫৪৯	1549年
১৪৬৫	1465年
১৫৫০	1550年
১৪৬৬	1466年
১৫৫১	1551年
১৪৬৭	1467年
বিষয়শ্রেণী:জ্যোতির্বিজ্ঞানী	Category:天文学家
১৪৬৮	1468年
১৫৫২	1552年
১৪৬৯	1469年
১৫৫৩	1553年
১৪৭০	1470年
১৫৫৪	1554年
ইউটিসি±০০:০০	UTC±0
১৪৭১	1471年
১৫৫৫	1555年
সাহারা মরুভূমি	撒哈拉沙漠
১৪৭২	1472年
১৫৫৬	1556年
১৪৭৩	1473年
১৫৫৭	1557年
ইউটিসি+০০:২০	UTC+0:20
১৪৭৪	1474年
১৫৫৮	1558年
ক্যারন (উপগ্রহ)	冥卫一
গিটার	吉他
১৪৭৫	1475年
১৫৫৯	1559年
১৪৭৬	1476年
১৫৬০	1560年
১৪৭৭	1477年
১৪৭৮	1478年
১৫৬১	1561年
১৪৭৯	1479年
১৫৬২	1562年
কম্পক দণ্ড (যৌনখেলনা)	按摩棒 (性玩具)
ইউটিসি+০০:৩০	UTC+0:30
১৪৮০	1480年
১৫৬৩	1563年
১৪৮১	1481年
১৫৬৪	1564年
১৪৮২	1482年
১৫৬৫	1565年
সমকামিতা	同性戀
১৪৮৩	1483年
১৫৬৬	1566年
১৪৮৪	1484年
১৫৬৭	1567年
১৪৮৫	1485年
১৪৮৬	1486年
১৫৬৮	1568年
১৪৮৭	1487年
১৫৬৯	1569年
ক্রোয়েশীয় ভাষা	克罗地亚语
ইউটিসি+০১:০০	UTC+1
১৫৭০	1570年
হ্যামবার্গার	漢堡 (食物)
১৪৮৯	1489年
১৫৭১	1571年
১৪৯০	1490年
১৫৭২	1572年
শয়তান	魔鬼
১৪৯১	1491年
১৫৭৩	1573年
১৪৯২	1492年
১৫৭৪	1574年
রেনোঁ	雷诺
১৪৯৩	1493年
১৫৭৫	1575年
হোমার	荷马
১৪৯৪	1494年
আলেকজান্ডার ফন হুমবোল্‌ড্‌ট্	亚历山大·冯·洪堡
১৪৯৫	1495年
১৪৯৬	1496年
১৫৭৬	1576年
ইয়াকপ গ্রিম	雅各布·格林
১৪৯৭	1497年
১৫৭৭	1577年
১৪৯৮	1498年
১৫৭৮	1578年
১৪৯৯	1499年
১৫৭৯	1579年
অ্যালেন গিন্সবার্গ	艾伦·金斯堡
১৫৮০	1580年
ভিলহেল্ম গ্রিম	威廉·格林
১৫৮১	1581年
কোয়ার্ক	夸克
১৫৮২	1582年
১৬০০	1600年
কার্ল ফ্রিড‌রিশ গাউস	卡爾·弗里德里希·高斯
ইউটিসি+০২:০০	UTC+2
১৬০১	1601年
১৫৮৩	1583年
১৬০২	1602年
১৫৮৪	1584年
এডওয়ার্ড টেলার	愛德華·泰勒
১৬০৩	1603年
১৫৮৫	1585年
১৬০৪	1604年
১৫৮৬	1586年
১৬০৫	1605年
১৫৮৭	1587年
১৬০৬	1606年
১৬০৭	1607年
১৫৮৮	1588年
১৬০৮	1608年
১৫৮৯	1589年
ইউটিসি+০৩:০০	UTC+3
১৬০৯	1609年
১৫৯০	1590年
১৬১০	1610年
১৫৯১	1591年
১৬১১	1611年
১৫৯২	1592年
১৬১২	1612年
১৫৯৩	1593年
১৬১৩	1613年
১৫৯৪	1594年
১৬১৪	1614年
১৫৯৫	1595年
১৬১৫	1615年
১৫৯৬	1596年
১৬১৬	1616年
১৫৯৭	1597年
১৬১৭	1617年
১৫৯৮	1598年
১৬১৮	1618年
১৫৯৯	1599年
১৬১৯	1619年
ইউটিসি+০৫:০০	UTC+5
১৬২০	1620年
১৬২১	1621年
১৭০০	1700年
১৭০১	1701年
১৬২২	1622年
১৬২৩	1623年
১৭০২	1702年
১৬২৪	1624年
১৭০৩	1703年
১৭০৪	1704年
১৬২৫	1625年
ইউটিসি+০৫:৩০	UTC+5:30
১৭০৫	1705年
১৬২৬	1626年
১৬২৭	1627年
১৭০৬	1706年
১৬২৮	1628年
১৭০৭	1707年
১৭০৮	1708年
১৬২৯	1629年
আন্তর্জাতিক ভলিবল সংস্থা	国际排球联合会
১৬৩০	1630年
১৭০৯	1709年
১৬৩১	1631年
১৭১০	1710年
আমুর নদী	黑龙江
১৬৩২	1632年
১৭১১	1711年
ইন্টারন্যাশনাল অ্যাস্ট্রোনমিক্যাল ইউনিয়ন	國際天文聯會
১৬৩৩	1633年
১৭১২	1712年
১৬৩৪	1634年
১৭১৩	1713年
১৮০০	1800年
১৮০১	1801年
১৭১৪	1714年
১৬৩৫	1635年
জেমস জয়েস	詹姆斯·乔伊斯
১৮০২	1802年
১৭১৫	1715年
১৬৩৬	1636年
১৮০৩	1803年
অতিক্রম (জ্যোতির্বিজ্ঞান)	凌日
১৬৩৭	1637年
ইউটিসি+০৫:৪৫	UTC+5:45
১৭১৬	1716年
১৬৩৮	1638年
১৮০৪	1804年
১৭১৭	1717年
১৬৩৯	1639年
১৮০৫	1805年
১৭১৮	1718年
১৬৪০	1640年
১৭১৯	1719年
১৮০৬	1806年
ইউটিসি+০৬:০০	UTC+6
১৬৪১	1641年
১৭২০	1720年
১৮০৭	1807年
দ্য ডায়েরি অফ আ ইয়াং গার্ল	安妮日記
১৬৪২	1642年
১৭২১	1721年
১৮০৮	1808年
১৬৪৩	1643年
১৭২২	1722年
১৮০৯	1809年
১৬৪৪	1644年
১৭২৩	1723年
১৮১০	1810年
ইউটিসি+০৬:৩০	UTC+6:30
১৬৪৫	1645年
১৭২৪	1724年
১৮১১	1811年
১৬৪৬	1646年
১৭২৫	1725年
১৮১২	1812年
১৬৪৭	1647年
১৭২৬	1726年
১৮১৩	1813年
১৬৪৮	1648年
১৭২৭	1727年
১৮১৪	1814年
১৬৪৯	1649年
১৭২৮	1728年
১৮১৫	1815年
১৬৫০	1650年
১৭২৯	1729年
১৮১৬	1816年
১৯শ শতাব্দী	19世纪
১৬৫১	1651年
১৭৩০	1730年
১৮১৭	1817年
১৬৫২	1652年
১৭৩১	1731年
১৮১৮	1818年
১৬৫৩	1653年
১৭৩২	1732年
১৮১৯	1819年
১৬৫৪	1654年
১৭৩৩	1733年
১৮২০	1820年
১৬৫৫	1655年
১৮২১	1821年
১৭৩৪	1734年
১৬৫৬	1656年
১৮২২	1822年
১৭৩৫	1735年
১৬৫৭	1657年
১৮২৩	1823年
১৭৩৬	1736年
১৬৫৮	1658年
১৭৩৭	1737年
১৮২৪	1824年
১৬৫৯	1659年
১৭৩৮	1738年
১৮২৫	1825年
জ্যোতির্বৈজ্ঞানিক বস্তু	天体列表
১৬৬০	1660年
১৭৩৯	1739年
১৮২৬	1826年
১৬৬১	1661年
১৭৪০	1740年
১৮২৭	1827年
কালিদাস	迦梨陀娑
উল্কাপাত	流星体
জিনোম	基因組
কাতালান ভাষা	加泰罗尼亚语
নাস্তিক্যবাদ	无神论
লি বাই	李白
গ্রন্থাগার	图书馆
বস্তুবাদ	唯物主义
নিলস বোর	尼尔斯·玻尔
চেতনা	意识
এভারিস্ত গালোয়া	埃瓦里斯特·伽罗瓦
প্রাণরসায়ন	生物化学
ইউটিসি+১২:০০	UTC+12
জৈবপ্রযুক্তি	生物技术
কোষ জীববিজ্ঞান	细胞生物学
পরিবেশবিজ্ঞান	生态学
ফুটবল ক্লাব বার্সেলোনা	巴塞罗那足球俱乐部
আফ্রিকান ইউনিয়ন	非洲联盟
জিনতত্ত্ব	遗传学
রাজনীতি	政治
বিশ্ব ব্যাংক	世界银行
কলাস্থানবিদ্যা	组织学
আরব লীগ	阿拉伯国家联盟
গণতন্ত্র	民主
ছত্রাকবিজ্ঞান	真菌學
নাগিব মাহফুজ	納吉布·馬哈福茲
বিশ্বায়ন	全球化
ন্যাটো	北大西洋公约组织
মারি ক্যুরি	玛丽·居里
জিন	基因
সরকার	政府
নোবেল পুরস্কার	诺贝尔奖
কিন শি হুয়াং	秦始皇
অণুজীব বিজ্ঞান	微生物学
সিমোন দ্য বোভোয়ার	西蒙·波娃
মার্সেল প্রুস্ত্‌	馬塞爾·普魯斯特
আলেক্সান্দ্‌র পুশকিন	亚历山大·谢尔盖耶维奇·普希金
মধ্যপ্রাচ্য	中东
প্রথম এলিজাবেথ	伊丽莎白一世 (英格兰)
রোগনিরূপণবিদ্যা	病理学
হান সাম্রাজ্য	汉朝
শ্রেণীবিন্যাসবিদ্যা (সাধারণ)	分类学
জোন অফ আর্ক	聖女貞德
রোসা লুক্সেমবুর্গ	羅莎·盧森堡
সফোক্লিস	索福克勒斯
জীব	生物
লকহীড মার্টিন	洛克希德·马丁
রবীন্দ্রনাথ ঠাকুর	罗宾德拉纳特·泰戈尔
সৌন্দর্য্য	美
ল্যেভ তল্‌স্তোয়	列夫·托爾斯泰
মার্ক টোয়েইন	马克·吐温
অ্যালান টুরিং	艾伦·图灵
নারীবাদ	女性主義
অ্যাডা লাভলেস	愛達·勒芙蕾絲
সাম্রাজ্যবাদ	帝国主义
মার্কসবাদ	马克思主义
রাজতন্ত্র	君主制
প্রজাতন্ত্র	共和制
সমাজতন্ত্র	社会主义
রাষ্ট্র	國 (政治)
প্রোপাগান্ডা	政治宣传
সন্ত্রাসবাদ	恐怖主义
ব্যাডমিন্টন	羽毛球
কিলিমাঞ্জারো	乞力马扎罗山
আন্তনিন দ্ভরাক	安东宁·德沃夏克
চুম্বন	親吻
ইগর স্ট্রাভিনস্কি	伊戈尔·费奥多罗维奇·斯特拉文斯基
জুসেপ্পে ভের্দি	朱塞佩·威尔第
নাৎসি জার্মানি	納粹德國
নাৎসি পার্টি	纳粹党
জাক কার্তিয়ে	雅克·卡蒂埃
ক্রিস্টোফার কলম্বাস	克里斯托弗·哥伦布
জেমস কুক	詹姆斯·庫克
ইহুদি	犹太人
এর্নান কোর্তেস	埃爾南·科爾特斯
ইউরি গ্যাগারিন	尤里·阿列克谢耶维奇·加加林
ভাস্কো ডা গামা	瓦斯科·達伽馬
ইবন বতুতা	伊本·白图泰
ঝেং হে	鄭和
গ্রেট ব্যারিয়ার রিফ	大堡礁
ড্যান ব্রাউন	丹·布朗
জন কোল্ট্র্যান	約翰·柯川
সিন্ধু নদ	印度河
পানামা খাল	巴拿马运河
দক্ষিণ মহাসাগর	南冰洋
হুয়াংহো	黄河
কর্ণ (অঙ্গ)	耳
চোখ	眼
গান	歌曲
মশা	蚊
ভেড়া	綿羊
ডলফিন	海豚
ফেদেরিকো ফেলিনি	费德里柯·费里尼
হাঙ্গর	鲨鱼
অ্যালফ্রেড হিচকক	亞弗列·希治閣
উট	骆驼
স্তন্যপায়ী	哺乳动物
হাতি	象
প্রাইমেট	灵长目
পিঁপড়া	蚂蚁
মৌমাছি	蜂族
কম্পিউটার সফটওয়্যার	软件
আন্দ্রে আগাসি	安德烈·阿加西
ওলন্দাজ ভাষা	荷蘭語
দ্য ওয়াল্ট ডিজনি কোম্পানি	华特迪士尼公司
মার্গারেট থ্যাচার	玛格丽特·撒切尔
আনবিবিয়াম	Ubb
আডা ইয়োনাথ	阿达·约纳特
ডিএনএ	脱氧核糖核酸
প্রজাতি	物种
রিচার্ড স্টলম্যান	理查德·斯托曼
কেভিন মিটনিক	凯文·米特尼克
সুং রাজবংশ	宋朝
রোজালিন্ড ফ্রাঙ্কলিন	羅莎琳·富蘭克林
ডরোথি মেরি হজকিন	多萝西·霍奇金
আইরিন জোলিও-কুরি	伊雷娜·约里奥-居里
জনি লি মিলার	強尼·李·米勒
কুবলাই খান	忽必烈
সু গার্ডনার	蘇·加德納
ফুলকপি	花椰菜
বেগুন (সব্জি)	茄
ক্ষুদ্রবিবর	虫洞
ইংমার বারিমান	英格玛·伯格曼
ভাষানুবাদ	翻译
অ্যানাটিডি	鸭科
ড্রাগন	龙 (西方)
মা	母親
তুষার	雪
লম্বক (দ্বীপ)	龙目岛
পিতা	父親
অভিভাবক	親本
শিশু	儿童
১৮২৮	1828年
১৮২৯	1829年
১৭৪১	1741年
১৬৬২	1662年
১৭৪২	1742年
১৮৩০	1830年
১৬৬৩	1663年
১৮৩১	1831年
১৭৪৩	1743年
১৬৬৪	1664年
১৬৬৫	1665年
১৭৪৪	1744年
১৮৩২	1832年
১৬৬৬	1666年
১৭৪৫	1745年
১৮৩৩	1833年
১৬৬৭	1667年
১৭৪৬	1746年
পরিবহন	运输
১৮৩৪	1834年
ডেবিয়ান	Debian
১৬৬৮	1668年
১৭৪৭	1747年
১৮৩৫	1835年
গনু প্রকল্প	GNU計劃
১৭৪৮	1748年
১৮৩৬	1836年
১৬৬৯	1669年
গনু জেনারেল পাবলিক লাইসেন্স	GNU通用公共许可证
লিওনার্ট অয়লার	萊昂哈德·歐拉
১৬৭০	1670年
১৭৪৯	1749年
১৮৩৭	1837年
১৬৭১	1671年
১৭৫০	1750年
১৮৩৮	1838年
১৬৭২	1672年
১৭৫১	1751年
১৮৩৯	1839年
১৬৭৩	1673年
১৭৫২	1752年
১৮৪০	1840年
১৬৭৪	1674年
১৭৫৩	1753年
১৮৪১	1841年
১৭৫৪	1754年
১৬৭৫	1675年
১৮৪২	1842年
১৭৫৫	1755年
১৬৭৬	1676年
১৮৪৩	1843年
১৬৭৭	1677年
১৭৫৬	1756年
১৮৪৪	1844年
১৬৭৮	1678年
১৭৫৭	1757年
১৮৪৫	1845年
১৬৭৯	1679年
১৭৫৮	1758年
১৮৪৬	1846年
১৬৮০	1680年
১৭৫৯	1759年
১৮৪৭	1847年
১৬৮১	1681年
১৭৬০	1760年
১৮৪৮	1848年
১৬৮২	1682年
১৭৬১	1761年
১৮৪৯	1849年
১৬৮৩	1683年
১৭৬২	1762年
১৮৫০	1850年
১৬৮৪	1684年
১৭৬৩	1763年
১৮৫১	1851年
১৭৬৪	1764年
১৬৮৫	1685年
১৮৫২	1852年
১৬৮৬	1686年
১৭৬৫	1765年
১৮৫৩	1853年
১৬৮৭	1687年
১৭৬৬	1766年
১৮৫৪	1854年
১৬৮৮	1688年
১৭৬৭	1767年
১৮৫৫	1855年
১৬৮৯	1689年
১৭৬৮	1768年
১৮৫৬	1856年
১৬৯০	1690年
১৭৬৯	1769年
১৮৫৭	1857年
১৬৯১	1691年
১৭৭০	1770年
১৮৫৮	1858年
১৬৯২	1692年
১৭৭১	1771年
১৮৫৯	1859年
১৬৯৩	1693年
১৭৭২	1772年
১৮৬০	1860年
১৭৭৩	1773年
১৮৬১	1861年
১৬৯৪	1694年
১৬৯৫	1695年
১৭৭৪	1774年
১৮৬২	1862年
১৬৯৬	1696年
১৭৭৫	1775年
১৮৬৩	1863年
১৬৯৭	1697年
১৭৭৬	1776年
১৮৬৪	1864年
১৬৯৮	1698年
ওয়াটার পোলো	水球
১৮৬৫	1865年
১৭৭৭	1777年
১৬৯৯	1699年
১৮৬৬	1866年
১৭৭৮	1778年
১৭৭৯	1779年
১৮৬৭	1867年
১৭৮০	1780年
১৮৬৮	1868年
১৭৮১	1781年
১৮৬৯	1869年
মিনিট	分 (时间单位)
নিউ ইয়র্ক সিটি সাবওয়ে	紐約地鐵
