आफ्रिकाखण्डः	非洲
ऋणाणुशास्त्र	电子学
आवर्तनम् (Frequency)	頻率
लाहोर	拉合爾
देशाः	世界政區索引
पाषाणयुगम्	石器時代
कांस्ययुगम्	青铜时代
लोहयुगम्	铁器时代
पौराणयवनसंस्कृतिः	古希腊
गुप्त-साम्राज्यम्	笈多王朝
थामस् जेफरसन्	托马斯·杰斐逊
राजकोट	拉杰果德
सिल्विओ बर्लुस्कोनी	西尔维奥·贝卢斯科尼
जुनागढ	朱納格特
वडोदरा	巴罗达 (古吉拉特邦)
गान्धीनगरम्	甘地讷格尔
प्रभासंयोगः	光合作用
११०१	1101年
११०२	1102年
कर्कटरोगः	癌症
विसूचिका	霍亂
गोधूमः	小麦
यावानलः	高粱屬
बधिरता	聾
मानसिकरोगः	精神病
ग्रेगोरी-कालगणना	公历
समयवलयः	时区
स्वस्थ:	健康
हृदयाघातः	心肌梗死
शीतज्वरः	疟疾
मेदुरता	肥胖症
एइड्स्	艾滋病
क्षयरोगः	結核
मधुमेहः	糖尿病
वास्तुशास्त्रम्	建筑
फलकम्:Location map India	Template:Location map India
मापनप्रविधिः	量度
संख्याशास्त्रम्	数论
११०३	1103年
११०४	1104年
आस्ट्टाल्ट् फ्रिडरिक् विल्हेल्म्	威廉·奥斯特瓦尔德
अण्वस्त्रम्	核武器
विनोबा भावे	維諾巴·巴韋
कपालः	颅骨
तृणबदरफलम्	草莓
केरवृक्षः	椰
दाडिमफलम्	石榴
नारङ्गफलम्	橙
राजस्थानी	拉贾斯坦语
हार्वर्ड् विश्वविद्यालयः	哈佛大学
११०५	1105年
अरबीभाषा	阿拉伯语
कासनी जियावानि डोमिनिको	乔凡尼·多美尼科·卡西尼
ब्रान्टोसारस्	迷惑龍屬
नागदामिनी	麵包樹
अरियलूर् मण्डलम्	阿里雅盧爾縣
चेन्नैमण्डलम्	金奈縣
कोयम्बत्तूरुमण्डलम्	哥印拜陀縣
कडलूरुमण्डलम्	古達羅爾縣
धर्मपुरीमण्डलम्	達爾馬布里縣
दिण्डुगलमण्डलम्	丁迪古爾縣
ईरोडमण्डलम्	埃羅德縣
काञ्चिपुरमण्डलम्	坎契浦蘭縣
कन्याकुमारीमण्डलम्	甘尼亞古馬里縣
अधरम्	唇
करूरुमण्डलम्	卡魯爾縣
कृष्णगिरिमण्डलम्	克里斯赫納吉里縣
मधुरैमण्डलम्	馬杜賴縣
नागपट्टिणमण्डलम्	納加帕蒂南縣
पेरम्बलूरुमण्डलम्	貝蘭巴盧爾縣
नामक्कलमण्डलम्	納馬卡爾縣
नीलगिरीमण्डलम्	尼爾吉利斯縣
पुदुक्कोट्टैमण्डलम्	普杜果泰縣
रामनाथपुरमण्डलम्	拉馬納塔普蘭縣
सेलम्-मण्डलम्	塞勒姆縣 (泰米爾納德邦)
तञ्जावूरुमण्डलम्	坦加布爾縣
शिवगङ्गामण्डलम्	錫瓦甘加縣
तेनिमण्डलम्	德尼縣
तिरुवारूरुमण्डलम्	蒂魯瓦魯爾縣
तूतुकुडिमण्डलम्	杜蒂戈林縣
तिरुनेल्वेलीमण्डलम्	蒂魯內爾維利縣
तिरुच्चिरापळ्ळिमण्डलम्	蒂魯吉拉伯利縣
तिरुप्पूरमण्डलम्	蒂魯布爾縣
तिरुवळ्ळूरुमण्डलम्	蒂魯瓦盧爾縣
विऴुप्पुरमण्डलम्	維魯普蘭縣
वेल्लूरुमण्डलम्	韋洛爾縣
तिरुवण्णामलैमण्डलम्	蒂魯文納默萊縣
विरुदुनगरमण्डलम्	韋魯杜納加爾縣
अदिलाबादमण्डलम्	阿迪拉巴德县
अनन्तपुरमण्डलम्	阿嫩达布尔区
चित्तूरुमण्डलम्	契托爾縣
पूर्वगोदावरीमण्डलम्	東哥達瓦里縣
कडपामण्डलम्	古德伯縣
खम्मम् मण्डलम्	坎曼縣
करीम्नगरमण्डलम्	卡因纳加尔县
महबूबनगरमण्डलम्	馬布那加爾縣
कृष्णामण्डलम्	克利須那縣
नेल्लूरुमण्डलम्	內洛爾縣
नल्गोण्डामण्डलम्	那爾貢達縣
मेदकमण्डलम्	梅达克县
रङ्गारेड्डिमण्डलम्	兰加雷迪县
प्रकाशमण्डलम्	普拉喀桑縣
निजामाबादमण्डलम्	尼扎马巴德县
विजयनगरमण्डलम्	維茲亞那格蘭縣
श्रीकाकुळम् मण्डलम्	斯里加古蘭縣
वरङ्गलमण्डलम्	瓦朗加爾縣
पश्चिमगोदावरीमण्डलम्	西哥達瓦里縣
अञ्जावमण्डलम्	安娇县
पूर्वसियाङ्गमण्डलम्	东桑朗县
पूर्वकमेङ्गमण्डलम्	东卡门县
चङ्लङ् मण्डलम्	长朗县
पपुम्पारेमण्डलम्	帕普派尔县
दक्षिणसुबनसिरीमण्डलम्	下苏班西里县
लोहितमण्डलम्	洛西特县
उत्तरदिबाङ्गव्यालीमण्डलम्	迪邦山谷县
तिरप् मण्डलम्	特拉普县
तवाङ्गमण्डलम्	达旺县
पश्चिमसियाङ्गमण्डलम्	西桑朗县
पश्चिमकामेङ्गमण्डलम्	西卡门县
उत्तरसुबनसिरीमण्डलम्	上苏班西里县
उत्तरसियाङ्गमण्डलम्	上桑朗县
चरणम्	脚
एमील डर्खीम	爱米尔·涂尔干
स्कन्दः	肩
विकिपीडिया:निर्वाचित लेख	Wikipedia:特色条目
फलकम्:Link FA	Template:Link FA
विकिपीडिया:विचारमण्डपम्	Wikipedia:互助客栈
कमलम्	莲
वर्मांट	佛蒙特州
डेन्वर्	丹佛
फिनिक्स्, एॅरिझोना	鳳凰城 (亞利桑那州)
आस्टिन्	奧斯汀
ISO 15924	ISO 15924
विकिया	Wikia
स्टार् वार्स्:अ नुय्य् होप्	星際大戰四部曲：曙光乍現
साक्रामेन्टो	沙加緬度
हानलूलू	檀香山
कोरिया	朝鲜 (称谓)
प्राविडेन्स्	普罗维登斯 (罗德岛州)
१०००	1000年
९९९	999年
वैश्विकस्थितिसूचकपद्धतिः	全球定位系统
मामे बिराम दिउफ़	马默·比莱姆·迪乌夫
ताजमहल् प्यालेस्	泰姬玛哈酒店
१००१	1001年
१००२	1002年
१००३	1003年
१००५	1005年
१००६	1006年
१००७	1007年
१००८	1008年
१००९	1009年
१०१०	1010年
१०११	1011年
१०१२	1012年
१०१३	1013年
१०१४	1014年
१०१५	1015年
१०१६	1016年
१०१७	1017年
१०१८	1018年
१०१९	1019年
१०२०	1020年
१०२१	1021年
१०२२	1022年
१०२३	1023年
१०२४	1024年
१०२५	1025年
१०२६	1026年
१०२७	1027年
१०२८	1028年
१०२९	1029年
१०३०	1030年
१०३१	1031年
१०३२	1032年
१०३३	1033年
१०३४	1034年
१०३५	1035年
१०३६	1036年
१०३७	1037年
१०३८	1038年
१०३९	1039年
१०४०	1040年
१०४१	1041年
१०४२	1042年
१०४३	1043年
१०४४	1044年
१०४५	1045年
१०४६	1046年
१०४७	1047年
१०४८	1048年
१०४९	1049年
१०५०	1050年
१०५१	1051年
१०५२	1052年
१०५३	1053年
१०५४	1054年
१०५५	1055年
१०५६	1056年
१०५७	1057年
१०५८	1058年
१०५९	1059年
१०६०	1060年
१०६१	1061年
१०६२	1062年
१०६३	1063年
१०६४	1064年
१०६५	1065年
१०६६	1066年
१०६७	1067年
१०६८	1068年
१०६९	1069年
१०७०	1070年
१०७१	1071年
१०७२	1072年
१०७३	1073年
१०७४	1074年
१०७५	1075年
१०७६	1076年
१०७७	1077年
१०७८	1078年
१०७९	1079年
१०८०	1080年
१०८१	1081年
१०८२	1082年
१०८३	1083年
१०८४	1084年
१०८५	1085年
१०८६	1086年
१०८७	1087年
१०८८	1088年
१०८९	1089年
१०९०	1090年
१०९१	1091年
१०९२	1092年
१०९३	1093年
१०९४	1094年
१०९५	1095年
१०९६	1096年
१०९७	1097年
१०९८	1098年
१०९९	1099年
११०६	1106年
११०७	1107年
११०८	1108年
११०९	1109年
१११०	1110年
पोडाल्स्क्	波多利斯克
११११	1111年
१११२	1112年
१११३	1113年
१११४	1114年
१११५	1115年
१११६	1116年
१११७	1117年
१११८	1118年
१११९	1119年
११२०	1120年
११३०	1130年
११३१	1131年
११३२	1132年
११३३	1133年
११३४	1134年
११३५	1135年
११३६	1136年
११३७	1137年
११३८	1138年
११३९	1139年
५	5年
११४०	1140年
११४१	1141年
११४२	1142年
११४३	1143年
११४४	1144年
४	4年
११४५	1145年
११४६	1146年
११४७	1147年
११४८	1148年
३	3年
११४९	1149年
११५०	1150年
११५१	1151年
११५२	1152年
११५३	1153年
२	2年
११५४	1154年
११५५	1155年
११५६	1156年
११५७	1157年
११५८	1158年
११५९	1159年
११६०	1160年
११६१	1161年
११६२	1162年
११६३	1163年
११६४	1164年
११६५	1165年
११६६	1166年
११६७	1167年
११६८	1168年
११६९	1169年
११७०	1170年
११७१	1171年
११७२	1172年
११७३	1173年
११७४	1174年
११७५	1175年
११७६	1176年
११७७	1177年
११७८	1178年
११७९	1179年
११८०	1180年
११८१	1181年
११८२	1182年
११८३	1183年
११८४	1184年
११८५	1185年
११८६	1186年
११८७	1187年
११८८	1188年
११८९	1189年
११९०	1190年
११९१	1191年
११९२	1192年
११९३	1193年
११९४	1194年
११९५	1195年
११९६	1196年
११९७	1197年
११९८	1198年
११९९	1199年
कच्छवनस्पतियुक्तभूमिः	红树林
६	6年
क्रिस्मस्	圣诞节
अधिवर्षम्	闰年
स्टीव जाब्स	史蒂夫·乔布斯
व्याघ्रः	虎
हरितकानि	绿叶蔬菜
निस्सान् मोटार् कम्पनि	日產汽車
स्याम्सङ्ग्	三星集团
एडवर्ड ७	爱德华七世
चिशिनौ	基希讷乌
सङ्गणकविज्ञानम्	计算机科学
ओडिशाराज्यम्	奥里萨邦
पञ्जाबराज्यम्	旁遮普邦
जनसङ्ख्यासान्द्रता	人口密度
आयर्लैंड	爱尔兰岛
१	1年
१०	10年
नाश्विल्	纳什维尔
२०	20年
३०	30年
४०	40年
साल्ट् लेक् सिटी	盐湖城
९	9年
७	7年
८	8年
१२	12年
हरिणः	鹿科
लशुनम्	蒜
मानवविज्ञानं	人类学
९३०	930年
१३	13年
९८५	985年
११२२	1122年
९८१	981年
९३९	939年
उर्वारुकम्	黄瓜
५१	51年
श्वेत	白色
कृष्ण वर्णः	黑色
८१४	814年
६७८	678年
९५०	950年
६७९	679年
९९६	996年
६८०	680年
३७	37年
९८०	980年
९००	900年
११२९	1129年
८४३	843年
६९०	690年
६९१	691年
९८८	988年
६९२	692年
४७६	476年
६९३	693年
६९४	694年
६९५	695年
पलाण्डुः	洋蔥
६९६	696年
६९७	697年
६९८	698年
६९९	699年
७००	700年
७०१	701年
७०२	702年
पुरातत्त्व	考古学
७०३	703年
वार्तकी	番茄
७०४	704年
७०५	705年
७०६	706年
६८	68年
८९	89年
७०७	707年
७०८	708年
७०९	709年
११	11年
७१०	710年
७११	711年
७१२	712年
७१३	713年
७१४	714年
७१५	715年
७१६	716年
७१७	717年
७१८	718年
७१९	719年
७२०	720年
७२१	721年
७२२	722年
७२३	723年
नासा	美国国家航空航天局
७२४	724年
७२५	725年
७२६	726年
अटलान्टा	亚特兰大
७२७	727年
बेनितो मुसोलिनी	贝尼托·墨索里尼
७२८	728年
७२९	729年
९६३	963年
७३०	730年
७३१	731年
९६२	962年
७३२	732年
७३३	733年
९९७	997年
७३४	734年
९७२	972年
७३५	735年
९५५	955年
९०१	901年
७३६	736年
७३७	737年
९३६	936年
७३८	738年
९५३	953年
९०२	902年
७३९	739年
१५	15年
७४०	740年
१४	14年
७४१	741年
७४२	742年
१७	17年
७४३	743年
९५८	958年
७४४	744年
५००	500年
७४५	745年
१५०	150年
७४६	746年
८८०	880年
७४७	747年
७४८	748年
७४९	749年
८७०	870年
९०३	903年
७५०	750年
७५१	751年
७५२	752年
मस्तकम्	头
७५३	753年
९८७	987年
७५४	754年
९६५	965年
७५५	755年
९२४	924年
९५१	951年
९३२	932年
२३	23年
८००	800年
१२०	120年
४२	42年
९६७	967年
९८९	989年
९६०	960年
९६९	969年
९५७	957年
११२४	1124年
९७१	971年
९३७	937年
९९२	992年
९९०	990年
८९९	899年
९७५	975年
९४२	942年
९६६	966年
११२८	1128年
९५९	959年
९७३	973年
१८	18年
१९	19年
१६	16年
२१	21年
२६	26年
४१	41年
३२	32年
३३	33年
९८२	982年
९७४	974年
९७६	976年
९७९	979年
९८६	986年
९१९	919年
९९८	998年
९९५	995年
९७७	977年
११२५	1125年
९३४	934年
अल्फ्रेड नोबेल	阿尔弗雷德·诺贝尔
२००	200年
८७६	876年
८७५	875年
८१०	810年
९२९	929年
८८२	882年
११२७	1127年
९४०	940年
८८९	889年
८४४	844年
९१२	912年
८३८	838年
९८४	984年
८७४	874年
३८	38年
४३	43年
१२७	127年
९५४	954年
३९	39年
२४	24年
७९	79年
६१	61年
१०४	104年
२९	29年
१०२	102年
८६६	866年
८३९	839年
६२२	622年
९१८	918年
१००	100年
९६१	961年
५७०	570年
६३२	632年
९४६	946年
८३५	835年
८८४	884年
८५९	859年
८३२	832年
८४९	849年
८७७	877年
८७८	878年
८६१	861年
८६९	869年
९६८	968年
९८३	983年
९६४	964年
११२१	1121年
११२३	1123年
९३३	933年
९१५	915年
९७०	970年
९११	911年
९९३	993年
९९१	991年
९९४	994年
८९८	898年
९४४	944年
९०७	907年
९४३	943年
९४५	945年
९२२	922年
९०५	905年
९४१	941年
९२५	925年
९२८	928年
९४८	948年
९४७	947年
९४९	949年
९२६	926年
ऋतुः	季节
१२६	126年
१०१	101年
१०५	105年
१०८	108年
११७	117年
११५	115年
२२	22年
४६	46年
२५	25年
१५३	153年
१५६	156年
३१	31年
८२५	825年
३०१	301年
११६	116年
८८६	886年
३३०	330年
८६०	860年
८४२	842年
१६५	165年
८७१	871年
८९३	893年
२०३	203年
९०९	909年
२२२	222年
९३१	931年
९३८	938年
९१७	917年
१६०	160年
२८	28年
८५	85年
८८	88年
७६	76年
५४	54年
४७७	477年
९१४	914年
९२०	920年
९१३	913年
अल्बानी, न्यू यार्क्	奥尔巴尼
९३५	935年
८४१	841年
८२०	820年
९०६	906年
९१६	916年
८८५	885年
१६८	168年
६०	60年
४७	47年
८३६	836年
११२	112年
८५४	854年
८६२	862年
८७९	879年
८८७	887年
७७०	770年
८१७	817年
८६४	864年
८६३	863年
८६८	868年
सुदाबसस्यम्	芸香
८५५	855年
८१८	818年
८३७	837年
८४५	845年
१६६	166年
उलूकः	貓頭鷹
हरेणुः	豌豆
कशेरुकाः	脊椎动物
५५२	552年
खर्जूरम्	海枣
नाट्यकला	戏剧
केसरम्	番紅花
६००	600年
४००	400年
३००	300年
इरावती नदी	伊洛瓦底江
मान्ट्पेलियर्, वर्मान्ट्	蒙彼利埃 (佛蒙特州)
बि एम् डब्ल्यू	BMW
मिश्रेयसस्यम्	蒔蘿
हम्पी	亨比
लवङ्गम्	丁香
हेरोडोटस	希羅多德
लक्षद्वीपाः	拉克沙群島
शाका ज़ूलू	恰卡
झापामण्डलम्	查巴县
वराङ्गम्	桂皮
अगस्टा	奥古斯塔 (缅因州)
बेटन रूज	巴吞鲁日 (路易斯安那州)
लान्सिङ्	兰辛 (密歇根州)
आनापालिस्	安那波利斯
कुस्तुम्बरीपर्णम्	旱芹
३६	36年
केशः	頭髮
स्प्रिंग्फ़ील्ड्	斯普林菲尔德 (伊利诺伊州)
फ़्रांक्फ़ोर्ट्, केन्टकी	法兰克福 (肯塔基州)
कासिमिर फन्क	卡西米尔·冯克
फील्ड्स् पदकप्रशस्तिः	菲尔兹奖
इग्नेसी ल्युकसिविक्ज	伊格納齊·武卡謝維奇
मान्टगोमेरी	蒙哥马利 (亚拉巴马州)
असमिया	阿萨姆语
जुनो	朱諾 (阿拉斯加州)
क्रिस स्मालिंग	克里斯·斯莫林
जोनी एवंस	乔尼·埃文斯
चीनादेशः	中國
निर्गुण्डिसस्यम्	蔓荆
घनत्वम् (भौतविज्ञानम्)	密度
अवधी भाषा	阿瓦德语
८१५	815年
८१६	816年
८२२	822年
८४०	840年
८२३	823年
८११	811年
७७१	771年
८८८	888年
७६८	768年
८५१	851年
२०५	205年
१५९	159年
१०७	107年
१६२	162年
१०३	103年
८०२	802年
८०४	804年
११९	119年
११८	118年
८०१	801年
८०७	807年
८०६	806年
१५२	152年
२४०	240年
२१८	218年
६५५	655年
४९६	496年
२३८	238年
१९७	197年
४५१	451年
७७५	775年
सर्षपः	芥菜类蔬菜
४८९	489年
७८४	784年
६६१	661年
६२५	625年
६५३	653年
९०४	904年
९२१	921年
९२३	923年
११२६	1126年
६६८	668年
६३६	636年
४०८	408年
४६४	464年
४१०	410年
९५६	956年
९५२	952年
६५८	658年
६५०	650年
५१८	518年
७०	70年
८१	81年
६९	69年
८७	87年
६५	65年
६६	66年
६७	67年
५५	55年
३४	34年
४४	44年
३५	35年
६४	64年
५०४	504年
४५३	453年
१६१	161年
१६९	169年
४८१	481年
१५१	151年
१५५	155年
१२८	128年
१२९	129年
४६३	463年
१९३	193年
६७४	674年
६८७	687年
२५१	251年
३३७	337年
७८६	786年
६६०	660年
५०	50年
२६०	260年
५०१	501年
४५	45年
४९१	491年
४९	49年
९७८	978年
२२१	221年
५४३	543年
५३६	536年
२३०	230年
७६२	762年
६१०	610年
७८७	787年
४८०	480年
२०९	209年
२०२	202年
१९२	192年
६८१	681年
८१९	819年
१७३	173年
८६७	867年
८६५	865年
८२७	827年
८२४	824年
८४७	847年
८८३	883年
८२९	829年
८१३	813年
९१०	910年
८५०	850年
८०८	808年
८५३	853年
८७२	872年
८७३	873年
८५६	856年
८५८	858年
८३१	831年
८५७	857年
८२८	828年
८२६	826年
८३३	833年
८४८	848年
८३४	834年
८८१	881年
८५२	852年
१६३	163年
१५४	154年
२०१	201年
८०३	803年
८०५	805年
५२	52年
५३२	532年
८२	82年
८४	84年
७३	73年
७२	72年
६२	62年
७१	71年
७५	75年
७४	74年
८३	83年
७८	78年
७७	77年
९०	90年
८०	80年
६२७	627年
४५६	456年
९१	91年
१९०	190年
१०९	109年
५३	53年
२७०	270年
६८८	688年
४५२	452年
७९५	795年
४६५	465年
७७८	778年
८४६	846年
८३०	830年
४०४	404年
९०८	908年
८९६	896年
८९७	897年
९२७	927年
६३	63年
५५५	555年
५७१	571年
८६	86年
४०१	401年
८९०	890年
५३३	533年
२६४	264年
मिखाइल् गोर्बचोफ्	米哈伊尔·谢尔盖耶维奇·戈尔巴乔夫
९९	99年
४१५	415年
४८३	483年
४६९	469年
४६२	462年
४५९	459年
४६६	466年
४०२	402年
७६१	761年
७८०	780年
६७५	675年
६८९	689年
७७४	774年
७५९	759年
७५८	758年
३५०	350年
मदर् तेरेसा	真福加爾各答的德肋撒
७८२	782年
७६०	760年
७८५	785年
७८३	783年
७६७	767年
७६६	766年
२११	211年
२३२	232年
२०४	204年
१८८	188年
९८	98年
८९४	894年
८९१	891年
६०२	602年
६२८	628年
८९२	892年
६०१	601年
६७२	672年
६८२	682年
८२१	821年
६४८	648年
६८६	686年
६६४	664年
६७७	677年
६४०	640年
११०	110年
१११	111年
१३७	137年
१३८	138年
१२२	122年
१४०	140年
८०९	809年
१६७	167年
६६५	665年
७७६	776年
७६३	763年
७६९	769年
६६७	667年
५२९	529年
७७७	777年
७८८	788年
६७१	671年
७७२	772年
४३२	432年
२३१	231年
२३७	237年
२३९	239年
१३०	130年
२२६	226年
२०७	207年
४७५	475年
४५४	454年
४९५	495年
२०६	206年
४६८	468年
४६१	461年
४६०	460年
१९४	194年
२१०	210年
२२५	225年
३११	311年
२२०	220年
५४१	541年
६४२	642年
३१३	313年
१८०	180年
७९४	794年
५८७	587年
५३०	530年
६०९	609年
४९७	497年
५४०	540年
४२८	428年
५४८	548年
४२२	422年
५४९	549年
४५७	457年
४७८	478年
२५३	253年
४६७	467年
४५८	458年
१५८	158年
१५७	157年
१६४	164年
१२४	124年
११३	113年
१२१	121年
१०६	106年
५५१	551年
४९४	494年
३२०	320年
२४२	242年
२९१	291年
४८	48年
९७	97年
५६	56年
९३	93年
५७	57年
५०३	503年
५१०	510年
५०९	509年
४७४	474年
४८४	484年
५७६	576年
४९३	493年
४७९	479年
२८७	287年
४०७	407年
४८५	485年
५४७	547年
५४६	546年
५४४	544年
५३७	537年
५३५	535年
५०२	502年
५२७	527年
५०८	508年
५२५	525年
६१३	613年
६१८	618年
६१७	617年
६०८	608年
६४५	645年
६२१	621年
६०६	606年
६२३	623年
६०४	604年
६०३	603年
६२६	626年
६१९	619年
६३४	634年
६३०	630年
६१४	614年
५०५	505年
४४६	446年
७९१	791年
५५७	557年
६५६	656年
६५७	657年
६५९	659年
६५१	651年
६७६	676年
६७०	670年
६५२	652年
६७३	673年
६५४	654年
६४७	647年
८१२	812年
६६९	669年
७९२	792年
६४९	649年
८९५	895年
७५६	756年
६६३	663年
७७९	779年
६६२	662年
६८४	684年
७७३	773年
७५७	757年
४३५	435年
७९०	790年
४३७	437年
४३३	433年
७६४	764年
४२६	426年
७८१	781年
४२५	425年
४२९	429年
४२३	423年
७६५	765年
२३५	235年
२३३	233年
२२३	223年
२२४	224年
२१६	216年
२१९	219年
२५४	254年
२७२	272年
२०८	208年
१७५	175年
१७०	170年
१७१	171年
१७२	172年
५८	58年
५९	59年
१३९	139年
११४	114年
१३४	134年
१३५	135年
१७९	179年
१४२	142年
९६	96年
१८१	181年
१४६	146年
१४५	145年
१८३	183年
१८२	182年
१८४	184年
३२४	324年
५८९	589年
शुकः	鹦形目
५२१	521年
९२	92年
५९७	597年
३२९	329年
१३३	133年
४१३	413年
२५८	258年
२५९	259年
१९६	196年
२३६	236年
७८९	789年
३३२	332年
६३१	631年
४८७	487年
६३८	638年
४७३	473年
१७६	176年
१४३	143年
६४३	643年
५२३	523年
२१५	215年
१४८	148年
२४७	247年
४२४	424年
६४१	641年
४९२	492年
६३९	639年
२५६	256年
४४१	441年
१३१	131年
१९१	191年
४५०	450年
६१२	612年
६३५	635年
६११	611年
५३४	534年
४८८	488年
६०७	607年
५२४	524年
२८२	282年
४७२	472年
४७१	471年
४९०	490年
३१६	316年
७९७	797年
५११	511年
२९५	295年
५९८	598年
३०३	303年
२५०	250年
५१५	515年
५१२	512年
४१८	418年
३३३	333年
२९४	294年
२१७	217年
२७७	277年
५७८	578年
३१२	312年
२८४	284年
२८३	283年
२४१	241年
मेषराशिः	白羊宮
२४३	243年
२६२	262年
४९८	498年
३३६	336年
३३४	334年
२६६	266年
मुष्टिकाताडनक्रीडा	拳击
२६१	261年
४७०	470年
३४९	349年
२७१	271年
२७५	275年
२९२	292年
२९६	296年
३४५	345年
४३१	431年
३०४	304年
५५०	550年
५८६	586年
५८८	588年
५५४	554年
२२९	229年
५८३	583年
२६५	265年
२६३	263年
५८५	585年
५८२	582年
५५६	556年
४२०	420年
२८०	280年
५८१	581年
५५८	558年
३०२	302年
३०९	309年
३५३	353年
३३५	335年
३६७	367年
३४४	344年
२४५	245年
२९०	290年
४४९	449年
३०८	308年
२५५	255年
४३९	439年
३१९	319年
३१८	318年
२९९	299年
४१९	419年
४१६	416年
३३८	338年
३१०	310年
३१५	315年
३५९	359年
३६०	360年
२७३	273年
२८६	286年
२८८	288年
२७८	278年
४५५	455年
५७७	577年
५७५	575年
४८२	482年
४८६	486年
५८०	580年
५६७	567年
५६४	564年
५६१	561年
३२८	328年
३२५	325年
३१७	317年
५७४	574年
५६६	566年
२४९	249年
३४८	348年
४४२	442年
४४३	443年
२६७	267年
२४४	244年
२४८	248年
३४३	343年
५६२	562年
४१७	417年
२६८	268年
५९०	590年
२६९	269年
४९९	499年
मलाला युसुफजई	马拉拉·优素福扎伊
४०९	409年
४०५	405年
४०६	406年
४०३	403年
४१४	414年
४११	411年
४१२	412年
५६०	560年
५९२	592年
२७६	276年
३१४	314年
३२३	323年
३६६	366年
३६२	362年
५४५	545年
५३१	531年
५१४	514年
५१३	513年
५३९	539年
५३८	538年
५१९	519年
५१६	516年
५२०	520年
५२२	522年
५२८	528年
५०६	506年
५२६	526年
५०७	507年
२१४	214年
२१३	213年
२१२	212年
२२८	228年
२२७	227年
१४९	149年
१७४	174年
१८९	189年
१९९	199年
१४१	141年
१३२	132年
१२५	125年
१२३	123年
१४७	147年
१४४	144年
१९८	198年
१७८	178年
१७७	177年
१८७	187年
१९५	195年
१८६	186年
३४७	347年
६२०	620年
६२४	624年
६०५	605年
६२९	629年
६१६	616年
६१५	615年
६४४	644年
६४६	646年
६३३	633年
६३७	637年
मोघलसाम्राज्‍यम्	莫卧儿帝国
४३६	436年
४३४	434年
२९३	293年
४२७	427年
सीकर	錫卡爾
१८५	185年
३२१	321年
जालन्धर	賈朗達爾
३२७	327年
४३०	430年
त्रोत्स्की	列夫·达维多维奇·托洛茨基
४४७	447年
लिटिल् राक्	小岩城 (阿肯色州)
५६९	569年
हुब्बळ्ळी	胡布利
होसपेटे	霍斯佩特
५६८	568年
४४४	444年
७९६	796年
७९८	798年
एला	白豆蔻
७९३	793年
६८५	685年
हार्टफ़र्ड्	哈特福
७९९	799年
६८३	683年
२७४	274年
डोवर्, डेलावेर्	多佛 (特拉华州)
५७९	579年
२८१	281年
३०६	306年
४३८	438年
कश्मीरी	克什米爾語
२९७	297年
४२१	421年
२९८	298年
३५१	351年
३५२	352年
३५५	355年
९५	95年
९४	94年
५९४	594年
५४२	542年
४४८	448年
४४५	445年
३०५	305年
२३४	234年
५६५	565年
कन्नडभाषा	卡纳达语
३८१	381年
३८५	385年
५५३	553年
३०७	307年
५८४	584年
३४६	346年
२५७	257年
विद्युत्	闪电
२८५	285年
५९१	591年
२८९	289年
हस्तः	手
५६३	563年
२५२	252年
ओडियाभाषा	奥里亚语
नेपाली भाषा	尼泊尔语
जनसङ्ख्या	人口
५९५	595年
२४६	246年
५९६	596年
५९३	593年
३५७	357年
५७३	573年
नेपालभाषा	尼瓦尔语
वालपाराईसो	瓦尔帕莱索
अभिनेता	演員
भल्लातकः	腰果
जलपातः	瀑布
५५९	559年
५९९	599年
३२६	326年
३४१	341年
३२२	322年
३८६	386年
३७४	374年
३८०	380年
नवनीतम्	黄油
१३६	136年
कोङ्कणी	孔卡尼语
लाइनस टोर्वाल्ड्स	林纳斯·托瓦兹
अलेग्झाण्डर् ग्रहां बेल्	亚历山大·格拉汉姆·贝尔
फलितज्योतिषम्	占星学
वाद्ययन्त्राणि	乐器
हंसः	天鹅
न्‍यू आर्लीन्‍स	新奥尔良
हिरोहितो	昭和天皇
३८२	382年
३४२	342年
३७३	373年
३७२	372年
सोमालिलैंड	索马里兰
मधुकर्कटीफलम्	番木瓜
३७५	375年
बेंजामिन फ्रैंकलिन	本傑明·富蘭克林
पर्णशाकम्	捲心菜
विल्हेल्म् कार्नार्ड् रोण्ट्जेन्	威廉·伦琴
तत्त्वमीमांसा	形而上学
३८७	387年
कोलम्बो	可倫坡
आर्द्रकम्	薑
द्रव्यम् (भौतविज्ञानम्)	物质
बाय्सी	博伊西
श्वासरोगः	哮喘
हो चि मिन्ह	胡志明
मैथिली भाषा	迈蒂利语
प्लाक्षफलम्	無花果
मलयाळम्	马拉雅拉姆语
जीवनी	傳記
इगुवास्सुजलपातः	伊瓜苏瀑布
लोज़बानम्	逻辑语
हाम्मुरबी	汉谟拉比
महारानी काथरिन	叶卡捷琳娜二世
हान्निबल	汉尼拔
पिष्टानि	麵粉
गुग्लिमो मार्कोनी	古列尔莫·马可尼
अटिला	阿提拉
पालिभाषा	巴利语
अङ्ग सान् सू की	翁山蘇姬
नखः	指甲
मधुबाला	瑪杜芭拉
कुष्ठरोगः	麻风病
वदनम्	臉
टालाहासे	塔拉赫西
सर् अलेक्साण्डर् प्लेमिङ्ग्	亚历山大·弗莱明
राष्ट्रियबालदिनम् (भारतम्)	兒童節
