Աֆրիկա	非洲
Պիադիմելետո	皮亚恩迪梅莱托
Պիետրարուբիա	皮耶特拉鲁比亚
21st Century Breakdown	世紀大崩解
Հելսինգբորգ (ֆուտբոլային ակումբ)	希爾星堡體育會
Կոլումբուս Բլու Ջեքեթս	哥倫布藍衣
Պայթյուն Դոմոդեդովո օդանավակայանում (2011)	2011年多莫傑多沃國際機場炸彈襲擊事件
Պելեմ Գրենվիլ Վուդհաուս	佩勒姆·格伦维尔·伍德豪斯
Պիոբիկո	皮奥比科
Հյուսիսային Կիպրոսի դրոշ	北賽普勒斯國旗
Հավանականության խտություն	機率密度函數
Սինուսոիդ	正弦曲線
ԻԿԱՕ օդանավակայանի կոդ	國際民間航空組織機場代碼
Սալտարա	萨尔塔拉
Ջուզեպպե Տորելլի	朱塞佩·托雷利
Ալֆրեդ Տարսկի	阿尔弗雷德·塔斯基
Մատրիցա. Հեղափոխություն	黑客帝国3：矩阵革命
Սան Կոստանցո	圣科斯坦佐
Լայման Ֆրենք Բաում	李曼·法蘭克·鮑姆
Սան Ջորջո դի Պեզարո	圣焦尔焦迪佩萨罗
Սան Լորենցո ին Կամպո	圣洛伦佐因坎波
Լետիցիա Կաստա	利蒂希娅·卡斯塔
Սանտ Անջելո ին Լիցոլա	圣安杰洛因利佐拉
Պալեոլոգոսների հարստություն	巴列奥略王朝
Լա Լիգա 2011-12	2011–12賽季西班牙足球甲級聯賽
Սանտ Իպոլիտո	圣伊波利托
MTV եվրոպական երաժշտական մրցանակաբաշխություն	MTV歐洲音樂大獎
Ամերիկյան երաժշտական մրցանակաբաշխություն	全美音樂獎
Սասոկորվարո	萨索科尔瓦罗
Իսպանիայի Արքայական ֆուտբոլի ֆեդերացիա	西班牙皇家足球協會
Սասոֆելտրիո	萨索费尔特廖
Վիսենտե Կալդերոն	比森特·卡尔德隆球场
Սեռա Սանտ Աբոնդիո	塞拉桑塔邦迪奥
Կլիսթենես	克里斯提尼
Չիչեստեր	奇切斯特
Ռոբերտ Իրվին Հովարդ	罗伯特·欧文·霍华德
Սերունգարինա	塞伦加里纳
Տարածաչափություն	立体几何
Ինքնակրթություն	自主學習
Քիմիական արտադրություն	化学工业
Տավոլետո	塔沃莱托
Գուգլ Վեյվ	Apache Wave
Տիեզերական ջեմ	空中大灌籃
Տավուլիա	塔武利亚
Դեննիս Ռոմմեդալ	丹尼斯·罗梅达尔
Վագար	沃格岛
Վայգաչ	瓦伊加奇岛
Կազբեկ	卡茲別克山
Սերգեյ Կիրով	谢尔盖·米罗诺维奇·基洛夫
Տերմեն	特雷門
Երկնային արքայություն (ֆիլմ)	天国王朝
Հուդզոնի նեղուց	哈得逊海峡
Ռոլան Գարոս	罗兰·加洛斯
Շարոն դեն Ադել	莎伦·丹·阿德尔
Արյունոտ Մերի	血玛丽
Սրտարդ	心脏线
Աբրաքսաս	阿卜拉克薩斯
Սենթ Լուիս Բլյուզ	聖路易斯藍調
Սիլլամյաե (քաղաք, Էստոնիա)	錫拉邁埃
Իվան Կրամսկոյ	伊凡·克拉姆斯柯依
Գրտնակ	擀麵棍
Մրրկահավեր	鹱科
Ակրոֆոբիա	懼高症
Տամագոչի	他媽哥池
Սիմենս	西门子
Բիելինա	比耶利納
Ամենակարող Բրյուսը	王牌天神
Ֆորում (այլ կիրառումներ)	论坛
Կրուասան	牛角面包
Ալեքսանդր IV Մակեդոնացի	亞歷山大四世 (馬其頓)
Վլիլանդ (համայնք)	弗利蘭島
Բառափոխություն	词形变化
Յան Քարթիս	伊恩·柯蒂斯
Ֆոսֆին	磷化氢
S/2003 J 18	S/2003 J 18
Եվրատեսիլ 1966 երգի մրցույթ	1966年歐洲歌唱大賽
Հանրային իրավունք	公法
Adobe Acrobat	Adobe Acrobat
Բոնիֆաչոյի նեղուց	博尼法喬海峽
Մոնղոլոիդ ռասա	蒙古人種
Վաղը չի մեռնի երբեք	新鐵金剛之明日帝國
Նեմրութ (լեռ)	内姆鲁特山
Աթարի	雅達利
Բերեզինա (Դնեպրի ստորին վտակ)	别列津纳河
Գաույա	高亞河
Սալյուտ (ուղեծրակայան)	禮炮計劃
Ծառուղի	林蔭道
Չինաստանի կենտրոնական հեռուստատեսություն	中国中央电视台
Նիկիական հանգանակ	尼西亞信經
Ռալֆ Վոան Ուիլյամս	雷夫·佛漢·威廉斯
Warcraft III: Reign of Chaos	魔兽争霸III：混乱之治
Հարավային Սուդանի անկախության հանրաքվե (2011)	南苏丹独立公投
Լեո Դելիբ	莱奥·德利布
Մեծ թվերի օրենք	大数定律
Սիրունիկը (ֆիլմ)	麻雀變鳳凰
Անդորրան Եվրատեսիլ երգի մրցույթում	安道爾在歐洲歌唱大賽之歷年表現
Ուրվապատկեր	形狀
Էրիկ Ռոբերտս	埃里克·罗伯茨
Showbiz	娛樂圈 (專輯)
Նեշվիլ Պրեդատորզ	納什維爾掠奪者
Տուրանդոտ (օպերա)	杜蘭朵
Փահլավիների հարստություն	巴列维王朝
Մատանու եղբայրությունը	魔戒現身
Նիկոլայ Նեկրասով	尼古拉·阿列克谢耶维奇·涅克拉索夫
Շխիրմոնիկոխ	斯希蒙尼克島
Հոխեվեյն	霍赫芬
Արևելյան գործընկերություն	东部伙伴关系
Ժերվինյո	热尔维尼奥
Թոմ Հարդի	湯姆·哈迪
Ձողաձուկազգիներ	鱈科
Լապերուզի նեղուց	宗谷海峡
Կանտաբրյան լեռներ	坎塔布连山脉
(94) Ավրորա	彩神星
(97) Կլոթո	纺神星
Ջոզեֆ Հելեր	约瑟夫·海勒
Խավի Ալոնսո	沙比·阿朗素
Ռիզոտո	義大利燉飯
Հիերատիկ գիր	僧侶體
Տախտակամած	甲板
Թրյուգվե Հաավելմո	特里夫·哈維默
Հավերժ Շրեկ	史瑞克快樂4神仙
Մեր թվարկություն	公元
Հավաքորդություն	收藏
Սոցիալիստական աշխատանքի հերոս	社会主义劳动英雄
Դորդոն	多爾多涅河
Մորիսկներ	摩里斯科人
Բլենհելմյան ամրոց	布倫海姆宮
Թադաո Անդո	安藤忠雄
Վիեննական խմբակ	维也纳学派
Պուանսետտիա	一品紅
Ամելանդ (համայնք)	阿默蘭島
Կանաչ մղոն (ֆիլմ)	綠里奇蹟 (電影)
Կոմանդորյան կղզիներ	科曼多尔群岛
Շոտլանդիայի ծաղիկը	蘇格蘭之花
Սիամական կոկորդիլոս	暹羅鱷
Հրշեջ տեխնիկա	消防車
Եղնջաթռչնակներ	鹪鹩科
Կամչատկայի երկրամաս	堪察加州
Իդրա	伊茲拉島
Գոնգ	锣
Պատ (շախմատ)	欠行
Ալպիական նրբագեղիկ	领岩鹨
Սարգոն II	薩爾貢二世
Արմագեդոն (ֆիլմ, 1998)	絕世天劫
Գրան Չակո	格兰查科
Բորժոմ	博爾若米
Լա Լիգա 2009-10	2009–10賽季西班牙足球甲級聯賽
Երաժշտական ազգագրություն	民族音乐学
Քսիլոլ	二甲苯
Բոսնա	波斯尼亚河
Չա-չա-չա	恰恰恰
Իզոխոր պրոցես	等容过程
Մեծ Հայք	亞美尼亞王國
ՄՏԿ Բուդապեշտ (ֆուտբոլային ակումբ)	MTK布達佩斯足球俱樂部
Սանկյուլոտներ	無套褲漢
Մայքլ Բրեդլի	米高·巴特利
Գուլ	食屍鬼
Խուճապ	恐慌
Կալցիումի քլորիդ	氯化鈣
1984 (գիրք)	一九八四
Կրիտիկական զանգված	臨界質量
Ճապաղջուր	賓格爾
Մարմնային անկյուն	立體角
Տարգալակտուց	琵鷺
BBC World News	英國廣播公司世界新聞頻道
Ինդուստրիալ մետալ	工業金屬
Սոգնե Ֆիորդ	松恩峡湾
Ուման (քաղաք, Ուկրաինա)	烏曼
Վագոն	鐵路車輛
Ալբաներեն Վիքիպեդիա	阿爾巴尼亞語維基百科
Պաբլո Կասալս	帕布罗·卡萨尔斯
Մարտկոց	巴特里
Ցեզար Կյուի	策扎尔·安东诺维奇·居伊
Մարֆանի համախտանիշ	馬凡氏症候群
Ստուդիական ալբոմ	錄音室專輯
Ամերիկյան պատմություն Իքս	野獸良民
Պարհելիում	幻日
Մրրկային հոսանքներ	渦電流
Ջոզի Ալտիդոր	約茲·艾迪杜里
Քաջարի զինվոր Շվեյկի արկածները	好兵帥克
Ռեյ Ալեն	雷·阿伦
Կլյազմա	克利亞濟馬河
Միլլեր-Ուրեյ փորձ	米勒-尤里实验
Արա (այլ կիրառումներ)	ARA
Օլթենիա	奧爾特尼亞
Դա տեղի է ունեցել մի անգամ գիշերը	一夜風流 (1934年電影)
Պոնտե Վեկյո	老桥
Կատալ (չափման միավոր)	開特
Կանադայի ֆուտբոլի ազգային հավաքական	加拿大国家足球队
Սիմոն Կյեր	西蒙·凯尔
Հիդրոստատիկ հավասարակշռություն	流體靜力平衡
Reise, Reise	Reise, Reise
Մալայան արշիպելագ	马来群岛
ՄԱԿ-ի շրջանակային կոնվենցիան կլիմայի փոփոխությունների մասին	联合国气候变化框架公约
Փոլ Ջամատի	保罗·吉亚玛提
Ունիֆորմիտարիզմ	均變論
Դալաս Սթարզ	達拉斯星
Քորեյ	扬抑格
(79) Էվրինոմե	配女星
Սևիլյան սափրիչ (օպերա)	塞維利亞的理髮師
Արթուր Հենդերսոն	阿瑟·亨德森
Բանվորական շարժում	勞工運動
Լեռնային ձիաթռչնակ	水鹨
Արքայիկներ	戴菊属
Ամունեթ	阿玛乌奈特
Շվեյցարիայի պատմություն	瑞士历史
Եգիպտական տառեղ	埃及聖䴉
Կաթվեյկ (համայնք)	卡特韦克
Վիկտորիայի երկիր	维多利亚地
Թելավ	泰拉維
Նարվա (գետ)	納爾瓦河
Պլատոնական սեր	柏拉图式恋爱
Ցաքան	耖
(6698) Մալհոտրա	小行星6698
Գորգոնձոլա (պանիր)	古岡左拉芝士
(6770) Ֆուգետ	小行星6770
(6760) 1980 KM	小行星6760
(6702) 1988 BP3	小行星6702
(6712) Հորնշտեյն	小行星6712
(6705) Ռինակետտի	小行星6705
Հարավային Օսիայի Հանրապետության դրոշ	南奧塞梯國旗
(6701) Վարհոլ	小行星6701
(6759) 1980 KD	小行星6759
Քիմիական կինետիկա	化学动力学
Լակտանտիոս	拉克坦提乌斯
Իզոօկտան	2,2,4-三甲基戊烷
Ֆոլկետինգ	丹麥國民議會
Իլի (Անգլիա)	伊利 (劍橋郡)
Աղավնիներ	鸽属
Ռուս-թուրքական պատերազմ (1806-1812)	第七次俄土战争
Բելառուսի վարչական բաժանում	白俄罗斯行政区划
Ինստագրամ	Instagram
Նիկոմեդիա	尼科米底亞
Բառն	靶恩
Միջուկային մագնիսական ռեզոնանս	核磁共振
(60) Էխո	司音星
(1000) Պյացցիա	皮亚齐星
(91) Էգինա	河神星
Թելլի Սավալաս	特利·薩瓦拉斯
(140) Ժիվա	西瓦星
(143) Ադրիա	亚德里亚海星
(93) Միներվա	慧神星
Կետո	刻托
(99) Դիկե	泰神星
Մարիա Բոլեյն	玛丽·博林
Ուեյն Գրեցկի	韦恩·格雷茨基
Բուհուսլեն	布胡斯
Հասարակածային կլիմա	熱帶雨林氣候
Սկերցո	诙谐曲
Կեղծ Դմիտրի I	伪德米特里一世
Համերգային ֆլեյտա	长笛
Հաճախասրտություն	心跳过速
Հալևորուկ	千里光属
Որդաններ	介殼蟲總科
Չիկագո Բլեքհոքս	芝加哥黑鷹
Երաժշտաթերապիա	音樂治療
Վերադարձ (ֆիլմ, 2006)	玩美女人
Կատեգորիկ իմպերատիվ	定言令式
Ստեարինաթթու	硬脂酸
Հոտառական նյարդ	嗅神經
Օքսֆորդ (փողոց)	牛津街
Մարքիզ	侯爵
Գինունգագապ	金倫加
Բուլղարիայի վարչական բաժանում	保加利亚行政区划
Փարիզի համալսարան	巴黎大学
Եվրատեսիլ 1984 երգի մրցույթ	1984年歐洲歌唱大賽
Օնգերմանլանդ	翁厄曼蘭
Մասկարպոնե (պանիր)	马斯卡邦尼奶酪
Սուրա (գետ)	蘇拉河
Ձկնաբուծություն	養殖漁業
Ժակ Ռենե Էբեր	雅克·R·埃贝尔
Վիեննայի պետական օպերա	维也纳国家歌剧院
Մյաոներ	苗族
Հրադատություն	信仰审判
Դրաժեն Պետրովիչ	德拉任·彼得罗维奇
Վլարդինգեն	弗拉尔丁恩
Մահաբեր ներարկում	注射死刑
Իչկերիայի Չեչենական Հանրապետություն	伊奇克里亞車臣共和國
Innuendo	Innuendo
Նեյլ Գեյման	尼爾·蓋曼
Թիգլաթպալասար III	提格拉特帕拉沙尔三世
Ստաբատ մատեր	聖母悼歌
Էնցո Ֆրանչեսկոլի	恩佐·弗朗西斯科利
Մոտրիլ (քաղաք)	莫特里尔
Ազատամտականություն	自由思想
Լիոնի ծոց	利翁灣
Ջուլիա Սթայլզ	茱莉亞·史緹爾
Atom Heart Mother (ալբոմ)	原子心之母
Ամբատո	安巴托
Էլիզա Դուշկու	伊丽莎·杜什库
Կոնչերտո գրոսսո	大协奏曲
Զաուդհորն (համայնք)	南霍伦
Կլյուչևսկայա Սոպկա	克柳切夫火山
Դետտիֆոսս	黛提瀑布
Յոզղատ	約茲加特
Պամպասյան կատու	南美草原貓
Ժակ Ֆրեսկո	雅克·法斯科
Սունգարի	松花江
Միլտիադես	小米太亞德
Անիծվածների կղզի	隔離島
Բեյհայ	北海市
Պիրիդին	吡啶
Արոմատիկություն	芳香性
Կորտիկոստերոիդներ	皮質類固醇
Մանկական ուղեղային կաթված	腦麻痺
Տիագո Սիլվա	蒂亚戈·席尔瓦
Հարրոու (Լոնդոնի շրջան)	哈羅區
Կրիստիան Կիվու	克里斯蒂安·基伏
Ներհայեցողություն	内省法
Մոլեկուլային գենետիկա	分子遺傳學
Ավեյրու (շրջան)	阿威羅區
Բալիտորաձկներ	平鰭鰍科
Մարիբոր (ֆուտբոլային ակումբ)	馬里博爾足球俱樂部
Էնֆիլդ (Լոնդոնի շրջան)	恩菲爾德區
Լուսնի ուղեծիր	月球軌道
Լուիջի	路易吉
Վասա	瓦薩王朝
Հանցագործների հանձնում	引渡法
Անդրես Էսկոբար	安德列斯·埃斯科巴
Լիսբորն (շրջան)	利斯本區
Քեն Ֆոլլեթ	肯·福勒特
Ուրնեսի ստավկիրկա	乌尔内斯木板教堂
Ֆրանսիական Արևմտյան Աֆրիկա	法屬西非
Մեդելփադ	梅代爾帕德
Արդար Ռուսաստան	公正俄罗斯
Գորշ ականջեղ չղջիկ	普通长耳蝠
Առևանգում հարեմից	后宫诱逃
Ուիլկի Քոլինզ	威尔基·柯林斯
Դիդախե	十二使徒遺訓
Շերիֆ (ֆուբոլային ակումբ)	舒列夫足球會
Ապուշը	白痴 (小說)
(2254) Ռեքվիեմ	小行星2254
Ռազմական ոստիկանություն	宪兵
Մոդալ տրամաբանություն	模态逻辑
Նորդուրլանդ Վեստրա	西北區 (冰島)
Սանլուկար դե Բառամեդա	桑卢卡尔德瓦拉梅达
Absolution	赦免 (专辑)
Ալվարո Նեգրեդո	艾華路·尼格度
Տնտեսական ռեսուրսներ	生产要素
Ժերար Դեբրյո	傑拉德·德布魯
Կաստրատ	阉伶
Վիրտուալ հանրություն	虛擬社群
Բալակլավա (գլխարկ)	巴拉克拉瓦头套
Վան Հելսինգ (ֆիլմ)	凡赫辛 (電影)
Կումիկներ	庫梅克人
Սեն Լուի կղզի	聖路易島 (巴黎)
Գրավչանյութեր	兴奋剂
Չիլիական կատու	南美林貓
Գամետներ	配子
Արևելյան սլավոններ	東斯拉夫民族
Յիհվի (քաղաք, Էստոնիա)	約赫維
Քլորաջրածին	氯化氢
Լոքերբիի օդային աղետ	洛克比空難
Մեծ Մենդերես	大門德雷斯河
Ֆինն Քիդլենդ	芬恩·基德兰德
Բայի սեռ	语态
Լյուքսեմբուրգի քաղաքներ	卢森堡城市列表
(136) Ավստրիա	奥地利星
(92) Ունդինա	波女星
Մայա գիր	瑪雅文字
Գալուստ Գյուլբենկյանի թանգարան	古爾本基安美術館
Հայկական լեռնաշխարհ	亚美尼亚高原
The Mamas and the Papas	媽媽與爸爸合唱團
Ռեյ Լիոտա	雷·利奥塔
Տարրական հանրահաշիվ	初等代數
Ստերլետ	小体鲟
Պիցունդա	皮聰大
Լիկուրգոս	來古格士
Բուրկ շրջան (Ջորջիա)	伯克縣 (喬治亞州)
Սկզբունք	原理
Նավահանգստում	码头风云
Սայիդ Կութուբ	赛义德·库特布
Զոդում	软钎焊
Աշխատանքային շաբաթ	周末
The Game (ալբոմ)	The Game (专辑)
Կայա Կանեպի	卡娅·卡内皮
Ցիկլոհեքսան	环己烷
Հալեպյան եղևնի	地中海松
Բրենդոն Լի	李國豪 (演員)
Եվրատեսիլ 1988 երգի մրցույթ	1988年歐洲歌唱大賽
Ինդուկցիա	归纳法
Վիրտսյարվ	沃爾茨湖
Խան Տենգրի	汗腾格里峰
Հրիտակ	遺贈
Դիէլեկտրիկական թափանցելիություն	电容率
Օչամչիրա	奧恰姆奇拉
Ճնճղուկներ	织布鸟科
Վերմլանդ	韋姆蘭
Նորբոթեն	北博滕
Վեստերբոթեն	西博滕
Սայքս-Պիկոյի համաձայնագիր (1916)	賽克斯-皮科協定
Լոնդոնի շրջաններ	倫敦自治市
Արյան ձևավոր տարրեր	血细胞
Նատրիումի սուլֆատ	硫酸钠
Իխտուս	耶穌魚
Ջեյմս Թոբին	詹姆士·托賓
Լճային երկրամաս (Մեծ Բրիտանիա)	湖区
Պապուս Ալեքսանդրիացի	帕普斯
Միխայիլ Սալտիկով-Շչեդրին	米哈伊尔·叶夫格拉福维奇·萨尔蒂科夫-谢德林
Թուզ լիճ	圖茲湖
Բաբերդ (քաղաք)	巴伊布爾特
Ձուլածնոտայիններ	魨形目
Արմավենիների կղզիներ	棕櫚群島
Արան (կղզի)	阿倫島
Սլաու	斯劳
2011-12 ՈՒԵՖԱ Եվրոպայի Լիգա	2011–12年歐霸盃
W- և Z-բոզոններ	W及Z玻色子
Սալմանասար III	沙尔马那塞尔三世
Սպիտակուցների կենսասինթեզ	蛋白質生物合成
Տրոիցե-Սերգիյան մայրավանք	谢尔盖圣三一修道院
Դրակար	維京船
Լավ տեմպերացված կլավիր	平均律键盘曲集
Ամանդա Բայնս	亞曼達·拜恩斯
Ջոնի Հալիդեյ	強尼·哈立戴
Կլեպտոմանիա	竊盜癖
Չեխիայի պատմության փուլեր	捷克历史
Չաննինգ Տատում	查尼·泰坦
Ժան Ժակ Դեսսալին	让-雅克·德萨林
Տասներկուանկյուն	十二边形
Ինֆրաձայն	次声波
Վավերացում (ինֆորմատիկայի ոլորտ)	身份验证
Իներցիայի ուժ	慣性力
NHK	日本放送協會
Հորստ	地壘
Ամբողջ աշխարհն էլ քիչ է	新鐵金剛之黑日危機
Մարաթոն	马拉松 (希腊)
Կիպրոսի աշխատավոր ժողովրդի առաջադիմական կուսակցություն	劳动人民进步党
Պերուի ֆուտբոլի ազգային հավաքական	秘魯國家足球隊
Ատոմ Էգոյան	艾騰·伊格言
Նուտելա	能多益
Անդրեա Պոլի	安德雷·波利
Մկնանմաններ	鼠形亞目
Բոոս	波阿斯
Կոմպոստ	堆肥
Կարբոնիումի իոններ	碳正离子
Ուելս (Անգլիա)	韋爾斯 (薩默塞特郡)
Էթիհադ ավիաուղիներ	阿提哈德航空
3ds Max	3ds Max
Կինոարվեստի և գիտության ակադեմիա	美国电影艺术与科学学会
Աբերդին-անգուսյան տավար	安格斯牛
Ցիտոկիններ	细胞因子
Տերպեններ	萜烯
Խաղարկող	控球后卫
Ռիկի Ռուբիո	里奇·卢比奥
Ինստալյացիա (արվեստ)	裝置藝術
Էստոնիան Եվրատեսիլ երգի մրցույթում	愛沙尼亞在歐洲歌唱大賽之歷年表現
Ճակատագրի ուժը	命運之力
Շոդերլո դը Լակլո	皮埃尔·肖代洛·德拉克洛
Ֆեյսալ I	费萨尔一世 (伊拉克)
Փետրիկ Դեմպսի	帕特里克·丹普西
Ացետատ	乙酸盐
Քեյթ Մոս	姬·摩絲
Ախալցխա	阿哈爾齊赫
Կոլումբիայի ֆուտբոլի ազգային հավաքական	哥倫比亞國家足球隊
Չիլիի մեծ երկրաշարժ	1960年智利大地震
Արտեմիզիա Ջենտիլեսկի	阿尔泰米西娅·真蒂莱斯基
Գնեուս Նեվիուս	奈维乌斯
Լուկիոս Տարքվինիոս Հին	卢基乌斯·塔奎尼乌斯·布里斯库斯
Բունքյո	文京區
DragonForce	龍之動力
Խոսրով Բ Փարվեզ	霍斯劳二世
Պայմանական ռեֆլեքսներ	古典制約
Կրեկինգ	裂化反应
Ալ-Կամիշլի	卡米什利
Սուդուրնես	西南區 (冰島)
Կտցարներ	涉禽
Բոլտ (մուլտֆիլմ)	闪电狗
Ալազան (գետ)	阿拉扎尼河
Հանրահաշվական տոպոլոգիա	代数拓扑
Կամելիա	山茶属
Գոյա (կինոմրցանակ)	哥雅獎
Դակեր	達基亞人
Ալքայոս	阿尔卡埃乌斯
Անդրե Վիլլաշ-Բոաշ	安德烈·維拉斯-波亞斯
Ոսկեշիվ	一枝黄花属
Բրենների լեռնանցք	布伦纳山口
Սելեստա Հոլմ	西莱斯特·霍姆
Քաղցած խաղեր (ֆիլմ)	飢餓遊戲 (電影)
(71) Նիոբե	司石星
Հոգեբան	心理学家
Կիմ Կի Դուկ	金基德
Ինյացիո Աբատե	伊格纳奇奥·阿巴特
Որսաշրջան (մուլտֆիլմ)	打獵季節
Աբազներ	阿巴扎人
Կալիմանտանյան կատու	婆羅洲金貓
Անդյան կատու	山原貓
Վավերագրական գրականություն	非虛構作品
Սթեյք	肉排
Herzeleid	心痛
Պոգրեբիշչե (քաղաք, Ուկրաինա)	波格列比謝
Էլվա (քաղաք, Էստոնիա)	埃尔瓦 (爱沙尼亚)
Հյուդասպի ճակատամարտ	希達斯皮斯河戰役
Մանկական պրոգերիա	早年衰老症候群
Վալտեր Բիրսա	華達·比沙
Մանու Ջինոբիլի	马努·吉诺比利
Կունդա (քաղաք, Էստոնիա)	昆達 (愛沙尼亞)
Զալեշչիկի (քաղաք, Ուկրաինա)	扎列希基
Տարածքային ջրեր	领海
Եռակի ֆորսաժ. Տոկիոյի դրիֆթ	玩命關頭3：東京甩尾
Ժայռային ծիծեռնակ	岩燕
Ալֆեն ան դեն Ռեյն	莱茵河畔阿尔芬
Բաքվի մետրոպոլիտեն	巴庫地鐵
Երուսաղեմի հին քաղաք	耶路撒冷旧城
Դիվանագիտական ներկայացուցչություն	外交代表機構
Ամագասակի	尼崎市
Վիկտորիայի և Ալբերտի թանգարան	维多利亚和阿尔伯特博物馆
Սուպեր ընտանիքը	超人特攻隊 (電影)
Գետաձիեր	河马科
Ջոն Սթոքթոն	约翰·斯托克顿
Ջոն Դրայդեն	约翰·德莱顿
Ջեյմս Քոննոլի	詹姆斯·康诺利
Գինեգործություն	葡萄酒釀製
Սերունդ	世代
Լքվածը (ֆիլմ, 2000)	浩劫重生
Նյու Յորք Յանկիս	紐約洋基
Աարոն Ռեմսի	阿隆·拉姆塞
Լարի Քինգ	拉里·金
Վիրջինիայի համալսարան	弗吉尼亚大学
Ֆիսհարմոն	簧风琴
(147) Պրոտոգենեիա	长女星
Կարելներ	卡累利阿人
Տեդդի արջուկ	泰迪熊
Անակրեոն	阿那克里翁
Գեոդեզիկ գծեր	测地线
Չարլզ Սկոտ Շերինգթոն	查尔斯·斯科特·谢灵顿
Էդուարդ Դալադիե	爱德华·达拉第
Ֆլո Ռայդա	佛罗·里达
Մաթեմատիկական պապիրուսներ	莱因德数学纸草书
Բիլլի Գրեհեմ	葛培理
Վեստերյոտլանդ	西約特蘭
Հարինգի (Լոնդոնի շրջան)	哈林蓋區
Spacewatch ծրագիր	太空監視
Neue Deutsche Härte	NDH
Հուայհե	淮河
Sehnsucht	渴望 (音樂專輯)
Արթյուր Ադամով	阿瑟·阿达莫夫
Rosenrot	Rosenrot
Հանոյի աշտարակ	汉诺塔
Քնի օբստրուկտիվ ապնոէ	睡眠呼吸暂停
Չևայի թեորեմ	塞瓦定理
Յակոբ վան Ռոյսդալ	雅各布·伊萨克松·范勒伊斯达尔
Կիպրոսի թագավորություն	塞浦路斯王国
Քեյ փոփ	韓國流行音樂
Իրական ժամանակի օպերացիոն համակարգեր	实时操作系统
Խորանարդի կրկնապատկում	倍立方
Մաքս Վերտհայմեր	马科斯·韦特墨
Վատիկանի գրադարան	梵蒂岡宗座圖書館
Գոթական գիր	哥特体
Օսկարի 79-րդ մրցանակաբաշխություն	第79届奥斯卡金像奖
Թոմ Սելլեք	湯姆·塞立克
Հիպերխորանարդ	超方形
Լոկսա (քաղաք, Էստոնիա)	洛克薩
Աուգուստո Սանդինո	奥古斯托·塞萨尔·桑地诺
Մագնիտոֆոն	磁帶錄音機
Բեյբ Ռութ	貝比·魯斯
Անրի Ֆայոլ	亨利·法约尔
Ալեսսանդրո Կոստակուրտա	亚历山德罗·科斯塔库塔
Դադլի	達德利
Ալբանիայի պատմություն	阿尔巴尼亚历史
Կուպե	轎跑車
Փոլ Ուոքեր	保羅·沃克
Սրատուտ	蟯蟲
Սեյֆերտի գալակտիկաներ	西佛星系
Ճանճասպան	鵝膏菌屬
Բոստոն Ռեդ Սոքս	波士頓紅襪
AWK	Awk
Դրին	德林河
S/2003 J 10	S/2003 J 10
Ժակ լը Գոֆֆ	雅克·勒高夫
S/2003 J 9	S/2003 J 9
Ալեքսանդր Գրին	亚历山大·格林 (作家)
S/2003 J 5	S/2003 J 5
S/2003 J 2	S/2003 J 2
Հուլիսյան հեղափոխություն (1830)	法國七月革命
Սելթյարնարնես	塞尔蒂亚纳内斯
Հալեպի մարզ	阿勒颇省
Կլոդ Լորեն	克罗德·洛林
Հոմսի մարզ	霍姆斯省
Հիդրոգենացում	氢化
Էդեն Ազար	伊登·夏薩特
Կոդիֆիկացիա	法典化
T.I.	T.I.
Կառուցողական գործողություն	平权法案
Սպիրիտիզմ	唯靈論
SOS	SOS
Ստանկովյան լեռնաշղթա	外兴安岭
Միշել Յեո	杨紫琼
S/2003 J 4	S/2003 J 4
Սեմ Նիլ	森·尼爾
Յան Քրիստիան Սմետս	扬·史末资
Սոցիալական դեր	社会角色
(173) Ինո	妒后星
Մարիներ (ժողովուրդ)	马里人
(177) Իրմա	小行星177
Սոմալիի ծովահեններ	索馬利亞海盜
Ջուլիա Չայլդ	茱莉亞·蔡爾德
Գլոմմա	格羅馬河
Թեքսաս Հոլդեմ	德州撲克
Բոնավենտուրա Կավալիերի	博納文圖拉·卡瓦列里
Սերապիս	塞拉比斯
Իսմայիլ I	伊斯玛仪一世
Հագար	夏甲
Նիկոս Կազանձակիս	尼可斯·卡赞扎基斯
Ջունգարական գերմանամուկ	短尾侏儒倉鼠
Վիլսոնի խցիկ	云室
Դիմբովիցա (գետ)	登博維察河
Սամսոն	參孫
TF1	法國電視一台
Գրքասիրություն	愛書族
Ոսկու տենդ (ֆիլմ)	淘金记
Քվինտիլիոս Վարոս	瓦盧斯
Չուլիմ (Օբի վտակ)	丘雷姆河
Մագնեզիումի օքսիդ	氧化镁
Կեմիյոկի	凱米河
Դալսլանդ	達爾斯蘭
Արճեշ (գետ)	阿爾傑什河
Գիլադ Շալիթ	吉拉德·沙利特
Օստերյոտլանդ	东约特兰
Բենգալյան աղվես	孟加拉狐
Շիկակարմիր իրիկնաչղջիկ	褐山蝠
Դիեգո Գոդին	迭戈·戈丁
Թոմաս Իկինս	湯姆·艾金斯
Հիթչհայքինգ	順風車
Նիկոլայ Վավիլով	尼古拉·伊万诺维奇·瓦维洛夫
Պորտասար	哥贝克力石阵
Էյնշտեյն-Պոդոլսկի-Ռոզենի պարադոքս	愛因斯坦-波多尔斯基-羅森悖論
Էյրենե	厄瑞涅
Արթուր Էդինգտոն	亚瑟·爱丁顿
