આફ્રિકા	非洲
કોલા હોલ	科拉超深钻孔
અર્ધધાતુ	类金属
પબ્લિક ડોમેન	公有领域
પ્યૂએર્ટો રિકન ઈન્ડીપેન્ડન્સ પાર્ટી	波多黎各獨立黨
થેમ્સ	泰晤士河
નાતાલ	圣诞节
લિપ વર્ષ	闰年
લેડી ગાગા	Lady Gaga
વાઘ	虎
સેમસંગ	三星集团
બીગલ	小獵犬
કુર્કુટાકાર	鸡形目
ડુબકી કુટુંબ	鷿鷈科
ઑડિશા	奥里萨邦
GFDL	GNU自由文档许可证
પંજાબ, ભારત	旁遮普邦
અક્ષાંશ-રેખાંશ	经纬度
યુઇએફએ યૂરો ૨૦૧૨	2012年欧洲足球锦标赛
બેંક	銀行
આયરલેંડનું ગણતંત્ર	爱尔兰岛
અઠવાડિયું	星期
હરણ	鹿科
લસણ	蒜
કાકડી	黄瓜
કાળો	黑色
ડુંગળી	洋蔥
નાસા	美国国家航空航天局
એટલાન્ટા, જ્યોર્જિયા	亚特兰大
વેલિંગ્ટન	惠灵顿
૧૦ (અંક)	10
પરમાણુ ક્રમાંક	原子序数
માનવ શરીર	人体
ચિત્તો	猎豹
કસ્તુરી	烏鶇
વટાણા (વનસ્પતિ)	豌豆
કબુત	苍鹭
ખજૂર	海枣
વંદો	蟑螂
મૃદુકાય સમુદાય	软体动物
માછીમાર	鹗
શેવાળ	苔藓植物门
તારા માછલી	海星
સફેદ ઢોંક	白鹳
બાજ (પક્ષી)	蒼鷹
દસાડી	骨顶鸡
આગિયો	萤科
નાની ડુબકી	小鷿鷈
ચોટીલી ડુબકી	鳳頭鷿鷈
જળ કાગડો	普通鸕鶿
સીંગપર (બતક)	针尾鸭
વિલાયતી પટ્ટાઇ	白尾鹞
અબલખ	蛎鹬
થ્રશ કુટુંબ	鸫科
પાન પટ્ટાઇ	白头鹞
કલવેતીયો	凤头潜鸭
જ્યોર્જીયા (દેશ)નો રાષ્ટ્રધ્વજ	格鲁吉亚国旗
શોબિગી	黑翅雀鹎
ઉપગ્રહ પ્રક્ષેપણ યાન	人造衛星
યાક	牦牛
પટ્ટી પટ્ટાઇ	乌灰鹞
હમ્પી	亨比
લવિંગ	丁香
કાચબરંગી	翻石鹬
લક્ષદ્વીપ	拉克沙群島
અશેળિયો	水芹 (十字花科)
કપાસી	黑翅鸢
એસી/ડીસી	AC/DC
ક્રિસ્ટાડેલ્ફિઅન્સની	基督弟兄會
કૈલાલી જિલ્લો, નેપાળ	凯拉利
તજ	桂皮
અમ્હારિક ભાષા	阿姆哈拉语
ચામાચિડિયું	蝙蝠
મનાંગ જિલ્લો, નેપાળ	馬南縣
કાસ્કી જિલ્લો, નેપાળ	卡斯基
વાળ	頭髮
કોળિક્કોટ્	科泽科德
પાયથોન(પ્રોગ્રામિંગ ભાષા)	Python
ઇસ્લામીક પંચાંગ	伊斯兰历
ચકલી	雀科
આસામીઝ ભાષા	阿萨姆语
અવધી ભાષા	阿瓦德语
રાઈ	芥菜类蔬菜
મધર ટેરેસા	真福加爾各答的德肋撒
કડપ્પા	丘德达帕
પૂર્વ તિમોરનો રાષ્ટ્રધ્વજ	东帝汶国旗
જાલના	贾尔纳
હેણોતરો	獰貓
બ્લૉગ	網誌
જલગાંવ	加爾岡 (印度)
ડેન્ગ્યુ	骨痛熱症
ક્રિસમસ દ્વીપ	圣诞岛
મોવેમ્બર	十一鬍子月
લોફ્ટસ રોડ સ્ટેડિયમ	洛夫特斯路球場
હાથોર્ન્સ	山楂球场
રાજાસોરસ	勝王龍屬
સ્ટેડિયમ ઓફ લાઈટ	光明球場
મેષ રાશી	白羊宮
વર્જિન એટલાંટિક	維珍航空
અમેરિકન એરલાઇન્સ	美國航空
વૅલેન્શિયન	巴倫西亞語
મલાલા યુસુફઝઈ	马拉拉·优素福扎伊
આર્મેનિયાનો રાષ્ટ્રધ્વજ	亚美尼亚国旗
બોડો ભાષા	博多语
ભોજપુરી ભાષા	博杰普尔语
મુઘલ યુગ	莫卧儿帝国
સિકર	錫卡爾
ઇલાયચી	白豆蔻
કાશ્મીરી ભાષા	克什米爾語
સિમા ગુઆંગ	司马光
ધ્રુવીય રીંછ	北極熊
કન્નડ ભાષા	卡纳达语
મગહી ભાષા	摩揭陀語
હાથ	手
ઓડિઆ ભાષા	奥里亚语
નેપાળી ભાષા	尼泊尔语
વસ્તી	人口
મણિપુરી ભાષા	曼尼普尔语
સંથાલી ભાષા	桑塔利语
નેપાલ ભાષા	尼瓦尔语
સિંધી ભાષા	信德语
કાજુ	腰果
ધોધ	瀑布
માખણ	黄油
પાબ્લો નેરુદા	巴勃罗·聂鲁达
કોંકણી ભાષા	孔卡尼语
એલેક્ઝાન્ડર ગ્રેહામ બેલ	亚历山大·格拉汉姆·贝尔
જ્યોતિષવિદ્યા	占星学
સંગીત વાદ્ય	乐器
હંસ	天鹅
બેનઝિર ભુટ્ટો	贝娜齐尔·布托
ઓક્સફોર્ડ યુનિવર્સિટી	牛津大学
માર્ગ	道路
હેલિકોપ્ટર	直升機
હિપોપોટેમસ	河马
ગુલાબ	蔷薇属
દિપડો	豹
સાલ્ઝબર્ગ	萨尔茨堡
ગ્રીસની પૌરાણિક માન્યતાઓ	希腊神话
હોકાયંત્ર	指南针
ક્ષ-કિરણો	X射线
પપૈયાં	番木瓜
વિશ્વ કુસ્તી મનોરંજન	世界摔角娛樂
ટીટીકાકા સરોવર	的的喀喀湖
કોલંબો	可倫坡
મદીના	麦地那
રેસલમેનિયા	摔角狂熱
કેમ્બ્રિજ વિશ્વવિદ્યાલય	剑桥大学
જરથુષ્ટ્ર	琐罗亚斯德
રાઈટ બંધુઓ	莱特兄弟
હેક્ટર	公顷
બાપ્તિસ્મા (બૅપ્ટિઝમ)	洗禮
ફુગાવો	通货膨胀
અરાલ સમુદ્ર	鹹海
લામ્બોરગીની	藍寶堅尼
લેન્ડ રોવર	路虎
વાંસ	竹
સૌંદર્ય શાસ્ત્ર	美学
કોકોસ (કીલીંગ) દ્વીપ	科科斯（基林）群島
પિસ્તા	开心果
ક્વીન્સલેન્ડ	昆士蘭州
મિનેપોલિસ	明尼阿波利斯
મૈથિલી ભાષા	迈蒂利语
અંજીર	無花果
મિઝો ભાષા	米佐语
માર્ક ઝકરબર્ગ	马克·扎克伯格
મલયાલમ ભાષા	马拉雅拉姆语
જીવનચરિત્ર	傳記
રેશમ માર્ગ	丝绸之路
તાઈકવૉન્દો	跆拳道
ઉંદર	大家鼠
દ્વિપદ નામકરણ	二名法
પાલિ ભાષા	巴利语
રોબર્ટ પેટિસન	羅伯·派汀森
મુંગેર	蒙格埃尔
સ્વાઇન ફ્લ્યુ	豬流感
નખ	指甲
મધુબાલા	瑪杜芭拉
ઓઝોન	臭氧
શેરડી	甘蔗
જાહેરાત	廣告
સ્વતંત્રતા	独立
એલેક્ઝાન્ડર ફ્લેમિંગ	亚历山大·弗莱明
સોલોમન	所羅門
યાહૂ!	雅虎
ફેબ્રુઆરી ૩૦	2月30日
ઓકલેન્ડ	奧克蘭都會區
ગુલબર્ગ	古尔伯加
એ કે-૪૭	AK-47突击步枪
મિથેન	甲烷
મરિઉપોલ	马里乌波尔
ગીઝાનો મહાન પિરામિડ	胡夫金字塔
સિંધ	信德省
વર્તુળનો વ્યાસ	直径
શિક્ષક	教师
ગો (પ્રોગ્રામિંગ ભાષા)	Go
સેન્ટ્રલ ઇન્ટેલિજન્સ એજન્સી	中央情报局
રામાયણ	罗摩衍那
અક્રોતીરી અને ધેકેલીયા	亞克羅提利與德凱利亞
મગફળી	花生
ધુમ્મસ	霧
બહુકોણ	多边形
વેલેન્ટાઇન્સ ડે	情人节
ગલ્ફ વોર	海湾战争
રેશમ	丝绸
મિશ્રધાતુ	合金
નિવસન તંત્ર	生态系统
રેફ્રિજરેટર	冰箱
ટપાલ ટિકિટ	邮票
શક્કરીયાં	番薯
કાર્ટેન (Kärnten)	克恩顿州
સમુરાઇ	武士 (日本)
કોલંબિયા, દક્ષિણ કેરોલિના	哥伦比亚 (南卡罗来纳州)
દેવનાગરી	天城文
તરબૂચ	西瓜
પવનચક્કી	風車 (動力機)
રિકટર મેગ્નીટયુડ સ્કેલ	黎克特制地震震級
લેસર	激光
તાવ	发热
આંતરરાષ્ટ્રીય મહિલા દિન	国际妇女节
વોરાર્લબર્ગ	福拉尔贝格州
પીઝાનો ઢળતો મિનારો	比萨斜塔
સૂક્ષ્મ અર્થશાસ્ત્ર	微观经济学
લીડ્ઝ	利兹
હડકવા	狂犬病
કીટ વિજ્ઞાન	昆虫学
અતિવાસ્તવવાદ	超现实主义
દીવાદાંડી	灯塔
માર્કેટિંગ	市场营销
સ્ટીફન કિંગ	斯蒂芬·金
રેડિયો સ્ટુડિયો 54 નેટવર્કના	第54演播室電台聯播網
દાયકો	年代
બદામ	扁桃
વેદ	吠陀
સિલ્વેસ્ટર સ્ટેલોન	席維斯·史特龍
મેરેથોન	马拉松
ગુડફ્રાઈડે	耶穌受難節
રાશી	黃道帶
ટેક્લોબેન	独鲁万市
યોહાન	聖若翰洗者
ઝેર	毒物
અતિસાર	腹瀉
અંદામાન અને નિકોબાર દ્વીપસમૂહ	安达曼-尼科巴群岛
પંડિત રામ નારાયણ	拉姆·那拉扬
ઇટાનગર	伊塔那噶
રશિયાનાં ગણતંત્રો	俄罗斯自治共和国
બારપેટા જિલ્લો	巴貝塔縣
વેગમાન સંરક્ષણનો નિયમ	动量
નાઈટ્સ ટેમ્પ્લર	圣殿骑士团
તરંગલંબાઇ	波长
તંજાવુર	坦贾武尔
સ્ટેનફોર્ડ યુનિવર્સિટી	史丹佛大學
ફ્રેન્ક લેમ્પાર્ડ	法蘭·林柏特
કોથમીર	芫荽
મનોવિષ્લેષણ	精神分析学
ભારતનો રાષ્ટ્રધ્વજ	印度国旗
વંશીય જૂથ	族群
વાર	星期中的日子
ચિત્તોડગઢ	奇陶尔加尔
ઈમાન	清真言
એડનની ખાડી	亚丁湾
મનમોહન સિંહ	曼莫汉·辛格
રાતો પાંડા	小熊猫
ભિલવાડા જિલ્લો	皮爾瓦拉縣
સુરખાબ	火烈鸟
સાર્વભૌમત્વ	主權
બકિંગહામ પેલેસ	白金汉宫
બોંગાઇગાંવ જિલ્લો	邦蓋岡縣
કછર જિલ્લો	察查縣
યુનિફોર્મ રિસોર્સ લોકેટર	统一资源定位符
ગૂગલ અર્થ	Google地球
ફાઇલ ટ્રાન્સ્ફર પ્રોટોકોલ	文件传输协议
અંતરનું વિશ્લેષણ	方差分析
ઊન	羊毛
પીડીએફ	便携式文档格式
નિહારિકા	星云
યુનિવર્સલ સીરિયલ બસ	通用串行總線
તાલિબાન	塔利班
દારાંગ જિલ્લો	達讓縣
ધેમાજી જિલ્લો	德馬傑縣
પર્લ	Perl
ઈંધણ (બળતણ)	燃料
હૈલાકાંડી જિલ્લો	海拉坎迪縣
ગોલાઘાટ જિલ્લો	革拉嘎縣
ગોલપારા જિલ્લો	戈阿帕拉縣
કરીમગંજ જિલ્લો	卡仁甘傑縣
કાર્બી ઓન્ગલોન્ગ જિલ્લો	卡比昂隆縣
હળદર	薑黃
રણ બિલાડી	非洲野貓
એમપીથ્રી	MP3
કોકરાઝાર જિલ્લો	科克拉贾县
જંગલી બિલાડી	丛林猫
ચક્તાવાળી બિલાડી	豹貓
ભેંસ	水牛
મારિગાંવ જિલ્લો	馬日岡縣
લખિમપુર જિલ્લો	拉金普縣
શોણિતપુર જિલ્લો	索尼特普縣
શિવસાગર જિલ્લો	西布薩噶縣
ઉત્તર કછર જિલ્લો	北卡查山縣
દાઢી	鬍鬚
સૈગોન એરપોર્ટ	隆城國際機場
મેજર ડિપ્રેસિવ ડિસઓર્ડર	重性抑郁障碍
કૃષ્ણ	黑天
અરરિયા જિલ્લો	阿拉里亚县
અરવલ જિલ્લો	阿沃爾縣
નિર્વાણ	涅槃
આગ્રા	阿格拉
ચોમાસુ	季风
એલર્જી	过敏
સંક્ષિપ્ત સંદેશ સેવા	簡訊
દુકાળ	干旱
કાળા મરી	黑胡椒
ઔરંગાબાદ જિલ્લો (બિહાર)	奧蘭加巴德縣
કાશ્મીર	克什米尔
વિકિપીડિયા:જાણીતા પ્રશ્નો	Wikipedia:常见问题解答
સ્વર્ગીય ગુફા	天堂洞
હરિતદ્રવ્ય	叶绿素
વીમો	保險
ફ્રાન્સનો રાષ્ટ્રધ્વજ	法国国旗
સંસ્થા	组织 (社会学)
ગેસ્ટાપો	盖世太保
પ્રિન્સ ચાર્લ્સ	威爾斯親王查爾斯
ટાઇમ (સામયિક)	時代 (雜誌)
લોકગીત	民俗音樂
કાગડો	乌鸦
ડિસ્કવરી ચેનલ	探索頻道
ચંડીગઢ	昌迪加尔
વરિયાળી	小茴香
સ્ફટિક	晶体
મમી	木乃伊
હાઇડ્રોકાર્બન	烃
એપોલો ૧૧	阿波罗11号
બર્મુડા ત્રિકોણ	百慕達三角
રણદ્વીપ	綠洲
ટર્કી	火雞
બ્રેમ્પ્ટન, ઓન્ટારીયો	布兰普顿
નાગોર્નો-કરબાખ ગણરાજ્ય	納戈爾諾-卡拉巴赫
ધ અંડરટેકર	送葬者 (摔角手)
જિહાદ	圣战
ઉષ્મા	熱量
મંદિર	神庙
એલેક્સ ફર્ગ્યુસન	亚历克斯·弗格森
કલકલિયો	翠鸟
અળસી	亚麻
કોલ્ડપ્લે	酷玩樂團
સ્વસ્તિક	卐
કંદહાર	坎大哈
નીલગિરી	桉树
એનફિલ્ડ	安菲尔德球场
ફણસ	波罗蜜
માછલીઘર	水族箱
રાજા આર્થર	亚瑟王
લાલ કિલ્લો	德里红堡
દાદરા અને નગરહવેલી	达德拉-纳加尔哈维利
વિદ્યુત ક્ષેત્ર	電場
કાળો કોશી	黑卷尾
ચાર્લ્સ બૅબેજ	查尔斯·巴贝奇
ફીજી હિન્દી	斐濟印地文
હેરી પોટર એન્ડ ધ ડેથલી હેલોઝ	哈利·波特与死亡圣器
શ્રીમદ્ ભગવદ્ ગીતા	薄伽梵歌
ઑસ્ટ્રિયાનો રાષ્ટ્રધ્વજ	奧地利國旗
અખરોટ	普通胡桃
પાલી જિલ્લો	帕里縣
ઐશ્વર્યા રાય	艾西瓦娅·巴克罕
કુ ક્લક્સ ક્લાન	三K党
બ્રાહ્મણ	婆罗门
વોરન બફેટ	沃伦·巴菲特
કામસૂત્ર	欲经
હસન	哈斯桑
સ્વામી વિવેકાનંદ	斯瓦米·維韋卡南達
એકમ	计量单位
ફિબોનાકિ	斐波那契数列
રક્તના પ્રકાર	血型
કેથરિન ઝેટા-જોન્સ	凯瑟琳·泽塔-琼斯
બ્લેક સબાથ	黑色安息日
પ્રમબનન	普兰巴南
મુસલમાન	穆斯林
પ્રતિભા પાટીલ	普拉蒂巴·帕蒂尔
પત્તા	遊戲牌
ફીનલેંડનો રાષ્ટ્રધ્વજ	芬兰国旗
લખનૌ	勒克瑙
ઢાંચો:Commons category	Template:Commons category
સિટી ઓફ માન્ચેસ્ટર સ્ટેડિયમ	曼徹斯特市球場
જર્મનીનો રાષ્ટ્રધ્વજ	德国国旗
યુરિયા	尿素
અમૃતસર	阿姆利则
આલ્બેનિયાનો રાષ્ટ્રધ્વજ	阿尔巴尼亚国旗
ડેડમાઉસ	鼠來寶 (DJ)
ચંદ્રયાન-૧	月船1号
ભોજપુર જિલ્લો	波吉布爾縣
ભાગલપુર જિલ્લો	巴加爾布爾縣
બેગૂસરાય જિલ્લો	貝古薩萊縣
દરભંગા જિલ્લો	達爾班加縣
બક્સર જિલ્લો	布克薩爾縣
જમુઈ જિલ્લો	扎穆伊縣
ગોપાલગંજ જિલ્લો	戈帕爾甘傑縣
ગયા જિલ્લો	加雅縣
ખગડિયા જિલ્લો	卡加里亞縣
જહાનાબાદ જિલ્લો	吉哈納巴德縣
ઓર્લાન્ડો, ફ્લોરિડા	奥兰多 (佛罗里达州)
પર્યટન	旅游
કવિ	诗人
દ્વિસંગી તારો	聯星
માન્ચેસ્ટર સિટી ફૂટબૉલ ક્લબ	曼彻斯特城足球俱乐部
ચલ	變數
અવયવ	因數
ઢાંચો:Chembox	Template:Chembox
ઢાંચો:Taxobox	Template:Taxobox
ઈથેન	乙烷
ઢાંચો:Infobox legislature	Template:Infobox legislature
હોલો	灰斑鸠
શ્રેણી:ચલચિત્ર	Category:電影作品
રાજ કપૂર	拉吉·卡浦爾
સ્વતંત્રતા દિવસ (ભારત)	印度獨立日
પ્રણવ મુખર્જી	普拉纳布·慕克吉
એસ. એમ. કૃષ્ણ	索玛纳哈利·马雷阿·克里希纳
પંજાબી ભાષા	旁遮普語
આદમ અને હવા	亞當與夏娃
અરબી સમુદ્ર	阿拉伯海
પ્રદૂષણ	污染
સતના	瑟德納
સરસ્વતી દેવી	辯才天女
કાકીનાડા	卡基纳达
ઉંબરો (વૃક્ષ)	榕屬
હેઇદી ક્લુમ	海迪·克林
ડેનમાર્કનો રાષ્ટ્રધ્વજ	丹麦国旗
સી. વી. રામન	钱德拉塞卡拉·拉曼
લાતૂર	拉杜爾
નવી મુંબઈ	新孟買
પ્રાચી દેસાઇ	朴拉琪·黛塞
ટાવર ઓફ લંડન	伦敦塔
આરમીન વન બ્યુરન	阿明·范·比伦
શંખ	螺
મૌર્ય વંશ	孔雀王朝
પિત્તાશય	胆囊
વિદ્યુત વિચ્છેદન-વિશ્લેષણ (ઇલેક્ટ્રોલિસિસ)	电解
વિનિમય દર	汇率
જયપુર	齋浦爾
કાનપુર	坎普尔
ઈંદોર	印多尔
દમણ અને દીવ	达曼-第乌
પૉંડિચેરી	本地治里
અસ્થિભંગ	骨折
હેલ-બોપ ધૂમકેતુ	海爾-博普彗星
ટેટ્રીસ (રમત)	俄羅斯方塊
નાનો જળ કાગડો	黑颈鸬鹚
મખમલી થડચડ	绒额鳾
ડેલ્ફી	德尔斐
સેમ્યુઅલ મોર્સ	萨缪尔·摩尔斯
બોરિસ બેકર	鲍里斯·贝克尔
૨૦૦૮ મુંબઈ હુમલો	2008年孟買連環恐怖襲擊
કૈમૂર જિલ્લો	开姆尔县
કિશનગંજ જિલ્લો	基商甘傑縣
મુંગેર જિલ્લો	蒙吉爾縣
મધુબની જિલ્લો	馬杜巴尼縣
લખીસરાય જિલ્લો	拉基薩萊縣
કટિહાર જિલ્લો	格蒂哈爾縣
નાલંદા જિલ્લો	那蘭達縣
મુજફ્ફરપુર જિલ્લો	穆扎法爾布爾縣
મધેપુરા જિલ્લો	馬德普拉縣
એમિથિસ્ટ	紫水晶
ચક્રવાત	气旋
૩જી	3G
૪જી મોબાઇલ સેવા	4G
બેરોમીટર	气压表
ગિનિ પિગ	豚鼠
અફઘાનિસ્તાનનો રાષ્ટ્રધ્વજ	阿富汗国旗
મોર્સ કોડ	摩尔斯电码
વિકિપીડિયા:ચકાસણીયોગ્યતા	Wikipedia:可供查證
ક્રાઇસ્ટ ધ રિડીમર	里約熱內盧基督像
વારાણસી	瓦拉納西
ઇથરનેટ	以太网
ઓઝોન સ્તર	臭氧层
કુંવારપાઠું	庫拉索蘆薈
કેનેડાનો રાષ્ટ્રધ્વજ	加拿大國旗
ખાટી આમલી	酸豆
કોર્ન	Korn
પટના	巴特那
ભારતીય રૂપિયો	印度盧比
ભીંડા	秋葵
એપ્રિલ ફૂલ્સ ડે	愚人节
પશુપાલન	畜牧业
ભોપાલ	博帕尔
વાકછટા	修辞学
જળ ચક્ર	水循环
હોમિયોપેથી	顺势疗法
મગર	沼澤鱷
સ્વચાલિત ગણક યંત્ર (ATM)	自動櫃員機
હેરિસન ફોર્ડ	哈里森·福特
ચણા	鹰嘴豆
ઈન્ટરનેટ પ્રોટોકોલ સ્યુટ	TCP/IP协议族
પાલક (ભાજી)	菠菜
ઈસ્ટોનિયાનો રાષ્ટ્રધ્વજ	爱沙尼亚国旗
એન્ડોરાનો રાષ્ટ્રધ્વજ	安道尔国旗
ઑસ્ટ્રેલિયાનો રાષ્ટ્રધ્વજ	澳大利亚国旗
ફાસ્ટ ફૂડ	快餐
કાતરા (ઈયળ)	毛蟲
માંસાહારી	肉食動物
હંગેરીનો રાષ્ટ્રધ્વજ	匈牙利国旗
કાંચનજંઘા	干城章嘉峰
અઝેરબીજાનનો રાષ્ટ્રધ્વજ	阿塞拜疆国旗
વિરામચિહ્નો	标点符号
પર્યાવરણ સંરક્ષણ સ્થિતિ	保护状况
ઇમેજ સ્કેનર	影像掃描器
નારાયણ કાર્તિકેયન	纳拉因·卡蒂凯扬
ચીનનો ઇતિહાસ	中国历史
પેટ્રોનાસ જોડિયા ટાવર	雙峰塔
જન ગણ મન	人民的意志
શ્રીનિવાસ રામાનુજન	斯里尼瓦瑟·拉马努金
જાયફળ	肉豆蔻
ઘર ઉંદર	小家鼠
ટાઇફોઇડ	伤寒
ગુરુનાનક	拿那克
લિક્વિડ ક્રિસ્ટલ ડિસ્પ્લે	液晶显示器
અંગુષ્ઠ	拇指
શાકાહારી	素食主義
અલ્જીરીયાનો રાષ્ટ્રધ્વજ	阿尔及利亚国旗
મનાલી	马纳利
ઓલ્ડ ટ્રેફોર્ડ	老特拉福德球场
પર્યાયોક્તિ	委婉
જુડાસ પ્રિસ્ટ	猶太祭司
સુસાન બોયલ	蘇珊·波伊爾
શાહજહાં	沙贾汗
શિમલા	西姆拉
કાર્લ લેન્ડસ્ટેઇનર	卡尔·兰德施泰纳
પોલેંડબોલ	波兰球
ધ્વનિ પ્રદૂષણ	噪音污染
ઢાંચો:Cite book	Template:Cite book
એલિસેઝ એડવેન્ચર્સ ઇન વન્ડરલેન્ડ	爱丽丝梦游仙境
એરિક શ્મિટ	埃里克·施密特
લેરી એલિસન	拉里·埃里森
સેર્ગેઈ બ્રિન	谢尔盖·布林
બોલીવુડ	宝莱坞
ટ્યૂલિપ	郁金香
ઇમુ	鸸鹋
ઓએસઆઈ મોડેલ	OSI模型
આઈસલેંડનો રાષ્ટ્રધ્વજ	冰島國旗
ધ હૂ	谁人
ગ્રાન્ડ થેફ્ટ ઓટો ૪	俠盜獵車手IV
રોહતાસ જિલ્લો	羅塔斯縣
શેખપુરા જિલ્લો	謝克布拉縣
શિવહર જિલ્લો	謝奧哈爾縣
સમસ્તીપુર જિલ્લો	撒馬斯提布爾縣
સહરસા જિલ્લો	撒哈爾薩縣
વૈશાલી જિલ્લો	瓦伊沙利縣
સીવાન જિલ્લો	錫萬縣
સુપૌલ જિલ્લો	素保爾縣
સીતામઢી જિલ્લો	錫塔馬里縣
સારન જિલ્લો	薩蘭縣
બસ્તર જિલ્લો	巴斯塔县
બિલાસપુર જિલ્લો, છત્તીસગઢ	比拉斯布爾縣
દુર્ગ જિલ્લો	杜爾格縣
ધમતરી જિલ્લો	達姆塔里縣
દંતેવાડા જિલ્લો	丹德瓦達縣
સ્વાઈન ફલૂ	2009年H1N1流感大流行
ઈંડોનેશિયાનો રાષ્ટ્રધ્વજ	印尼國旗
ગાબોનનો રાષ્ટ્રધ્વજ	加蓬国旗
જિબુટીનો રાષ્ટ્રધ્વજ	吉布提国旗
બાઇનૉક્યુલર	双筒望远镜
સંક્ષિપ્ત શબ્દ	縮寫
હોન્ડુરાસનો રાષ્ટ્રધ્વજ	洪都拉斯国旗
કેપ વર્દુનો રાષ્ટ્રધ્વજ	佛得角国旗
ગિની-બિસ્સાઉનો રાષ્ટ્રધ્વજ	几内亚比绍国旗
હૈતીનો રાષ્ટ્રધ્વજ	海地國旗
ગ્રેનેડાનો રાષ્ટ્રધ્વજ	格林納達國旗
બહામાનો રાષ્ટ્રધ્વજ	巴哈马国旗
રવિ શંકર	拉维·香卡
પલ્‍પ ફિક્શન (ફિલ્‍મ)	低俗小说
બાર્બાડોસનો રાષ્ટ્રધ્વજ	巴巴多斯国旗
અર્ધ વિરામ	分號
હુક્કો	水煙
શોર્ટ સેલ	空头
છાશ	酪漿
મિર્ઝા ગ઼ાલિબ	米尔扎·迦利布
માર્કની લખેલી સુવાર્તા	馬可福音
રાજ્ય	联邦制国家成员
કીટલી	燒水壺
ડો. હરગોવિંદ ખુરાના	哈爾·葛賓·科拉納
સટ્ટાખોરી	投机
ઉત્તર ગોઆ જિલ્લો	北果阿縣
દક્ષિણ ગોઆ જિલ્લો	南果阿县
એ. આર. રહેમાન	A·R·拉曼
હિંગ	阿魏
ગિરનારી કાગડો	大嘴乌鸦
રાધા	拉達
કાબર	家八哥
તમલુક	塔姆卢克
લેધરબેક કાચબો	棱皮龜
અલિસિયા કીઝ	艾莉西亚·凯斯
ગર્ભનિરોધ	生育控制
સીસમ	蔷薇木
ગીધ	禿鷲
ગોલ્ડફિશ	鲫鱼
વેનેસા હજિન્સ	凡妮莎·哈金斯
વિલુપ્ત જાતિ	绝灭
અવાજની ઝડપ	音速
ઝકાત	天課
નીલ્સ હેન્રીક અબૅલ	尼尔斯·阿贝尔
સ્કોર્પિયન્સ (બેન્ડ)	蝎子乐队
અંગોલાનો રાષ્ટ્રધ્વજ	安哥拉国旗
મીણ	蜡
સ્લમડોગ મિલિયોનેર	貧民百萬富翁
અવાક	夜鹭
ઈરાનનો રાષ્ટ્રધ્વજ	伊朗国旗
સગર્ભાવસ્થા દરમિયાન ડાયાબિટીસ	妊娠糖尿病
આંગણવાડી	幼稚園
ઍરોસ્મિથ	空中铁匠
મેંગલોર	门格洛尔
ઝેક ગણરાજ્યનો રાષ્ટ્રધ્વજ	捷克国旗
બાંગ્લાદેશનો રાષ્ટ્રધ્વજ	孟加拉国国旗
બહાદુર શાહ ઝફર	巴哈杜尔沙二世
સંત રવિદાસ નગર જિલ્લો	聖拉維達斯那加爾縣
સમઘટકતા	同分異構
ચરબી	脂肪
શિયાળ	亞洲胡狼
ઇન્દ્ર	因陀羅
ભારતના ભાગલા	印巴分治
ગ્રીસનો રાષ્ટ્રધ્વજ	希腊国旗
મિથુન રાશી	雙子宮
હ્યુજ જેકમેન	休·傑克曼
યતી (હિમ માનવ)	雪人 (傳說生物)
૧૮૫૭નો ભારતીય વિપ્લવ	印度民族起义
જ્યોર્જ માઇકલ	乔治·迈克尔
જાપાનનો ઇતિહાસ	日本历史
ઇજિપ્તનો રાષ્ટ્રધ્વજ	埃及国旗
બહેરીનનો રાષ્ટ્રધ્વજ	巴林国旗
આર્જેન્ટીનાનો રાષ્ટ્રધ્વજ	阿根廷国旗
અન્ના કુર્નિકોવા	安娜·庫妮可娃
વાયુનું પ્રદૂષણ	空氣污染
ચીનનો રાષ્ટ્રધ્વજ	中华人民共和国国旗
શરીર વજન અનુક્રમ	身高體重指數
અક્ષય વિકાસ	可持续发展
સૌંદર્ય પ્રસાધનો	化妝品
મસુર	小扁豆
લક્ષ્મી	吉祥天女
વિદ્યુતજનીન	发电机
એસોટેરિક (અમુક વ્યક્તિઓ જ સમજી શકે તેવું)	秘教
મંત્ર	曼怛罗
બૂમરેંગ	回力镖
ભારતનાં રાજ્યો અને કેન્દ્રશાસિત પ્રદેશો	印度各邦和中央直辖区
ઉચિત વપરાશ	合理使用
વાડી	农场
જંતુનાશક	农药
રબર	橡膠
કાલિ	时母
સાનિયા મિર્ઝા	萨尼娅·米尔扎
ઉત્સવ	节日
આયુર્વેદ	阿育吠陀
અમર્ત્ય સેન	阿马蒂亚·库马尔·森
રિસાયક્લિંગ	資源回收
જંગલી કૂતરો	豺
જીરું	孜然
બેલારુસનો રાષ્ટ્રધ્વજ	白俄罗斯国旗
યમુના	亞穆納河
ડિસ્લેક્સીયા	失讀症
ક્રોએશિયાનો રાષ્ટ્રધ્વજ	克罗地亚国旗
પગ	腿
ભારતનો ઇતિહાસ	印度历史
અંધવિશ્વાસ	迷信
મેથી	胡芦巴
કસિનો	賭場
કમળો	黄疸
મરકી	鼠疫
આધાસિસિ બિમારિ	偏頭痛
વાઇમેક્સ (WiMAX)	全球互通微波存取
